Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Joblum,Team Leader (Rigger),Civil/Construction,Lancesoft Inc,2021-05-20,Anywhere,Not Specified,,Not Specified / In Description,Not Specified / In Description,We are in need of Team Leaders for Riggers Qualifications: RBS Installation Commissioning & Testing Integration Microwave Installation,Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Technical Officer,Civil/Construction,Megawide Construction Corporation,2021-05-30,National Capital Reg,Contract,,Not Specified / In Description,Not Specified / In Description,"Licensed Civil Engineer Perform technical plan review, including, but not limited to design and specification of commercial and residential construction plans (architectural, structural, plumbing, mechanical, electrical etc.) Ability to read plans, technical information and supporting documents, comprehend, and apply applicable construction codes Process with design professionals, contractors and owners Process good customer service skills and the ability to interact with the owners, contractors, and design professionals regarding the various construction codes Ability to communicate effectively and clearly in writing and verbally Open to be assigned on site within NCR",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Technical Support Officer (Engineering) | Makati,Civil/Construction,PJ Lhuillier Group of Companies,2021-05-30,Makati City,Contract,,Not Specified / In Description,Not Specified / In Description,"The position is primarily responsible for checking the engineering design of the project and conducting site inspection to ensure the structural integrity and functionality of the building. A. Engineering Design Reviews the engineering design of the project – from third party Contractor - to ensure the structural integrity and functionality of the building. Checks the cost efficiency of the project design. Recommends construction materials that can be used based on knowledge and expertise. Prepares engineering design for in-house project. Consults with concerned business units to discuss and finalize the specifications. B. Reporting and Project Monitoring Monitors revision of plan and changes in timeline, if applicable. Monitors status of the project on a weekly basis. Conducts project site inspection to monitor progress and ensure conformance to design specifications and safety standards. Take notes of the concern during and after project completion. Reviews the billing statement of the Contractor. QUALIFICATIONS Graduate of Bachelor in Science in Civil/Electrical/Mechanical Engineering. Must have a PRC license At least three (3) years experience in Building Construction Willing to work in Makati",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Technical Support Officer (Quantity Surveyor),Civil/Construction,PJ Lhuillier Group of Companies,2021-05-30,National Capital Reg,Contract,,Not Specified / In Description,Not Specified / In Description,"The position is primarily responsible for managing all costs related to construction and building projects. The position is also tasked to quantify the overall cost of a project thus ensuring value for money. Collects historical cost data to estimate costs for current or future project. Consults with clients, vendors, concerned business units, and/or contractor to discuss and finalize cost estimates Checks and reviews plans and other documentation to prepare time, cost, materials, and labor estimates. Confers with project team and contractors on changes and adjustments to cost estimates Assesses cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops. Reviews construction materials and labor requirements Conducts studies to develop and establish standard hour and related cost data to effect cost reduction. Prepares cost and expenditure statement and other necessary documentation at duration of the project Prepares quantity take off/Bill of Quantities (Architectural, Structural and MEPFS) Prepares project data (Awarded/ Unawarded Package) for updating and monitoring purposes. Monitor and validate billings from contractors. Job Qualifications: Graduate of Bachelor in Science in Civil/Electrical/Mechanical Engineering With PRC License At least 2 years experience in construction cost estimate Can read architectural plans and develop cost estimates Can multitask and meet strict deadline With excellent communication and negotiation abilities Willing to work in Makati Can start ASAP",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Engineer II,Civil/Construction,"Municipal Government of Bauko, Mountain Province",2021-05-30,C.A.R,Not Specified,"27,470-27,480",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 30, 2021. Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : OMAG Plantilla Item No. : Ag - 9 Salary/Job/Pay Grade : 16 Monthly Salary : Php 27,471.00 QUALIFICATION Eligibility : RA 1080 (Agricultural Engineer) Education : Bachelor's degree in Engineering relevant to the job. Training : 4 hours of relevant training Work Experience : 1 year of relevant eperience Instructions/Remarks : Interested and qualified applicants regardless of age, PWD, Sexual Orientation and Gender Identity, Ethnicity, Religion, should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 30, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last two (2) rating period (if applicable); 3. Authenticated Photocopy of certificate of eligibility, rating, license; 4. Certified Photocopy of Transcript of Records; and 5. Result of Neuro Psychiatric Exam and Drug Test. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: ROSARIO C. WIGWIGAN HRMO II LGU BAUKO, MT. PROVINCE [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED","27,470","27,480",Not Specified,Not Specified,Engineering
Joblum,Licensed Civil Engineer (Cavite-based),Civil/Construction,"Property Company of Friends, Inc.",2021-05-30,Cavite,Contract,,Not Specified / In Description,Not Specified / In Description,"DUTIES & RESPONSIBILITIES: Conduct site inspection and monitoring.Coordinate with contractors and suppliers.Issue notices of violation or notices of non-compliance to contractors, and conducts weekly evaluation of completed construction materials modules or works billed by contractors.Conduct quality control inspections and checklisting.Conduct daily status inspection and reporting of works, manpower and equipment.Sign all QC inspection reports and evaluate all accomplishment billings.Documentation of all site procurement, requisitions, requests and other operating reports.Perform other tasks that may be assigned from time to time. QUALIFICATIONS: Candidate must possess at least Bachelor's/College Degree in Engineering (Civil) or equivalent.Must be licensed civil engineer.Proficient in MS Office and has knowledge in Autocad or Microsoft ProjectHas good work ethic and has the proven capacity to multitask.Willing to be assigned in Micara Estates Tanza, Cavite.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Facilities Management Head (Iloilo),Civil/Construction,"Property Company of Friends, Inc.",2021-05-30,Western Visayas,Contract,,Not Specified / In Description,Not Specified / In Description,"JOB SUMMARY Directly responsible in managing facilities, equipment, utilities, and installations in the common areas of the estate are operational. Provide optimal services – general and administrative to external and internal customers and support the Community of Administration’s Section with their requirements related to facilities maintenance. Ensure compliance to Home Improvement related policies & restrictions. He/she will review, approve and monitor house improvement projects. DUTIES AND RESPONSIBILITIES I. Monitoring of house alteration and improvement of homeowners: Orientation of buyers re: guidelines & requirements on house improvements Regular inspection of the unit during the time of improvement Final inspection prior to release of construction bond Recommends release of construction bond (construction bond form) process request forconstruction bond refund. Approval of layout plan​ II. Provide support to the Division Head in the implementation of estate and asset management processes, procedures: Perform continual inspections of the properties to ensure that all is properly maintained and that the environment is safe and attractive Prepare list of capital replacements required or anticipated, when applicable and submit to Division Head in advance of budget preparation​ III. Other Tasks: Assists in the external compliance of government regulatory permits and clearances in coordination with general accounting department. Oversees and supervises the various support services functions (i.e. allied services, office maintenance, motor pool, asset management, file management, and document duplication). Implements the disposal/decommissioning of the company assets considered as scrap or unusable in accordance with administrative policies in coordination with the asset disposal committee and ensures that the best interest of the company is served. Prepares and recommends a working budget related to facilities maintenance. Directly coordinates and maintains good relations with utility companies, local government agencies, police, fire protection, the church, contractors, neighborhood. QUALIFICATIONS Candidate must possess at least a Bachelor's/ College Degree in Civil Engineering or equivalent. Extensive knowledge in property/estate management, facilities maintenance, administration, and general services. Must have strong personal computer skills and be effective with office application software. Should be knowledgeable in construction / fit out. Strategic and analytical and has ability to coordinate, negotiate and work with people.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Licensed Civil Engineer,Civil/Construction,"H.G Silos, Inc.",2021-05-30,Makati City,Contract,"25,000-35,000",Not Specified / In Description,Not Specified / In Description,"(a.) Developing detailed designs. (b.) Doing feasibility assessments and site inspections. (c.) Preparing and implementing project plans. (d.) Researching and providing estimates for projects. (e.) Reviewing government regulations and ordinances. (f.) Monitoring and optimizing health and safety procedures, production processes, and regulatory compliance. (g.) Making recommendations or presenting alternative solutions to problems. (h.) Confidently liaising with clients and other professional subcontractors. (i.) Project management duties (e.g. managing budgets, resources, and deadlines; acquiring and compiling quotes, etc.). (j.) Manage day to day work of construction team (k.) Take part in Risk Assessment and report any risks associated with construction work. (l.) Report to PMT and Area Manager (m.) Prepare construction installation method statements. (n.) Review sub-constructors associated with work from a technical standpoint (o.) Witness final testing and commissioning (p.) Any other work related responsibilities that may be given by Management. The Employee agrees that during his/her employment with the Company, he/she shall devote his/her full business time to the business affairs of the Company and shall perform his/her duties faithfully and efficiently subject to the direction of his/her Immediate Supervisor..","25,000","35,000",Not Specified,Not Specified,Engineering
Joblum,Structural Engineer,Civil/Construction,"H.G Silos, Inc.",2021-05-30,Makati City,Contract,"25,000-35,000",Not Specified / In Description,Not Specified / In Description,"(a.) Developing detailed designs. (b.) Doing feasibility assessments and site inspections. (c.) Preparing and implementing project plans. (d.) Researching and providing estimates for projects. (e.) Reviewing government regulations and ordinances. (f.) Monitoring and optimizing health and safety procedures, production processes, and regulatory compliance. (g.) Making recommendations or presenting alternative solutions to problems. (h.) Confidently liaising with clients and other professional subcontractors. (i.) Project management duties (e.g. managing budgets, resources, and deadlines; acquiring and compiling quotes, etc.). (j.) Manage day to day work of construction team (k.) Take part in Risk Assessment and report any risks associated with construction work. (l.) Report to PMT and Area Manager (m.) Prepare construction installation method statements. (n.) Review sub-constructors associated with work from a technical standpoint (o.) Witness final testing and commissioning (p.) Any other work related responsibilities that may be given by Management. The Employee agrees that during his/her employment with the Company, he/she shall devote his/her full business time to the business affairs of the Company and shall perform his/her duties faithfully and efficiently subject to the direction of his/her Immediate Supervisor..","25,000","35,000",Not Specified,Not Specified,Engineering
Joblum,Geotechnical Engineer 2 (Railway Experience is required),Civil/Construction,"Oriental Consultants Philippines, Inc.",2021-05-30,Central Luzon,Contract,,Not Specified / In Description,Not Specified / In Description,"Job Description:Perform geotechnical analysis and study to assess construction site condition. Plan and conduct geotechnical exploration effectively. Perform field and environmental investigations for construction projects. Analyze geotechnical findings, perform appropriate calculations and prepare data reports to Manager.Duties and Responsibilities:· Oversee the day-to-day operations of the subcontractor for geotechnical surveys, both onshore and offshore· Ensure safety and quality of site operations of subcontractors· Develop proposals and determine cost and schedule for investigations.· Provide direction to technical team in field inspection activities.· Interact with customers and team members to complete the assigned project on-time.· Evaluate team performance and determine training needs to meet performance objectives.· Perform basic office administration tasks when needed.· Assist Manager in design and evaluation of constructions.· Develop design drawings and specifications for construction projects.· Review and approve geotechnical designs developed by outside consultants.· Review construction design proposals and approve geotechnical aspects.· Efficient and effective supervision and management of site geotechnical activities, inclusive of correct sampling procedures, the soil laboratory tests, the correct procedures in carrying out the pressuremeter, the PS logging, the CPTu, and the application of gINT8i software in data processing.Qualification:· A degree is necessary for entry to this career. Relevant subjects include:o engineering geologyo geologyo geophysicso geotechnologyo mineral/mining engineering.· At least 10 years experience· Supervision of at least two On-shore and at least one Off-shore geotechnical survey for an infrastructure project",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,PROJECT MANAGER,Civil/Construction,Topnotch Catalyst Builders Inc.,2021-05-29,National Capital Reg,Project Base,"35,000-45,000",Not Specified / In Description,Not Specified / In Description,Candidate must possess at least Professional License (Passed Board/Bar/Professional License Exam) in Engineering (Civil) or equivalent. At least 10 Year(s) of working experience in the related field is required for this position. Required Skill(s): PROJECT MANAGEMENT Preferably Assistant Manager/Manager specialized in Engineering - Civil/Construction/Structural or equivalent. Computer Literate Experienced in DPWH Projects Knowledgeable in any Project Management Software Proficient in Construction Costing and Scheduling Can drive and handle multiple Projects,"35,000","45,000",Not Specified,Not Specified,Engineering
Joblum,QUANTITY SURVEYOR- SITE,Civil/Construction,"Vertical Space Interiors, Inc.",2021-05-29,Cebu (Cebu City),Contract,"15,000-21,000",Not Specified / In Description,Not Specified / In Description,"Preferred Qualifications Educational Background: College Degree – BS Civil Engineering, licensed CE Professional license: Certified Cost Professional (CCP) Work Experience: 4 years experience as a Quantity Surveyor in an architectural and or interior design / fit-out company RESPONSIBILITIES: Support business goals by measuring and reporting work completion and documenting contract variations. Ensure profitability of projects while adhering to VSI quality standards and all relevant laws and regulations. Support business goals by measuring and reporting work completion and documenting contract variations. Ensure profitability of projects while adhering to VSI quality standards and all relevant laws and regulations. Participate in kick – off meetings to understand scope, site conditions, bill of quantities, special instructions. Evaluate and document work accomplishment rate in project site and prepare Monthly Progress Billing for submission to client. Receive Request for Invoice from client QS and submit to Project Accountant / Accounts Receivable Evaluate and recommend approval of subcontractor’s progress billing. Coordinate with Project Architect / Design Team / Project Manager to document contract variations. Prepare revised material quantity estimates based on approved design changes. Submit these to QS Team Lead for cost computations.","15,000","21,000",Not Specified,Not Specified,Engineering
