Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Joblum,Project Supervisor,Electronics,"[email protected] Knowledge Specialists, Inc.",2021-05-30,"Davao del Norte, Davao del Sur (Davao City), Davao del Sur (Others), Davao Oriental",Contract,,Not Specified / In Description,Not Specified / In Description,"Job Qualifications:- Must be currently living in DAVAO or within Mindanao.- Graduate of BS Electronic/Electrical Engineering. with related Telecom experience for said position , Driver's License.- Must have 1 year experience in handling OSP/FTTH/Fiber Optic projects.- Excellent in negotiation skills ; Good communication skills both oral and written. Job Description:-Assist the project manager to manage the team, during the project delivery phase.- Arrange company resources reasonably, coordinate and manage subcontractors/suppliers ; Monitor the output quality of the project implementation schedule ; Ensure the offshore cable project delivery on time and quality within the budget.- Modern project management knowledge is an advantage ; Able to use project management tools and skills reasonably and effectively, make project management plan, organize engineering project implementation",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Assistant Project Manager,Electronics,"[email protected] Knowledge Specialists, Inc.",2021-05-30,"Davao del Norte, Davao del Sur (Davao City), Davao del Sur (Others), Davao Oriental",OJT,,Not Specified / In Description,Not Specified / In Description,"Qualifications:• Must be have a Bachelor's degree in Engineering (ECE/EE or any related engineering course).• Preferably have 1 year experience in Telecom industry handling FTTH/Fiber Optics/OSP/Wireless projects.- Must be currently living in Davao. Duties and Responsibilities:• Administrative functions such as planning meetings, coordinating with project coordinators and overseeing the minute details associated with complex task tracking.• Field calls and manage correspondence from the project/program team members.• Support role and cater to the directives of the Regional Project Head.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Quality Engineer,Electronics,Amkor Technology Phils. Inc.,2021-05-30,National Capital Reg,Full Time,"25,000-45,000",Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Engineering (Chemical), Engineering (Electrical/Electronic) or equivalent. At least 2 year(s) of working experience in Process Engineering and or Quality Engineering in semiconductor company Knowledgeable on the following:- 8D, FMEA, DOE, Why-Why Analysis- Statistics (Cpk, SPC, Inferential)- Project Management- Knowledge in wirebond and test machines is an advantage Willing to work on weekends, holidays or render overtime if necessary Applicants must be willing to work in Laguna. Preferably 1-4 Yrs Experienced Employees specializing in Engineering - Electronics/Communication or equivalent. Full-Time position(s) available.","25,000","45,000",Not Specified,Not Specified,Engineering
Joblum,Senior Quality Engineer,Electronics,Amkor Technology Phils. Inc.,2021-05-30,"Muntinlupa City, Laguna (Others)",OJT,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree, Engineering (Chemical) or equivalent. Minimum of 3 years experience in Semiconductor industry with strong background in process controls and quality systems. Knowledgeable in 8D/SPC/FMEA, Project Management, Supplier Management and Audit experiences Good oral and written communication skills JOB SUMMARY Responsible for directing, overseeing and monitoring all activities related to the checking / quality improvement and monitoring of all assemble and shipped parts to ensure conformance to the requirement of the customer / industry. DUTIES & RESPONSIBILITIES 1.) To ensure new package, process, material and equipment are aligned in current operation program of ATP. 2.) Attends to problem lots / customer complaints, analyzes sources of the problem by getting all relevant data from the process history and other sources, communicates to concerned department and facilitate internal / external customer complaint. 3.) Reviews sampling plan on a continuing basis in each assembly station to determine the suitable quality levels and inspection procedures in line with productivity and quality goals of ATP. 4.) Coordinates, champions and administers customer corrective action reports and feedback. 5.) Designs, implements, displays and sustains process and quality control procedures to ensure reliability and quality performance of manufactured products. 6.) Supports manufacturing by identifying improvement opportunities and resolving through team meetings and quality circles. 7.) Audits the assembly area to ensure that QC controls, and standard operating procedures are properly implemented. Issues applicable quality assurance tags / forms for corrective action. 8.) Participates / involves in the company’s quality improvement programs such as FMEA, MPCPS, TPM, Customer Focus Team, CFE, TFT etc.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Biomedical Engineer/Technician,Electronics,Globequipt Corporation,2021-05-30,Calabarzon & Mimaropa,Contract,"17,000-23,800",Not Specified / In Description,Not Specified / In Description,"Biomedical Engineer/Technician PHP 17,000 - 23,800 total package (basic salary, allowances, incentives & health insurance) plus travel opportunities. Responsibilities: Perform in-house or on-field diagnosis, trouble-shooting and/or repair of a wide range of biomedical equipment. Estimate cost of labor, parts and supplies that are necessary to perform equipment repair and carry-out full testing. Perform installation, commissioning and end-user training for a range of brand-new, high-value equipment. Perform refurbishment, calibration, quality assurance and acceptance testing for a range of pre-owned equipment. Participate in the delivery of Preventive Maintenance Services (PMS) at customer premises based on agreed contracts. Support the Account Managers in conducting product demonstrations to customers. Familiarize with manufacturer's guidelines on equipment installation, safety procedures, maintenance and repairs for various equipment. Keep abreast of new developments and techniques on biomedical equipment repair, calibration and maintenance. Qualifications: Candidate must be a licensed Electronics or Electrical Engineer. Required skill(s): Communication (verbal & written); PCB analysis and trouble-shooting; power-supply repairs; user-interface software; equipment calibration. Candidates currently employed in an engineering role will be highly regarded, but recent board passers who can demonstrate genuine interest in biomedical equipment technology will also be considered. Required language(s): English, Filipino. Ability to speak a major regional dialect like Ilocano and Cebuano will be highly regarded The position is based in Calamba City but frequent local and occasional regional travel are involved. This is an immediate job opening offering excellent entry into the exciting and fast growing healthcare industry. Act quickly as preference will be given to early applicants. Interviews will be conducted beginning June 7, 2021. Serious candidates are urged to contact to Ms. Bing Alibutod on 09204014231 for any queries.","17,000","23,800",Not Specified,Not Specified,Engineering
Joblum,SAQ - Telco (Palawan),Electronics,Sinobridge Philippines,2021-05-30,Palawan,Not Specified,"25,000-35,000",Not Specified / In Description,Not Specified / In Description,"1. Identify candidates for specific land leases based customer criteria, owner interest, and jurisdictional Zoning and/or Land Use regulations. 2. Negotiate lease acquisitions and lease amendments required for telecommunications installations. 3. Oversee specific leasing operations and ensure that assignment and scheduling of related work follows agreed-upon timelines. 4. May serve as a point of contact for the community and/or government agencies. 5. Prepare or oversee preparation of tower company collocation applications. 6. Assist or oversee completion of Zoning and Permit applications for submittal to jurisdictions and coordinate the zoning process with outside counsel and vendors. 7. Work directly with Site Acquisition Manager and/or other site acquisition and construction personnel to provide site acquisition expertise in all aspects of project. 8. Quality control, data entry and tracking of Site Candidate Packages, tower lease and amendments and other Site Acquisition documentation. 9. Coordinate, schedule and track site visits and technical team visits with various departments 10. Coordinate, order and track title, surveys, environmental reports, structural analysis, regulatory reports, lease exhibits and construction plans and drawings as required. 11. Must be able to read and interpret surveys and construction drawings. 12. Obtain Landlord approval on Construction Drawings and zoning/permit applications. 13. Prepare and update site status reports/databases, site close-out packages, and attend client meetings or deployment calls as required. 14. Assist Management in tracking and reporting site acquisition self-perform revenue/market credit and preparation of client billing. 15. Knowledgeable on Right-Of-Way process","25,000","35,000",Not Specified,Not Specified,Engineering
Joblum,Research & Development Head,Electronics,Not Specified,2021-05-29,National Capital Reg,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Manages & Directs the Research & Development Programs to meet organizational needs Develops & Implements Research & Development procedures & Techniques Oversees Complex Research Projects, Analyze Results & provides recommendations based on findings Assess the scope of research projects & ensures they are on time & within budget",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Electrical Engineer,Electronics,Motolite,2021-05-29,Bulacan,OJT,,Not Specified / In Description,Not Specified / In Description,"QUALIFICATIONS: Candidate must be a graduate of BS Electrical Engineering Preferably with license Experience working in a Solar Industry or a Semicon Industry is an advantage Has excellent academic background (activeness in Extra-curricular activities is an advantage) Must possess good verbal and written communication skills Has exceptional interpersonal skills in order to communicate well with various departments in the company Advanced MS Excel skills is an advantage Required skill(s): Visual Basic, MS Office, C Language, AutoCad, Pro/Engineer (specifically Arduino) Willing to be assigned at our plant in Sta. Maria Bulacan FRESH GRADUATES are welcome to apply!",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Network Engineer (EL 1523),Electronics,Accenture,2021-05-29,"Central Luzon, National Capital Reg, Calabarzon & Mimaropa",OJT,,Not Specified / In Description,Not Specified / In Description,"Go through a faster and more convenient recruitment process today and be part of one of the biggest and most stable organizations in the world! Network Engineer is responsible in assisting program manager in overall project coordination and overseeing project and services delivery from ordering to activation. Tasks may include the following: Responsible for placing orders for different telco services that support network requirements.Work and coordinate with internal and external team to ensure timely delivery of network services.Oversee materials delivery, work with vendors and service providers from installation until service acceptance.Ensure alignment between planned and projected dates for the assigned tasksTracking carrier order progress of adds/changes/disconnects and install activities.Escalating missed milestones, ping testing, and overseeing implementation of network capacity for corporate offices and data centers worldwide.Manage cradle-to-grave implementation activities to meet aggressive deadlinesLead discussions with carriers and external customers, work closely with internal departments, and document tickets in status tracking database. What are we looking for? Bachelor’s degree holder, preferably IT-related courses (ECE, Computer Engineering, IT), is needed.At least 6 months working experience in Network Engineering, Network Support, NOC support/engineer, Network IT SupportExperience in Project Management, Project Coordination is an advantageMust have excellent English-speaking skillsCCNA/CNNP Certified or Trained is preferredMust be amenable to work in Taguig or Alabang Why join Accenture? Competitive salary package, company bonuses, and performance incentivesNight differentialLoyalty, Christmas gift, Inclusion and diversity benefitsPaid sick and vacation leavesExpanded maternity leave up to 120 days*HMO coverage (medical and dental) from day 1 of employmentLife insuranceEmployee stock purchase planRetirement planFlexible working arrangementsAccessible locationsHealthy and encouraging work environmentCareer growth and promotion opportunities How to apply? Apply in JobstreetClick on “Apply Now” to submit your application and wait for a phone call and SMS from our recruiters, within 24-48 hours, 9AM-6PM. *Terms and conditions apply.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Project Engineer- Auxiliary,Electronics,"Accent Micro Technologies, Inc.",2021-05-29,Pasig City,Contract,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least Bachelor's/College Degree in Engineering (Electrical/Electronic) or equivalent. At least 2 Year(s) of working experience in the related field is required for this position. Preferably 1-4 Yrs Experienced Employee specialized design, estimation and implementation of Structured Cabling Systems (Fiber & Copper), CCTV, Access Control System and Paging System. Added experience with other auxiliary system such as FDAS and BMS would be a plus factor. Background in Construction and telco & roll-out is an advantage. Candidate must be willing to work in Ortigas Centre, Pasig City. Job Description: 1. Assist Sales in representing the Company to a client by means of presentation related to structured cabling design, project schedule, bill of materials and warranties. 2. Conduct Project site survey, design, implementation & coordination meeting. 3. Create initial proposal based on the created BOM that will serve as a reference for Sales final proposal. 4. Assist purchasing coordination, selection (canvassing and quality assurance) of the right supplier for the needed materials in every project. 5. Responsible in all technical drawings, methodology of works, work schedule, project report status & other required documents by client and other contractor related to structured cabling projects. 6. Responsible in providing needed information to project manager based on BOM, design and client expectation. Transferring of knowledge on design and other project information that serve as reference of project manager/ supervisor in implementing the project. 7. Conduct lectures and training with subordinates to enhance workmanship quality. 8. Attend construction meetings. 9. In-charge in the deployment of manpower in project site. 10. Monitor on going projects. 11. Document Ongoing and Finished Projects (As- built plan, test result and Completion) 12. Coordinate with peers and other Departments to ensure strict adherence and compliance to business processes 13. Perform other tasks that maybe assigned from time to time. *Initial to final interview will be conducted online",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
