Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Joblum,DB Operations,IT - Hardware,HCL Technologies Philippines Inc,2021-05-30,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Computer Science/Information Technology or equivalent. At least 3 year(s) of working experience in the related field is required for this position. Full-Time and Contract position(s) available. Install and configure DBMS software by fullfilling the internal standards Design, develop and enhance the monitoring infrastructure Coordinate the upgrade/patch activities together with all stakeholders Follow and manage the patch/upgrade strategy Support the service/project team in case of performance issues Design the future solutions in the database area Tuning and houskeeping DB service Backup configuration and backup/restore testing / optimization Transaction optiomization and analysing execution plan Ticket management (L2/L3 support) in collaboration with our strategic AWS 5+ years Oracle DB operation experiences Oracle DBA or Oracle Engineering background Advanced knowledge of database security, backup and recovery, and performance monitoring standards PowerShell and Unix shell scripting skills Strong mathematical and statistical knowledge Excellent written and verbal communication skills in English Bachelor’s degree in computer science or a related field Experience with Linux and Windows Server environments Extensive experience with further database technologies (MySQL, MS SQL, PostgreSQL, MongoDB) Certified AWS SysOps Administrator is aplus """,Not Specified,Not Specified,Not Specified,Not Specified,IT
Joblum,Middleware Operations,IT - Hardware,HCL Technologies Philippines Inc,2021-05-30,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Computer Science/Information Technology or equivalent. At least 3 year(s) of working experience in the related field is required for this position. Preferably Supervisor / 5 Yrs & Up Experienced Employees specializing in IT/Computer - Hardware or equivalent. Full-Time and Contract position(s) available. Administration and configuration of application server Issues investigation and troubleshooting Middleware refreshment and patching Ticket management (L2/L3 support) in collaboration with our strategic AWS Contribution to the design, technical documentation, implementation and administration of enterprise applications Coding of automation and monitoring scripts Experience in operating highly-available services, ideally in the financial industry Experience with design/architecting large-scale distributed systems preferably using AWS technologies.4+ years of operating container platforms Kubernetes, Mesos, Docker Experiences in configuring and operating AWS EKS desirable. 3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design. Bachelor's degree in Computer Science, Engineering, Mathematics or IT related technical discipline",Not Specified,Not Specified,Not Specified,Not Specified,IT
Joblum,Infrastructure Operator Support,IT - Hardware,HCL Technologies Philippines Inc,2021-05-30,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Computer Science/Information Technology or equivalent. At least 3 year(s) of working experience in the related field is required for this position. Full-Time position(s) available. Responsible for product deployment and CI/CD tools like Jenkins.Work on cloud security such as managing users, roles and privileges through IAM.Ticket management (L2/L3 support) in collaboration with AWS Experience in managing IT environments on behalf of customers. Engineering, Computer Science, IT Degree or equivalent experience. Certified AWS systems administrator Experience and Certification in ITIL and or Dev Ops Experience with Web services, systems administration (Linux and/or Windows), Networking, Java, Oracle Strong understanding of Linux, Networking Technologies & Software Development.",Not Specified,Not Specified,Not Specified,Not Specified,IT
Joblum,Head of Customer Support,IT - Hardware,"Sysgen RPO, Inc.",2021-05-30,"Bicol Region, C.A.R, Cagayan Valley, Central Luzon, Ilocos Region, National Capital Reg, Calabarzon & Mimaropa",Not Specified,,Not Specified / In Description,Not Specified / In Description,"Job Scope Customer Success is vital to our long-term profitability. We will not be successful unless our customers are receiving considerable value from our service and continue to purchase on a recurring basis.A key part of delivering this is having visibility and control of our inbound customer queries, contacts and interactions. As such, we need a global senior manager/department head to lead a world class, customer focused contact centre. This contact centre creates a single gateway for customer support within OneOcean and is accountable to the customer for resolving the query to pre-defined service levels across time and quality metrics.This is a new position and will require the right candidate to build a new team and new attitude with regards to customer support. Global Travel is considered a normal part of this job. Responsibilities Deliver department objectivesDevelop and maintain department strategyBuild and maintain department capability and expertiseProvide Visibility, Control and Reporting on the department operations and customer interactionsBuild strong communication channelsBuild, maintain and lead a high performing global teamAppoint and manage Regional Support Managers Mentor and Coach staff at all levelsManage budget adherence for the function including ownership of any supplier spendEnsure suitable resourcing of the Contact Centre globally and across holiday periods – balancing capacity against demandRuns incident management globally Hard Qualifications: Experience running a global helpdesk Experience establishing a global helpdesk Strong English communication skills Min 5 years of experience",Not Specified,Not Specified,Not Specified,Not Specified,IT
Joblum,TECHNICAL SUPPORT FOR ECOMMERCE,IT - Hardware,Beyond I. Tech Ventures Corporation,2021-05-29,Quezon City,Not Specified,"13,000-16,000",Not Specified / In Description,Not Specified / In Description,"GameOne is currently the brainchild and main business of several business ventures under our company. GameOne initially began as an electronics store primarily centered around mobile phones, more importantly Apple. GameOne then catered to the local market’s demands of named mobile phone brands and accessories, usually among the first in the country to sell new products from our business partners. Currently, GameOne is an authorized retailer for video game brands and softwares, as well as computer peripherals and accessories. We continue to strive to provide our growing number of customers the best customer experience and service in the market. We are currently looking for highly motivated talents with proven capacity to generate good results to help us execute our initiatives and be part of our rapid growth and expansion. We are urgently in need of: SALES TECHNICIAN / TECH SUPPORT Candidate must possess at least Graduate of any IT related course / Vocational Diploma/Short Course Certificate in any field. NC II holder- Computer Hardware servicing Excellent Communication Skills At least 2 Year(s) of working experience in the related field is required for this position. Outstanding written and verbal communication skills, great email, chat and social media etiquette JOB DESCRIPTION · Strong knowledge of technical and scientific products, including the functions and components that enable the products to work. · Promote and sell the product by demonstrating how it works along with the benefits it can offer potential customers. · Repair and troubleshoot laptops or any IT products. · Provide knowledgeable answers to inquiries of customers in all platforms (Lazada, Shopee, and Social media pages) especially page inbox and comment sections of the post","13,000","16,000",Not Specified,Not Specified,IT
Joblum,IT Supervisor - Iloilo,IT - Hardware,TDCX,2021-05-29,Iloilo (Iloilo City),Full Time,,Not Specified / In Description,Not Specified / In Description,"Do you want to be part of an award-winning, premium, and fast-growing outsourcing provider? Do you want to work in a company that puts your growth and happiness on top of its priorities? We are looking for awesome additions to our growing workforce. Be home, belong, and start your #BeHappier journey with TDCX today! Top reasons to work here: Above-industry average salaryMonthly performance bonuses upon regularizationHMO benefits on Day 1 + one (1) free dependent after 6 monthsGroup life insurance starting on Day 125% Night differential rate (higher than the industry average!) 15 Sick Leave credits with cash conversions15 Vacation Leave credits with carry overPremium & Instagrammable workspacesPositive culture for you to #BeHappier at workStrong Learning and Development plans for your growth and career accelerationEngagement and Recognition Programs What is your mission? As an IT Supervisor, you will manage the deliverables and timeline of your team and handle IT Infrastructure and devices i.e., network, telephony, servers, personal computers, printers and all IT-related applications and tools including mobility solutions. You are also required to perform these job functions: Be accountable for Incident, Problem, and Escalation management for defined set of customersMonitor, control, and support workflows to ensure timely response to and resolution of ticketsCoach and develop IT associates to achieve professional objectivesInteract with partners/clients to align and deliver on objectivesServe as an escalation point for the domain’s related incidents ensuring customer satisfaction, quick and sound resolutionMonitor and ensure the KPI’s and SLA’s are abiding by through regular reviews with partners and vendors and hold accountable discussions on result driven dataSupervises all IT Governance, Risks and compliance related work projects with impacts to any area within the Information Technology (IT) Division Who are we looking for? Must be a graduate of any IT/Engineering related courseMinimum 5 years’ experience in an IT environment with an emphasis on Service Delivery / IT OperationsAt least 3 years Supervisory experieneExcellent communication skills, both oral and written, with various audiences; mature, confident, assertive communication styleHigh levels of patience and calm under pressure to facilitate technician coaching and trainingEnjoy working independently with little or no supervision while maintaining a high level of efficiencyHighly motivated individual and a proactive learnerValidated ability to work in a team environmentITIL Certification is a plus",Not Specified,Not Specified,Not Specified,Not Specified,IT
Joblum,Security Specialist (L2),IT - Hardware,Total Information Management Corp.,2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Core Responsibilities: To do all assigned tasks by the management in a timely and effective manner as deemed necessary for the betterment of the organization.Be part of the primary service relationship interface between customers and TIM SOC OperationsSupport in carrying out SOC-as-Service project system implementations for customers using the IT service management framework, which involves the whole ITSM and ITIL FrameworkAssists and guides SOC Analysts in the monitoring of security events for proper categorization and prioritizationActs as Incident Responder (IR) and conducts the handling of the ncident response plans, initial evaluations, and threat assessment of security alertsInitiates Triage and notification to customersAnalysis and determination of actionable events based on available logs, packet captures and all other data sniffing through themDistinguishes actionable from all other and eliminating false positives and irrelevant informationProvides help and appropriate actions in remediation of critical information security incidentsTo flag recurring incidents and inform SOC Manager of such incidents for proper Problem Management handling.Implements service requests based on documented proceduresPerform other duties and functions deemed necessary for TIM SOC Unit Requirements: Must be a graduate of Computer Studies/Computer Engineering/Information Technology/Electronics Engineering or equivalentHave at least 5 years working experience in a SOC Operations environment.At least 1 significant certification: CCNA Routing & Switching, CCNA Wireless,CCNA CyberOps, CompTIA Security+,CompTIA CySA+ (Cybersecurity Analyst), EC-Council Computer Hacking Forensics Investigator, EC Council: Certified Ethical Hacker (CEH), ITIL, Linux & Windows AdminFull-Time position(s) available.",Not Specified,Not Specified,Not Specified,Not Specified,IT
Joblum,IT Technical Support (5 months Project-Based),IT - Hardware,Not Specified,2021-05-29,Quezon City,Full Time,,Not Specified / In Description,Not Specified / In Description,"Job Purpose As Technical Support Analysts Project Based, he will monitor the Managed Service provider on dispatching Incident Request and Service Request Provides support to users according to defined SLAs As Technical Support Analysts Project Based, he must develop tactical plans and controls for effective management of their territories Build strong relationship with branch/deployed personnel, dealers, and franchise operators Respond to inquiries from clients and help them resolve any hardware or software problems issues until process of educating the End Users is established within six months Performs systems and network administration on their areas of operations Ensure confidentiality and maintain security standards of corporate data on the field Assists in preparing, maintaining, and upholding procedures for logging, reporting, and statistically monitoring PC performance Documents instances of hardware failure, repair, installation, maintenance, and disposal Installs, configures, tests, maintains, monitors, and troubleshoot end user workstation hardware, networked peripheral devices, and networking hardware and software products Monitors preventive maintenance of Managed Service provider, including the installation of service packs, patches, hot fixes, anti-virus software, and others that may apply Submits required reports in a timely manner Receives and responds to incoming PORTAL, calls, and/or e-mails regarding PC and/or hardware problems and dispatches MS accordingly Apply OS patches and upgrades on a regular basis and upgrade administrative tools and utilities. Configure / add new services, as necessary Develops and maintains an inventory of all monitors, keyboards, hard drives, modems, printers, scanners, and other peripherals equipment Ensure timely documentation of relevant activities and material movements Ensure that Technical Reports are submitted and acted on a timely manner Ensure the timely submission of reports for analysis and review Qualifications Experience with Infrastructure support on a diverse scale Adept with best practice methodologies on troubleshooting & issue resolution techniques Knowledge of multiple desktop programs, configuration and debugging techniques Strong work ethic, detail oriented as well as excellent on oral and written communication skills Knowledgeable in supporting Windows XP, Microsoft Office, Outlook in and Exchange Environment, Multiple browsers, basic hardware issues, desktops, laptops, printers, and mobile devices and remotely Must have a superior customer service and support Strong interpersonal and organization skills, successful in working both independently and in a team environment Strong problem-solving skills Knowledgeable with business management and practices Knowledgeable in network installation/administration, programming, troubleshooting. Willingness to report on-site especially when needed Willingness to work on weekends if required",Not Specified,Not Specified,Not Specified,Not Specified,IT
Joblum,Project Manager,IT - Hardware,"Accent Micro Technologies, Inc.",2021-05-29,Pasig City,Project Base,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least Bachelor's/College Degree in Engineering (Computer/Telecommunication) or equivalent. At least 1-4 Year(s) of working experience in the related field as a Project Manager is required for this position. Candidate must possess good organizational skills, planning of resources and program scheduling. Project Management Professional Certification is an advantage. KEY DUTIES AND RESPONSIBILITIES Plan and implement projects. Help define project scope, goals and deliverables. Define tasks and required resources. Collect and manage project team Manage budget Allocate project resources Create schedule and project timeline Track deliverables Support and direct team Lead quality assurance Monitor and report on project progress Present to stakeholders reports on progress as well as problems and solutions Implement and manage change when necessary to meet project outputs Evaluate and assess result of project. *Initial to final interview will be conducted online.",Not Specified,Not Specified,Not Specified,Not Specified,IT
Joblum,IT Operations Manager (Makati),IT - Hardware,"EJ Hall Consultants, Inc.",2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Computer Science/Information Technology or equivalent. At least 5 year(s) of working experience in Project, Vendor, Program and Service Management Strong communication skills Candidates must be willing to work in Makati Full-Time Direct position(s) available. Job Description: Manages tasks of Project Teams, defines roles and responsibilities and sets performance objectives and standards the ICT Application Support Team and Internal Business Partners in addressing cases regarding systems development support and application Manages IT Help Desk and engineers for internal and external uses Participates in SLA reviews and monitors monthly performance through the agreed measurements or KPIs Evaluates business requirements and provides the business community with sound advice on best business systems and IT practice",Not Specified,Not Specified,Not Specified,Not Specified,IT
