Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Joblum,NUTRITIONIST DIETITIAN I,Food Tech/Nutritionist,Culion Sanitarium and General Hospital - Government,2021-05-30,Calabarzon & Mimaropa,Not Specified,"23,877",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 4, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Culion Sanitarium and General Hospital Plantilla Item No. :OSEC-DOHB-ND1-300004-2021 Salary/Job/Pay Grade : 11 Monthly Salary : Php 23,877.00 QUALIFICATIONS Eligibility : RA 1080 Education : Bachelors Degree major in Nutrition, Dietetics or Community Nutrition Training : None Required Work Experience: None Required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 4, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: MARY GRACE F. NON HRMO DEPARTMENT OF HEALTH BRGY. TIZA, CULION, PALAWAN 5315 [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","23,877","23,877",Not Specified,Not Specified,Science
Joblum,FOOD TECHNOLOGIST,Food Tech/Nutritionist,VROSS CORPORATION (Butuan),2021-05-29,Agusan del Norte (Butuan),OJT,,Not Specified / In Description,Not Specified / In Description,"excellent written and oral communication skills. Good teamwork abilities. Confidence. The ability to work independently. Meticulous attention to detail, especially with regard to food hygiene and safety. Strong analytical and numerical skills.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Food Technologist,Food Tech/Nutritionist,Proyoung Wellness Clinic,2021-05-29,Quezon City,OJT,"14,000-16,000",Not Specified / In Description,Not Specified / In Description,"Job Description Graduate of a 4-year course in food technology. As a food technologist, your primary responsibility is to ensure that food products are safe and meet specific standards. Will be involved in developing the manufacturing processes and recipes of food and drink products both existing and newly-discovered ingredients to invent new recipes and concepts. Responsibilities: modify existing products and processes and develop new ones check and improve safety and quality control procedures from the raw material to the finished product research current consumer markets and latest technologies to develop new product concepts select raw materials and other ingredients from suppliers prepare product costings based on raw materials and manufacturing costs to ensure profitable products audit suppliers or manage internal audits run trials of new products - either alongside or together with product development coordinate launches of new products compile, check and approve product specifications and labelling undertake long-term projects such as reducing waste by improving efficiency work on packaging innovation and technology conduct experiments and produce sample products design the processes and machinery for making products with a consistent flavor, color and texture in large quantities","14,000","16,000",Not Specified,Not Specified,Science
Joblum,R&D Manager,Food Tech/Nutritionist,Dizon Farms Produce Inc.,2021-05-29,Taguig City,OJT,,Not Specified / In Description,Not Specified / In Description,"Duties R&D manager is responsible for overseeing the entire development process of new products and programs, from the initial planning phase to implementation or production. He/She will need to keep track of all the costs related to the creation of these new products and decide what ideas are worth pursuing. He/She should stay informed on what is happening in the research and development field at large in order to make sure that our company is up-to-date with the most advanced R&D developments. Required Skills R&D head/manager must be able to see the big picture as he/she will have to envision projects from start to finish. He/she must have a keen ability to pay attention to details; closely supervise every step of the development process for new products. Leadership and managerial skills are also important in this role, as well as the ability to communicate well with colleagues and lower level staff. A strong sense of creativity will also aid in the process of doing research, thinking of new product ideas, and solving problems creatively.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,SANITATION INSPECTOR I,Food Tech/Nutritionist,"Municipal Government of Sumilao, Bukidnon",2021-05-29,Northern Mindanao,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : JUNE 7,2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : MUNICIPAL HEALTH OFFICE Plantilla Item No. : 2021-MHO-9 Salary/Job/Pay Grade : 6 Monthly Salary : Php 16,200.00 QUALIFICATION Eligibility : CS SUBPROFESSIONAL Education : COMPLETION OF TWO YEARS STUDIES IN COLLEGE Training : NONE REQUIRED Work Experience : NONE REQUIRED Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than JUNE 7,2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: MS. JENNIFER J. DELA CERNA MBO/HRMO-DESIGNATE MGO SUMILAO, BUKIDNON PUROK 3, KISOLON, SUMILAO, BUKIDNON [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Healthcare Account | Up to 25k* Monthly | Temporary WFH*,Food Tech/Nutritionist,Sykes Philippines,2021-05-29,National Capital Reg,Contract,,Not Specified / In Description,Not Specified / In Description,"Get hired today and start working from home* ASAP! *Disclaimer: Work-from-home setup is temporary. You will be required to report to our Worldwide Corporate Center site (Mandaluyong City) after the pandemic. Our recruitment team will discuss other employment details with you during your interview. WHY YOU SHOULD JOIN SYKES SYKES is the best company where you can work, learn and grow. We offer competitive salary and benefits packages, provide various learning, development and mentoring opportunities and put programs in place to promote career growth. As a multinational digital marketing and customer service global outsourcer, we partner with Global 2000 companies. That means that you get to work with the world’s biggest brands and industry leaders! Here are some of the other benefits of working in SYKES: Competitive salary, account-specific benefits and performance incentivesNight differential and night shift allowancesPaid sick and vacation leavesHMO coverage (medical and dental) for you, even during probationary period, and your qualified dependentsLife InsuranceStudy Assistance ProgramCool office spaces and employee-centric facilitiesAccessible locationsMentoring and development programs for career growth opportunitiesExclusive discounts in partner establishmentsCompany-sponsored interest clubsEmployee engagement activitiesVolunteer programsSYKES has been in the Philippines for more than 20 years and is considered the country’s first multinational contact center! *Terms and conditions apply. *The 25K* monthly package is inclusive of basic pay, incentives and allowances. The basic salary varies depending on your assessment. What are we looking for? Completed at least 2 years of college educationBPO experience is requiredBasic knowledge of computer usage and internet navigationExcellent English communication skillsAt least 25mbps internet speed and workspace suitable for work-at-home Disclaimer: Some hiring requirements are filled immediately. To check if this job opening is still available, you may send our team a message through 09778259999 following this format – JobStreet: <Inquiry>. -- ATTESTATION By submitting your application, you acknowledge that you have read and understood SYKES Recruitment and Privacy Policy (https://www.sykes.com/philippines/sykes-recruitment-and-privacy-policy/). You attest that the personal information you provided, such as, among others, those pertaining to your academic and professional qualifications are accurate, true, complete, and not misleading. In addition, you give your consent to SYKES to verify the information you have provided relative to your application. This includes checks with your previous employers, academic and/or professional institutions and other agencies as permitted by law. You further understand that SYKES is committed to ensuring the confidentiality of your personal data through the institution of appropriate legal, organizational, physical and technical measures to protect such data consistent with applicable privacy and data security laws. You confirm and consent to SYKES (i) collecting, processing and updating your personal data in connection with your employment application and the provision of services through the Sykes e-Recruitment (e-Rec) portal; (ii) publishing your personal data via SYKES e-Rec portal (iii) transferring of your personal data to Sykes affiliates, vendors and third parties in accordance with existing laws and regulations. You are also aware that you are entitled to know whether SYKES holds your personal data, that you have the right to access your personal data, and that you may request for its supplementation, correction, or deletion, in accordance with local laws, as may be applicable. However, you acknowledge that certain personal data may be exempt from such access, correction and deletion requests pursuant to applicable data protection laws and regulations. You confirm and consent to receiving alerts and notices from SYKES regarding important events, deadlines and schedules, HR announcements and other matters of interest related to your work application and possible employment with SYKES.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,NUTRITIONIST DIETITIAN II,Food Tech/Nutritionist,Western Visayas Medical Center - Government,2021-05-29,Western Visayas,Not Specified,"33,575",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 31 , 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : DIETARY Plantilla Item No. : OSEC-DOHB-ND2-420045-2013 Salary/Job/Pay Grade : 15 Monthly Salary : Php 33,575.00 QUALIFICATIONS: Eligibility : RA1080 Education : BACHELOR'S DEGREE MAJOR IN NUTRITION, DIETETICS OR COMMUNITY NUTRITION Training : 4 HRS. OF RELEVANT TRAINING Work Experience : 1 YR. OF RELEVANT EXPERIENCE Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 31 , 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: MARIA CORAZON T. BERJES Supervising Administrative Officer Western Visayas Medical Center, Q. Abeto St., Mandurriao, Iloilo City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","33,575","33,575",Not Specified,Not Specified,Science
Joblum,Research and Development Specialist,Food Tech/Nutritionist,ONEWORLD FOOD INGREDIENTS INC.,2021-05-29,Valenzuela City,Not Specified,"18,000-25,200",Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least Bachelor's/College Degree in Food Technology or equivalent. At least 2 Year(s) of working experience in the related field is required for this position. Required Skill(s): sensory, product development, laboratory Preferably 1-4 Yrs Experienced Employee specialized in [Specialization] or equivalent. Experience in product development: sauces and food seasoning mixes; spaghetti sauce product development an advantage","18,000","25,200",Not Specified,Not Specified,Science
Joblum,Sanitation Inspector I,Food Tech/Nutritionist,"City Government of Valencia, Bukidnon - Government",2021-05-28,Northern Mindanao,Not Specified,"16,200",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 5, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : City Health Office (CHO) Plantilla Item No. : 305 Salary/Job/Pay Grade : 6 Monthly Salary : Php 16,200.00 QUALIFICATION Eligibility : Career Service (Subprofessional) First Level Eligibility Education : Completion of two years in studies in college Training : None Required Work Experience : None Required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 5, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: AZUCENA P.HUERVAS City Mayor CGO VALENCIA, BUKIDNON City Hall Compound, Catarata St., Poblacion, Valencia City, Bukidnon [email protected] / [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","16,200","16,200",Not Specified,Not Specified,Science
Joblum,Quality Management & Food Safety Officer,Food Tech/Nutritionist,"WalterMart Supermarket, Inc.",2021-05-28,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"JOB DESCRIPTION: Develop and drive strategies to ensure conformance to company safety and sanitation standards in all work areas in the stores Responsible for effective and efficient maintenance of records related to the company’s safety and sanitation efforts/program Audit compliance with company quality, sanitation and food safety standards, including reporting of data and maintenance of food safety records Respond to and manage all food safety and health concerns JOB QUALIFICATION: Candidate must possess at least a Bachelor's/College Degree , Biology, Chemistry, Engineering (Chemical), Food Technology/Nutrition/Dietetics or equivalent At least 3 year(s) of working experience in the related field is required for this position Willing to visit stores in Central Luzon and Metro Manila areas Preferably Supervisor / 5 Yrs & Up Experienced Employees specializing in Food Technology/Nutritionist or equivalent Full-Time position(s) available",Not Specified,Not Specified,Not Specified,Not Specified,Science
