Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Joblum,Pharmacist,Pharmacy,Farmacia ni Dok-Calamba Branch,2021-05-30,Laguna (Calamba City),Not Specified,"12,000-16,800",Not Specified / In Description,Not Specified / In Description,"experienced in handling retail or community pharmacy must be self-driven in a community pharmacy Dispensing or supervising the dispensation of medications and related supplies, according to physicians' prescriptions Counseling patients regarding appropriate use of medications","12,000","16,800",Not Specified,Not Specified,Medicine
Joblum,REGULATORY PHARMACIST (ENTRY LEVEL),Pharmacy,Despina Pharma Inc,2021-05-29,National Capital Reg,Not Specified,"18,000-23,000",Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least Professional License (Passed Board/Bar/Professional License Exam) in Pharmacy/Pharmacology or equivalent. At least 1 Year(s) of working experience in the related field is required for this position. With Good Oral & Written Communication Skill. Willing to start Immediately. Knowledgeable in Food Product Registration and Labeling of food and pharmaceutical products is essential. Hard-working, Career-oriented, and eager to learn. *Right candidate could avail free company accommodation","18,000","23,000",Not Specified,Not Specified,Medicine
Joblum,PHARMACIST for TARLAC,Pharmacy,"Watsons Personal Care Stores (Philippines), Inc.",2021-05-29,"Tarlac, National Capital Reg",Full Time,,Not Specified / In Description,Not Specified / In Description,"JOB SUMMARY: The Pharmacist is responsible for dispensing, giving medicine information and monitoring drug therapies. He/ She works to legal and ethical guidelines to ensure correct and safe supply of medicines to the general public. The position is also responsible for the delivery of all regulatory compliance and commercial result of the Drugstore through management of day-to-day operations and implementation of Good Pharmacy Practice (Store Environment, Dispensing Process, Health and Wellness Advocacy and Regulatory Requirements). JOB REQUIREMENTS: • Candidate must possess at least a Bachelor's/College Degree, Professional License (Passed Board/Bar/Professional License Exam), Pharmacy/Pharmacology or equivalent. • Required skill(s): leadership skill, RETAIL PHARMACY OPERATION. • No work experience required. • 2 Full-Time position available.",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Pharmacist,Pharmacy,Springfield Pharma And Medical Supplies Inc.,2021-05-29,Quezon City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Responsibilities: Organize the pharmacy in an efficient manner to make the identification of products easier and faster Maintain full control over delivering, stocking and labeling medicine and other products and monitor their condition to prevent expiring or deterioration Listen carefully to customers to interpret their needs and issues and offer information and advice Provide assistance other medical services such as injections, blood pressure/ temperature measurements etc. Requirements: Proven experience as a pharmacist Thorough understanding of dosage administration and measurement, chemical compounds, medical brands etc. Good organizing skills Excellent communication skills with a customer oriented approach",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,(3) LICENSED PHARMACIST,Pharmacy,"Euro Health Care Exponents, Inc.",2021-05-29,Quezon City,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least Professional License (Passed Board/Bar/Professional License Exam) in Pharmacy/Pharmacology or equivalent. Prefably for Fresh Grad Required Skill(s): 1. Knowledgeable in MS. Office, 2. Adobe Photoshop and Corel Draw 3. Application, Knowledgeable in FDA Liason, Scope of Work (REGULATORY PHARMACIST)",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Pharmacist - Mervillle Parañaque City,Pharmacy,Ambica International Corporation,2021-05-29,Paranaque City,OJT,,Not Specified / In Description,Not Specified / In Description,"Job Description: Responsible for ensuring the correctness and compliance of the documents per FDA Guidelines for the Initial Applications and Biologicals Drug Applications upon submission to FDA to merit approval and secure a Certificate of Product Registration. Responsible for having follow-ups for the applications that were not yet evaluated by the FDA for timely release of approval from the FDA. Able to submit compliance on or before the deadline as prescribed by the FDA. Prepares documents for PCPR and CLIDP Extensions. Job Requirements: A graduate of B.S. Pharmacy Registered Pharmacist With good communication skills, hardworking and flexible Willing to work in Merville Park Subd., Paranaque City",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Healthcare Advocate | Customer Service | Weekends Off,Pharmacy,Sykes Philippines,2021-05-29,National Capital Reg,Contract,,Not Specified / In Description,Not Specified / In Description,"Get hired today and start working from home* ASAP! *Disclaimer: Work-from-home setup is temporary. You will be required to report to our Glorietta 1 site (Makati City) after the pandemic. Our recruitment team will discuss other employment details with you during your interview. WHY YOU SHOULD JOIN SYKES SYKES is the best company where you can work, learn and grow. We offer competitive salary and benefits packages, provide various learning, development and mentoring opportunities and put programs in place to promote career growth. As a multinational digital marketing and customer service global outsourcer, we partner with Global 2000 companies. That means that you get to work with the world’s biggest brands and industry leaders! Here are some of the other benefits of working in SYKES: Competitive salary, account-specific benefits and performance incentivesNight differential and night shift allowancesPaid sick and vacation leavesHMO coverage (medical and dental) for you, even during probationary period, and your qualified dependentsLife InsuranceStudy Assistance ProgramCool office spaces and employee-centric facilitiesAccessible locationsMentoring and development programs for career growth opportunitiesExclusive discounts in partner establishmentsCompany-sponsored interest clubsEmployee engagement activitiesVolunteer programsSYKES has been in the Philippines for more than 20 years and is considered the country’s first multinational contact center! *Terms and conditions apply. *The compensation package is inclusive of incentives and allowances. The basic salary varies depending on your assessment. What are we looking for? At least K-12 graduate or completed at least 2 years of college educationHealthcare (BPO) background is requiredBasic knowledge of computer usage and internet navigationCan communicate in EnglishAt least 25mbps internet speed and workspace suitable for work-at-home Disclaimer: Some hiring requirements are filled immediately. To check if this job opening is still available, you may send our team a message through 09778259999 following this format – JobStreet: <Inquiry>. -- ATTESTATION By submitting your application, you acknowledge that you have read and understood SYKES Recruitment and Privacy Policy (https://www.sykes.com/philippines/sykes-recruitment-and-privacy-policy/). You attest that the personal information you provided, such as, among others, those pertaining to your academic and professional qualifications are accurate, true, complete, and not misleading. In addition, you give your consent to SYKES to verify the information you have provided relative to your application. This includes checks with your previous employers, academic and/or professional institutions and other agencies as permitted by law. You further understand that SYKES is committed to ensuring the confidentiality of your personal data through the institution of appropriate legal, organizational, physical and technical measures to protect such data consistent with applicable privacy and data security laws. You confirm and consent to SYKES (i) collecting, processing and updating your personal data in connection with your employment application and the provision of services through the Sykes e-Recruitment (e-Rec) portal; (ii) publishing your personal data via SYKES e-Rec portal (iii) transferring of your personal data to Sykes affiliates, vendors and third parties in accordance with existing laws and regulations. You are also aware that you are entitled to know whether SYKES holds your personal data, that you have the right to access your personal data, and that you may request for its supplementation, correction, or deletion, in accordance with local laws, as may be applicable. However, you acknowledge that certain personal data may be exempt from such access, correction and deletion requests pursuant to applicable data protection laws and regulations. You confirm and consent to receiving alerts and notices from SYKES regarding important events, deadlines and schedules, HR announcements and other matters of interest related to your work application and possible employment with SYKES.",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Retail Pharmacist| Robinson Antipolo,Pharmacy,TOTAL NUTRITION CORPORATION,2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Job Description Responsible for assisting clients for product informationProvide our customers the best shopping experience.Conduct strategic planning cost control and tactical execution measures to attain regional goalsProvide assistance in coordination, research and preparation of in-depth regulatory evaluation for current assets and businesses Minimum Qualifications Excellent communication skillsMust be a REGISTERED PHARMACISTPassionate for daily customer relationshipWilling to work on shifting schedule (Mall hours)Willing to work in Robinson AntipoloAt least 1-3 years’ experience in retail Perks and Benefits  Paid Vacation Leave Paid Sick Leave Paid Bereavement/Family Leave Maternity & Paternity Leave Single Parent Leave Special Leave Benefits for Women Medical / Health Insurance Employee Discounts Performance Bonus Job Types: Full-time, Contract Application Questions You have requested that Indeed ask candidates the following questions: How many years of Pharmacy experience do you have?How many years of Retail Sales Associate experience do you have?Do you have the following license or certification: Registered Pharmacist?Do you speak English?",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Corporate Pharmacist,Pharmacy,Elevatione Time Stops,2021-05-28,Makati City,Contract,"18,000-25,000",Not Specified / In Description,Not Specified / In Description,"DESCRIPTION: The Pharmacist will also act as a Regulatory affairs officer in FDA that ensures all products of the company meet legislative requirements. It’s main responsibility also to update and organized all related document and literature regarding the business products. QUALIFICATIONS: • At least 1 year experience in the same line of job. • A licensed Pharmacist • Willing to work as part time • Has an experience in government requirement regarding company compliance like FDA, and all related government compliance permits. • Administrative writing, data analysis and reporting skills • The ability to understand, follow, recommend and create company policies and procedures related to the line of job. • Eager to learn and work together with other departments in the company. • Possess strong leadership skills, people-person, and critical-thinker, problem solving abilities, analytical skills, mathematical skills and creative thinking skills. • Proactive, detail-oriented, organized, accurate, and can work with minimum supervision, can follow standard procedure and decision making. • Excellent verbal, copy writing and business-writing communication skills. • Proficiency in Microsoft Office Software, Excellent MS Excel or administrative system is an advantage. • Positive working attitude and observe professionalism at all times that can embodied the company’s vision and mission. Cope well under pressure and time management. RESPONSIBILITIES: • Fulfills tasks set out by the Management. • Oblige to be involved with all business entities connected to the company. • Follows the company rules, regulations and guidelines. • Securing pertinent documents related to business permits and government compliance. • Handles all government requirement regarding company compliance like FDA, and all related to government compliance permits. • License will be solely for the company for yearly contract in FDA. • Maintaining familiarity with company product ranges to the organization and direct handling personnel. • Planning, undertaking and overseeing product trials and regulatory inspections as well as updates • Keeping up to date with changes in regulatory legislation and guidelines • Analyzing complicated information, including trial data • Liaising and negotiating with regulatory authorities • Assists in the full inventory of the company products. • Keeping accurate customer records. • Ensuring a safe and clean working environment. • Completing operational requirements of the pharmacy, including verifying order entries, maintaining records of controlled substances, charges, and removing expired and/or damaged drugs from the pharmacy’s inventory. • Adhering to applicable legal rules, regulations, and procedures governing pharmaceutical practice. • Ensuring that quality standards are met and submissions meet strict deadlines • Handles special projects that may be assigned from time to time. • Performs related accountabilities/responsibilities as required or directed","18,000","25,000",Not Specified,Not Specified,Medicine
Joblum,Regulatory Pharmacist - Mervillle Parañaque City,Pharmacy,Ambica International Corporation,2021-05-28,Paranaque City,OJT,,Not Specified / In Description,Not Specified / In Description,"Job Description: Responsible for ensuring the correctness and compliance of the documents per FDA Guidelines for the Initial Applications and Biologicals Drug Applications upon submission to FDA to merit approval and secure a Certificate of Product Registration. Responsible for having follow-ups for the applications that were not yet evaluated by the FDA for timely release of approval from the FDA. Able to submit compliance on or before the deadline as prescribed by the FDA. Prepares documents for PCPR and CLIDP Extensions. Job Requirements: A graduate of B.S. Pharmacy Registered Pharmacist With good communication skills, hardworking and flexible Willing to work in Merville Park Subd., Paranaque City",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
