Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Joblum,IP Certified Medical Coder,Science & Technology,Lancesoft Inc,2021-05-17,Taguig - WFH,Full Time,"30,000-60,000",Not Specified / In Description,Not Specified / In Description,"- Philippine Registered Nurse (can consider BSN and Allied medical for certain accounts) - Active IP Medical Coding License (CIC, CCS, CCA) - At least 6 months experience handling IP Coding Job Type: Full-time Salary: Php30,000.00 - Php60,000.00 per month","30,000","60,000",Not Specified,Not Specified,Science
Joblum,USRN,Science & Technology,Lancesoft Inc,2021-05-17,Taguig - WFH,Full Time,"35,000-60,000",Not Specified / In Description,Not Specified / In Description,"- Philippine Registered Nurse - Mainland USRN License - At least 1 year hospital experience as bedside nurse Job Type: Full-time Salary: Php35,000.00 - Php60,000.00 per month","35,000","60,000",Not Specified,Not Specified,Science
Joblum,UM Appeals and Grievances Quality Review Nurse,Science & Technology,Lancesoft Inc,2021-05-17,Taguig - WFH,Full Time,"35,000-60,000",Not Specified / In Description,Not Specified / In Description,"- Philippine Registered Nurse - Mainland USRN License - Has experience handling Appeals and Grievances Quality Review Job Type: Full-time Salary: Php35,000.00 - Php60,000.00 per month","35,000","60,000",Not Specified,Not Specified,Science
Joblum,"LABORATORY ANALYST - LIPA, BATANGAS (URGENT)",Science & Technology,"LIPA QUALITY CONTROL CENTER, INC.",2021-05-29,Batangas,OJT,,Not Specified / In Description,Not Specified / In Description,"Laboratory Analyst Conducts laboratory tests in accordance with the prescribed methods Ensures proper indexing/ recording of all samples received and notifying analysts as to the required tests for the specified samples in the absence of the laboratory technician Maintains instruments/ test equipment assigned Entertains technical inquiries of clients (internal) and maintains good relationship with them Prepares chemical, laboratory wares and equipment inventory and submits them to ASL Head Prepares daily activity reports Records monthly samples received and corresponding analyses requested and submits them to the ASL Head Prepares and documents quality control activities such as calibration curves, quality control charts, % recovery, estimation of measurement uncertainty Performs method validation and verification Performs other tasks that may be assigned by the superior from time to time provided that the primary tasks are accomplished on time Should you need any further information, please do not hesitate to contact us at 0917-188-5705.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Science Research Specialist I,Science & Technology,Philippine Nuclear Research Institute - Government,2021-05-29,National Capital Reg,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 30, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Atomic Research Division Plantilla Item No. : PNRIB-SRAS1-25-1998 Salary/Job/Pay Grade : 13 Monthly Salary : Php 28, 276.00 QUALIFICATION Eligibility : Career Service (Professional) Second Level Eligibility Education : Bachelor's Degree relevant to the job Training : None Required Work Experience : None Required Instruction/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 30, 2021. Documents: Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph;Performance rating in the last rating period (if applicable);Photocopy of certificate of eligibility/rating/license; andPhotocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: AILEEN B. CEZAR Administrative Officer IVCommonwealth Ave. Diliman, Quezon CityPHILIPPINE NUCLEAR RESEARCH INSTITUTE[email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Science Research Specialist II,Science & Technology,Philippine Nuclear Research Institute - Government,2021-05-29,National Capital Reg,Not Specified,"36,628",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 30, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Atomic Research Division Plantilla Item No. : PNRIB-SRAS2-44-1998 Salary/Job/Pay Grade : 16 Monthly Salary : Php 36,628.00 QUALIFICATION Eligibility : Career Service (Professional) Second Level Eligibility Education : Bachelor's Degree relevant to the job Training : 4 hours of relevant training Work Experience : 1 year of relevant experience Instruction/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 30, 2021. Documents: Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph;Performance rating in the last rating period (if applicable);Photocopy of certificate of eligibility/rating/license; andPhotocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: AILEEN B. CEZAR Administrative Officer IVCommonwealth Ave. Diliman, Quezon CityPHILIPPINE NUCLEAR RESEARCH INSTITUTE[email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","36,628","36,628",Not Specified,Not Specified,Science
Joblum,Laboratory Aide - Davao City,Science & Technology,"SAFEGUARD DNA DIAGNOSTICS, INC",2021-05-29,Davao del Sur (Davao City),Not Specified,"10,500-11,000",Not Specified / In Description,Not Specified / In Description,"Bachelor’s degree in any medical field from an accredited institution. At least six (6) months of Laboratory/Clinical/Hospital experience in the related field; He / She is expected to be good at problem solving, critical thinking and gives attention to detail since small differences; He / She should have Phlebotomist experience; He / She should be organized; He / She should also have computer skills, manual dexterity and normal color vision; He / She should have a good communication skill; Outstanding organizational skills; Ability to perform to high level of accuracy; Ability to handle biological materials; Dexterous, and able to handle toxic and caustic chemicals safely; Resilient to allergens such as fumes. Preferably with drivers' license","10,500","11,000",Not Specified,Not Specified,Science
Joblum,"Quality Assurance Laboratory Technician - Lawa, Calamba, Laguna",Science & Technology,Bounty Agro Ventures Inc.,2021-05-28,Laguna (Calamba City),Contract,,Not Specified / In Description,Not Specified / In Description,"QUALIFICATIONS Candidate must be a High School graduate / Senior High School graduate of any strand Must be conscientious, organized, and thorough. Good communication skills – both written and oral, and organizational skills required. DUTIES AND RESPONSIBILITIES In charge in maintaining the overall cleanliness of QA Laboratory facilities, equipment and premises. Conduct Quality Assurance Laboratory sample preparation procedures (Physico-chemical testing and Microbiological Analysis samples). Organize and maintain laboratory storage, samples and specimen. Other related tasks that may be assigned from time to time or as the need arises.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Technical Consultant: Documentation Specialist,Science & Technology,Research Triangle Institute-Philippine Branch,2021-05-27,Makati City,OJT,,Not Specified / In Description,Not Specified / In Description,"METHOD OF SUBMITTAL Applications will be accepted until the position is filled. The position may close without further notice. Interested candidates are encouraged to apply immediately. PROJECT OVERVIEW The STRIDE Program is a USAID/Philippines initiative that has a goal of strengthened STI capacity for inclusive growth in the Philippines. It builds upon the shared vision with the Philippine Government’s 2017–2022 Philippine Development Plan in which self-sustaining, inclusive development can be achieved by “promoting science, technology, and creative arts to enhance innovation and creative capacity.” Consistent with USAID’s Journey to Self- Reliance framework, the program supports key Philippine institutions in the implementation of their own innovative solutions to achieve the country’s developmental goals. SCOPE OF WORK The consultant will support the STRIDE Technical Lead working with DOST and the Davao RIIC. He or She is expected to perform the following tasks: A. Technical assistance to DOST and Davao RIIC Development and maintenance of related documentation. Prepare detailed and accurate minutes and highlights of meetings based on meeting recordings, or by joining meetings with RIIC stakeholders, as necessary. This includes documenting agreements, action points, and next steps. Provide support in coordinating meetings, workshops, FGDs, and monitoring the implementation of activities Provide operational support in the preparation and holding of stakeholder events such as webinar sessions, online interviews and FGDs, and the like. Provide technical support in the preparation of reports, articles, and other written materials to be distributed to partners. This includes proof reading, basic layout, and creation of templates. Provide technical support in the development of PPTs and slide sets, as needed. Provide general operational support, as needed. Review relevant materials to be provided by STRIDE and other stakeholders. Adhere to USAID guidelines and policies. B. Ad-hoc requests – Perform other related tasks as deemed necessary by STRIDE and the stakeholders REQUIRED SKILLS AND QUALIFICATIONS : Bachelor’s Degree and 3 years of experience, or Master’s Degree and 1 year of experience in communications, project administration, or M & E activities. Demonstrated capacity for preparing communication materials and Powerpoint presentations. Demonstrated expertise in office management systems and stakeholder engagements. Excellent analytical skills and ability to summarize disparate information in a clear and concise manner. Oral and written communication skills to deal effectively with mid and high-level stakeholders. Skills in supporting staff with a variety of levels of knowledge and capabilities. Strong organizational skills and excellent time management skills in order to balance competing priorities. Ability to work independently to efficiently meet deadlines. Strong interpersonal skills. Basic knowledge of HEI research and extension. KEY DELIVERABLES: Participate in meetings with project team members as deemed necessary. To prepare detailed and accurate minutes and highlights of meetings based on meeting recordings, or by joining meetings with stakeholders, as necessary. This includes documenting agreements, action points, and next steps. To provide operational support in the preparation and holding of stakeholder events/meetings. To prepare reports, articles, and other written materials to be distributed to partners. Submit timesheets and any other deliverable-specific duties and assumed level of effort to be developed in coordination with Project Manager. Perform other related tasks as deemed necessary by STRIDE and the stakeholders.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Laboratory Technician I (0006-2020),Science & Technology,Ministry of Public Works - Government,2021-05-27,Armm,Not Specified,"16,200",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 30, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : MQCH Section - Lanao del Sur 2nd District Engineering Office (Malabang, Lanao del Sur) Plantilla Item No. : BARMM-LABT1-0006-2020 Salary/Job/Pay Grade : 6 Monthly Salary : Php 16,200.00 QUALIFICATION Eligibility : Laboratory Technician (MC No. 10 S. 2013 - Cat. II) Education : Completion of 2 Years Studies in College Training : None Required Work Experience : None Required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 30, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in through courier their application to: EDUARD UY GUERRA, ARCH'T Minister Ministry of Public Works BARMM Compound, Cotabato City jobs.bangsamoro.gov.ph/office/mpw APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","16,200","16,200",Not Specified,Not Specified,Science
