Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Workbank,ServiceNow Administrator,Information and Communications Technology,"Indra Philippines, Inc.",2021-05-25,Work from Home,Full Time,,Bachelor’s Degree, 3 - 5 Years ,"The ideal candidate will perform day to day support and maintenance work with the functional team to develop solutions in ServiceNow and coordinate support and development efforts within the admin team. This role will be responsible for the general support administration and maintenance of the ServiceNow platform and associated applications. They will be working closely with the ServiceNow functional team to build requested items and tasks using workflows to manage processes from the customer to the fulfillment teams. This person will develop, configure and improve core and custom applications and work directly with end users to resolve support issues. Responsibilities also include monitoring the health usage and compliance of ServiceNow as well as develop system integrations and process automation. They will have to create and configure business rules UI policies UI actions client scripts and ACLs. The candidate will have to create and configure notifications UI pages UI macros script includes formatters etc. The candidate will guide development of ServiceNow modules to help leaders measure project success by capturing data related to Cost Schedule Quality and Effectiveness coordinate application and platform upgrades load and maintain data between ServiceNow and other systems and create ServiceNow reports and dashboards.   Qualifications: Requires a Bachelor’s degree in a quantitative field including engineering math or computer science with a proven track record of out of the box thinking and an ability to think large scale",Not Specified,Not Specified,3,5,IT
Workbank,Angular Developer,Information and Communications Technology,"Indra Philippines, Inc.",2021-05-25,Work from Home,Contract Base,"PHP 80,000 - 90,000",Bachelor’s Degree, 3 - 5 Years ,"- Analyze and understand requirements provided - Apply basic to advanced Angular development - Apply basic to advanced other Front End (HTML, CSS, SASS, JavaScript) development - Suggest enhancements in Angular, HTML CSS, SASS, JavaScript which may help in webpage optimization - Apply basic to advanced bootstrap or other related technologies - Knowledgeable in nodeJS - Knowledgeable in npm - Knowledgeable in angular/cli - Develop responsive website in mobile-first or desktop-first - Perform code investigation thru debugging - Perform unit testing - Create technical documentation of activities performed such as programming and support - Provide assistance to junior members of the team - Participate in daily activities such as scrum and meeting  ",80000,90000,3,5,IT
Workbank,API Tester,Information and Communications Technology,"Indra Philippines, Inc.",2021-05-22,Work from Home,Contract Base,"PHP 40,000 - 70,000",Bachelor’s Degree, 1 - 3 Years ," Participate in all Scrum ceremonies (Sprint Planning, Scrum, Review, Retrospective) Self-organizing and cross functional development Practice Agile principles Develop/implement new requirements and/or modifications to existing codes with quality based on acceptance criteria  Constantly collaborate with the team and project stakeholders Develop test cases with quality based on acceptance criteria Communicate test progress on a regular basis Communicate test execution procedure and results",40000,70000,1,3,IT
Workbank,QA Tester (Manual/Functional Testing),Information and Communications Technology,"Indra Philippines, Inc.",2021-05-22,Work from Home,Contract Base,"PHP 40,000 - 75,000",Bachelor’s Degree, 3 - 5 Years ,"Self-organizing and cross functional development Practice Agile principles Constantly collaborate with the team and project stakeholders Responsible for the various standard stages such as Unit, Integration, and User Acceptance Testing Define Test Plan and Test Cases Review Test artifacts and updates stakeholders regularly on the status Monitor and Perform System Testing, System Integration, User Acceptance Testing  ",40000,75000,3,5,IT
Workbank,Senior QA Test Engineer,Information and Communications Technology,SnapMart Inc.,2021-05-22,Taguig,Full Time,"PHP 80,000 - 130,000",Bachelor’s Degree, 3 - 5 Years ,"In this position, you will work closely with our Back-End, Front-End and Product teams on a variety of initiatives. JOB RESPONSIBILITIES: Review product specifications and develop test plans for new products/features and ensure adequate test coverage Continuously improve existing test cases and processes to increase efficiency and reliability Reproduce, isolate, and debug issues, providing detailed bug reports Record all test results for each test suite and provide a high-level summary for areas tested Maintain proper documentation for new and existing functionality by working closely with Product Managers and Lead Engineers Estimating, prioritizing, planning and coordinating quality testing activities Creating detailed, comprehensive and well-structured test plans and test cases Suggest solutions to identified product issues JOB QUALIFICATIONS: Bachelor’s degree in Computer Science or equivalent 3+ years of experience in manual QA 2+ years of experiences in Automation Micro service testing experience is a plus API testing experience highly preferred Experience in Python is a plus SOFT SKILLS: Ability to maintain and contribute to current framework Ability to learn new technologies quickly Ability to work independently and be self-directed Upper Intermediate in English",80000,130000,3,5,IT
Workbank,Ecommerce Product Manager,Information and Communications Technology,SnapMart Inc.,2021-05-22,Work from Home,Full Time,"PHP 80,000 - 130,000",Bachelor’s Degree, 5 - 8 Years ,"JOB SUMMARY: As a Product Manager at Snapmart, you are obsessed with problems and the subsequent discovery of its solutions. You're relentless to improve yourself, the team, and the product. You will align with the overall vision and objectives of the business and use said objectives to identify product gaps and fill them. As a product manager, you empower the product team as you serve as one of the squad leaders with the engineering team managers. You foster collaboration and serve as a conduit for the business teams, the design team, engineering teams, and other product managers. You are the voice of your users, and you represent their best interests to achieve your shared goals and visions. JOB RESPONSIBILITIES: Become the leader in the end-to-end development of products - from gathering feedback from the users to leading the discovery sessions with engineering teams and design teams to model and launch the solution Collaborate with the business teams to understand the problems and objectives validated and driven by data and analytics Responsible for the definition of the products and features. Owns the product backlog and its prioritization in collaboration with other stakeholders Lead discovery meetings with the designers and engineers to work on the technical design and prototypes making sure that builds are highly adopted by the users Writes the external and internal facing documentation of products and be responsible for the alignment of solutions with all stakeholders Ensures execution speed through prioritization: establish clear milestones with visible progress regularly, with emphasis on quick iterations Collaborate with the commercial, marketing, and operations teams to ensure the success of the product go-to-market and launch Establishes and augment development best practices, problem management, and release engineering Drives a culture of excellence, commitment, and ownership, with good execution and continuous team self-improvement. Mentor and challenge the team to grow personal and professionally JOB QUALIFICATIONS: BS degree in Computer Science or related technical field, or equivalent practical experience. An MBA would be highly desirable 5+ years’ experience managing software products and projects incl. guiding software development teams incl. hands-on involvement in system architecture, design, deployment, monitoring, performance and scalability Technical Skills: Track record of product development from conception to delivery and iteration at an Internet Product Company, having “made a difference” in product quality, with 2+ years’ experience in Social/Gaming/Content/ecommerce related projects Technical leadership experience: can delve into technical architectural decisions and explain tradeoffs; drives microservice-oriented systems and can communicate with key Computer Science concepts Familiarity with software development lifecycle and scrum framework best practices Soft Skills: Thrives in high speed execution environments, able to make scope tradeoffs without impacting desired quality Strong communication skills, in both persuasion and presentation; English speaking fluency Believes in meritocracy of ideas; rejects hierarchical decision-making; drives team consensus; breaks analysis-paralysis by planning reasonable execution paths; when needed, able to disagree and commit Identify market opportunities, build business cases, and define product vision and strategy for the company’s Products An understanding of Southeast Asia e-commerce markets, competition and customer/user requirements in depth would be preferred Excellent organizational, analytical and influencing skills",80000,130000,5,8,IT
Workbank,BackEnd Developer,Information and Communications Technology,SnapMart Inc.,2021-05-22,Taguig,Full Time,"PHP 80,000 - 130,000",Bachelor’s Degree, 3 - 5 Years ," As a Senior Magento developer, you’ll be responsible for designing and building our eCommerce platform and others, working in a team of experienced product development and in touch with a multitude of top-notch technologies. RESPONSIBILITIES: Critically contribute in the design and execution of our product endeavors Collaborate with other engineers, designers and product managers to create innovative products Create and upgrade Magento 2 platform components, being mindful of best practices and DRY Develop performant, reusable code that you’re proud of today and hate by next week Proactively propose both product and technology improvements that you see fit Be part of, and take it as your mission to improve the agile environment that you’re working in Sample, monitor and improve the performance and security of the products you overview Be a positive energy and influence among your co-workers Be a mentor to your co-workers, and always learn from where you can QUALIFICATIONS: Relevant Bachelor’s or Master’s degree in Computer Science or related technical discipline Experience with complete eCommerce lifecycle development Good to have experience with troubleshoot on Centralize Logging System, Kibana, Newrelic and DB System Solid knowledge in PHP, MySQL and OOP Experience with Magento 2 Framework (Design Pattern, Framework structure, Dependency Injection, etc.) Strong skills in database handling Problem-solving skill and customer-oriented Experience in Dockerized applications and Kubernetes Ability to write well-documented, clean-code Ability to learn new technologies quickly Ability to work independently and be self-directed Upper Intermediate in English Adaptability NICE TO HAVE: Magento certification Experience in other backend development languages, such as Python or Golang Good to have experience on troubleshoot with Centralize Logging System, Kibana, Newrelic, etc Familiar with Gitflow, Unix/Linux environment and CI/CD Experience in eCommerce",80000,130000,3,5,IT
Workbank,Web Designer (w/ Call Handling Experience),Information and Communications Technology,Personiv,2021-05-21,Work from Home,Full Time,,Associate Degree, 1 - 3 Years ,"Responsibilities Creates website designs Developing skills and expertise in appropriate website markup languages including HTML, javascript, and others Work with a wide range of digital media and web-related systems Take the design “brief” to record requirements and client needs Produce designs that are user-friendly, appealing, and effective. Amend final designs to client’s comments and gain full approval Handling calls to attend to the design modification request of client/s in a timely manner Perform other duties, which may be required by management from time to time.   Qualifications Must have Associates or Bachelors degree Keen to details Proven web designing experience Possession of creative flair, versatility, conceptual and visual ability Detail-oriented, multi-tasker, and can effectively manage multiple demands. Highly proficient in all design aspects Able to interact, communicate, and present ideas Excellent written and verbal communications skills Excellent interpersonal skills Amenable working on a Fixed NIGHT SHIFT and holidays Possess a forward-thinking positive and “can do” attitude Information Technology Skills     ** Shortlisted candidates will be required to submit a Website Design Portfolio. **",Not Specified,Not Specified,1,3,IT
Workbank,Senior DevOps Engineer,Information and Communications Technology,"Indra Philippines, Inc.",2021-05-21,Work from Home,Contract Base,"PHP 100,000 - 140,000",Bachelor’s Degree, 3 - 5 Years ,"Apply cloud (AWS, Azure, GCP) computing skills to deploy upgrades and fixes Design, develop, and implement software integrations based on user feedback. Troubleshoot production issues and coordinate with the development team to streamline code deployment. Implement automation tools and frameworks CI/CD pipelines. Analyze code and communicate detailed reviews to development teams to ensure a marked improvement in applications and the timely completion of projects. Collaborate with team members to improve the companys engineering tools, systems and procedures, and data security. Optimize the companys computing architecture. Conduct systems test for security, performance, and availability. Develop and maintain design and troubleshooting documentations.  ",100000,140000,3,5,IT
Workbank,Senior MS SQL Server Administrator,Information and Communications Technology,"Indra Philippines, Inc.",2021-05-21,Work from Home,Contract Base,"PHP 100,000 - 125,000",Bachelor’s Degree, 5 - 8 Years ,"Optimization of MS SQL Server and Oracle for collaboration with the Onesait Utilities Customers products Solid experience in MS SQL Server 2019 administration, implementation and tuning. Knowledgeable in Oracle 10G and higher database administration. Knowledgeable in Oracle tools and SQL scripting  ",100000,125000,5,8,IT
