Website,Job Title,Category,Company,Date Posted,Location,Status,Education,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Pinoy Jobs,Project Manager,"Jobs in Engineering, Construction & Electrical",C.M Pancho Construction Inc.,2020-01-17,Quezon City,Full Time,Not Specified,"Description: Responsible for the performance and discipline of subordinates.Represents the company in field coordination meeting with local / government official and consultant and coordinates all related issues at project site to the management.Oversees all possible variation order and alternative methodology for the interest of the company and submits proposed work schedule and methodology to the management for approval.Monitors, regulates and controls all activities at project for the welfare of the company and its institution.Responsible for the speedy and economical completion of assigned project and motivates all his subordinates to perform well on their assigned duties.Requirements: Licensed Civil EngineerWith 10 or more years experience in Horizontal project such as Roads, Bridges, pipelaying and the likes.",40000,80000,10,10,Engineering
Pinoy Jobs,Project Engineer,"Jobs in Engineering, Construction & Electrical",C.M Pancho Construction Inc.,2020-01-17,Quezon City,Full Time,Not Specified,"Description: Over all supervision of field activities and conduct toolbox meeting to address problems within your subordinates;Prepare schedule of activities (bar chart), list of equipment of each activities, daily activities report, weekly work projection with corresponding equipment and manpower and check all materials and equipment available at site.Must be good in decision making in the absence of Project Manager and must be able to communicate well with the consultant / inspector at site.Requirements: Licensed Civil EngineerMust have 7 or more years experience in Horizontal project such as Roads, bridges, pipelaying and the likes.",25000,45000,7,7,Engineering
Pinoy Jobs,CAD Sketch up Operator,"Jobs in Engineering, Construction & Electrical",BestBuilders Inc.,2019-09-17,Muntinlupa City,Full Time,Not Specified,"Description: Design and draft CAD (computer-aided design) and Sketch up drawingsSubmit presentation drawings on time.Meet all project specifications and client requirements.Work closely with quantity surveyor, project managers, and project engineers to make sure that the design is precise and optimum.Accountable for the maintenance of the CAD drawing data base.Aid in increasing and maintaining quality assurance processes.Prepare presentation materials using AutoCAD / Sketch up graphic software.Adjust current drawings and recommend changes based on their understanding and knowledge of the project.Review and interpret client specifications.Requirements: Architecture/ Engg GraduateAt least 2 years of experience in CAD or Sketch upCan do detailing works of construction plansKnowledgeable in 3D and Sketch up Renderin PresentationsGood Communication Skills",15000,20000,2,2,Engineering
Pinoy Jobs,Mechanical / Painting Technician,"Jobs in Engineering, Construction & Electrical",Aero Auto Metal Products LLC,2019-09-12,"Abudhabi, United Arab Emirates",Full Time,Bachelor's Degree,"Description: Assembly/Mechanical TechnicianExecute production tasks according to scheduleComplete job cards as required, record task durationReport all incidents and problems to his team leader, foreman or production managerPerform prototype manufacturing tasks and serial production manufacturing tasksManage and organize standard workshop tools and equipmentReport defective equipment to the team leader, foreman or production managerSupport QA to maintain the required quality standardsAutomotive Spray PainterJDExecute production tasks according to scheduleComplete job cards as required, record task duration and meet weekly production goalsReport all incidents and problems to the Production Managerperform all spray-painting tasks according to the data pack and QC requirementsManage and upkeep all spray-painting equipment/tools as well as standard workshop tools and equipmentReport defective equipment to the Production Manager/ForemanSupport QA to maintain the required quality standardsRequirements: Automotive Spray PainterDomain : Armored Vehicle ( Mandatory )Minimum Experience Required : At least 5 + Years in Spray Painting( Mandatory )Education : Diploma or DegreeAssembly/Mechanical TechnicianDomain : Armored Vehicle ( Mandatory )Minimum Experience Required : At least 5 + Years in Armored Vehicle Assembly( Mandatory )Education : Diploma or Degree",35000,65000,Not Specified,Not Specified,Engineering
Pinoy Jobs,Project Engineer – Mechanical,"Jobs in Engineering, Construction & Electrical",JAM Industrial Sales,2019-09-10,Manila City,Full Time,Bachelor's Degree,"Description: Assessing project requirementsMeasuring the performance of mechanical components, devices and enginesAgreeing budgets, timescales and specifications with clients and managersWriting reports and documentationProviding technical adviceAnalysing and interpreting dataAttend pre-biddingsRequirements: Candidate must possess at least Bachelor’s/College Degree, Professional License (Passed Board/Bar/Professional License Exam) in Engineering (Mechanical) or equivalent.At least 1 Year(s) of working experience in the related field is required for this position.Preferably 1-4 Yrs Experienced Employee specialized in Engineering – Mechanical/Automotive or equivalent.Required skills: MS Excel, MS office, AutocadAt least 1 year of working experience in mechanical works (mechanical fabrication or mechanical design) Must know how to make a cost estimate on given drawings, plans, and similar engineering works.Must know how to execute the mechanical drawings and plansMust be willing to work in Valenzuela / PampangaFull time positionMust work with minimum supervision.Must be motivated and has good working attitudeAmenable to render overtime",15000,20000,1,4,Engineering
Pinoy Jobs,"Architect, Architectural Designer, Drafting Technician, Draftsman","Jobs in Engineering, Construction & Electrical",Xpress Design + Drafting,2019-09-08,Work From Home,Full Time,Not Specified,"Description: Seeking experienced staff for expanding New Zealand based architectural firm.Scope:Concept plans3d rendersWorking DrawingsNZS 3604NZBC – New Zealand Building CodeBuilding Consent DocumentationSpecificationConsent ApplicationRFI’sDesign ITArchicad, Revit, 3D Max, VrayRequirements: Professional Well OrganisedSelf-motivatedProficient with CAD software – Archicad, Revit, Chief ArchitectPrevious experience with residential building Australia or New ZealandHome based or OfficePart-time or Full time.",25000,50000,Not Specified,Not Specified,Engineering
Pinoy Jobs,CAD or BIM Coordinator,"Jobs in Engineering, Construction & Electrical",RealDesigns,2019-08-24,Work From Home,Full Time,Not Specified,"Description: To apply:1. Submit your application at the following URL:***Note: This is the fastest and most efficient way to submit your resume for consideration. If you choose to use the message system, we cannot guarantee you won’t be overlooked.—————————————————————————————————————————–Company DescriptionWe are an US-based service company that serves professionals in the architecture, engineering and construction industry. VECS was founded in 2007 and is famous for our high attention to detail, innovative technology and the results we deliver for our clients.Job Description and Function:We are looking for a great CAD/BIM Technician to be an integral team member to help grow our business. Your role encompasses working within our other team members (remotely). In addition, we have a large team spread throughout the world, so we understand the unique challenges of working remotely. We have set up an extensive training and leadership program that allows our staff to have the tools they need to be successful.Duties:• Create construction drawings for the mechanical, plumbing or electrical trades• Adhere to company CAD standards• Ability to read construction drawingsRequirements: Qualifications and Requirements• Have at least 1-3 years of experience in working with AutoCAD/Revit or similar• Have good written and oral communication skills, with a firm handle on grammar and spelling. (We treat our customers the same as we would a friend who we respect)• Are willing to start working ASAP• Experienced in gathering client documents and making use of the information they provide• Are efficient, personable, adaptable, organized, and confident• Reliable computer and internet connection• High attention to detail is mandatory.Benefits and Pay:• In-depth training program• 13-month pay• Full-time• Work Remotely – The majority of our team members work remotely all around the world. Our main office is located in Washington DC.Skills required:• AutoCAD• Revit experience is a plus• English– Speaking– Writing",30000,50000,1,3,Engineering
Pinoy Jobs,Construction Cost Estimator,"Jobs in Engineering, Construction & Electrical",Novaproducts,2019-08-22,Work From Home,Full Time,Not Specified,"Description: MUST HAVE SKILLS Estimator Good computer for Cad DWG take offs Previous quantity surveying or take off (Estimate) experience with Commercial building drawings.Understanding of Australian Construction Standards Previous quoting experience is a plus Required from all the Candidates:-Fluent in English Language-Must have a stable & reliable internet to work online (Fiber/DSL)-Able to work 8am – 5pm-Able to work 3 days or more a week (Mondays to Fridays)-Honest & friendly attitude is an added value-Good moral character-Can work immediately  Requirements: MUST HAVE SKILLS Accounting Assistant / Data Entry Knowledgeable on Accounting System (MYOB, Xero etc.)Understanding of Australian Accounting ProcessesFast learner and have good mathematical skills Required from all the Candidates:-Fluent in English Language-Must have a stable & reliable internet to work online (Fiber/DSL)-Able to work 8am – 5pm-Able to work 3 days or more a week (Mondays to Fridays)-Honest & friendly attitude is an added value-Good moral character-Can work immediately ",15000,30000,3,3,Engineering
Pinoy Jobs,Quality Assurance / Quality Control,"Jobs in Engineering, Construction & Electrical",Arvyn Construction Incorporated,2019-08-20,Pinas City,Full Time,Not Specified,Description: – Establish and maintain outstanding interpersonal relationship skills.– Demonstrate creativity and originality.– Utilize conflict management and negotiation skills.– Excercise good organizational and time management skills.– familiar with design mix.– flexible and work oriented.Requirements: – Civil Engineer Graduate– At least 3 years of experience in Cement Plant Project– Willing to be assigned in Pangasinan,25000,30000,3,3,Engineering
Pinoy Jobs,Liaison Assistant or Permitting Staff,"Jobs in Engineering, Construction & Electrical","SmoothMoves, Inc.",2019-08-13,"WT Tower Ayala Business Center, Cebu ",Full Time,Not Specified,Description: -Processing and Follow up permits -Ensure documentation for filling -Make an update of the status of the permits Requirements: Qualifications:– Graduate of any 4 year course– Atleast 1 to 2 years experience in LGU / HOA Permitting– Telecommunication background is an advantage– Excellent communication and negotiation skills– Proficient in Microsoft Office– With strong personality– Team player and able to adapt to different cultures/working environment– Willing to be assigned anywhere in the Philippines,15000,25000,1,2,Engineering
