Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Technical Sales Representative (Mindanao),Agriculture,La Filipina Uy Gongco Group of Companies,2021-05-29,Bukidnon,Contract,,Not Specified / In Description,Not Specified / In Description,"QUALIFICATIONS Candidate must possess at least Bachelor's/College Degree in Business Studies/Administration/Management or equivalent. At least 1 Year(s) of working experience in the related field is required for this position. Preferably 1-4 Yrs Experienced Employee specialized in Sales - Retail/General or equivalent. Must have a drivers licensed restrictions 12 or 123 Knowledgeable in Microsoft application JOB SUMMARY Responsible for promoting feeds and feeds-related products and providing technical services to customers. All activities must be made in accordance with established Standard Operating Procedures, Good Manufacturing Practices, company policies, procedures, Core Values, and regulatory requirements. ",Not Specified,Not Specified,Not Specified,Not Specified,Agriculture
Joblum,Farm Worker II,Agriculture,"Municipal Government of Agoo, La Union",2021-05-29,Ilocos Region,Not Specified,"12,960",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 4, 2021 Place of Assignment : Office of the Municipal Agriculturist Plantilla Item No. : 224 Salary/Job/Pay Grade : 4 Monthly Salary : Php 12,960.00 QUALIFICATIONS: Eligibility : None required (MC 10, s. 2013 - Cat. III) Education : Elementary school graduate Training : None required Work Experience : None required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 4, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: IRENE E. BOADO Supervising Administrative Officer MGO AGOO, LA UNION 2nd Floor, Municipal Hall, Sta. Barbara, Agoo, La Union [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","12,960","12,960",Not Specified,Not Specified,Agriculture
Joblum,AGRICULTURAL TECHNOLOGIST,Agriculture,"Municipal Government of Magdiwang, Romblon",2021-05-29,Calabarzon & Mimaropa,Not Specified,"14,153",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 4, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : MUNICIPAL AGRICULTURE OFFICE, MAGDIWANG, ROMBLON Plantilla Item No. : 43 Salary/Job/Pay Grade : 10 Monthly Salary : Php 14,153.00 QUALIFICATION Eligibility : RELEVANT R.A. 1080 Education : BACHELORS DEGREE IN AGRICULTURE OR OTHER ALLIED COURSES SUCH AS AGRICULTURAL ENGINEERING, FISHERIES TECHNOLOGY OR VETERINARY MEDICINE Training : NONE REQUIRED Work Experience : NONE REQUIRED Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 4, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of the AUTHENTICATED certificate of eligibility/rating/license; and 4. Photocopy of THE AUTHENTICATED Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: MARITES M. ROSAS Administrative Aide VI/HRMO Designee 2F Municipal Building, Poblacion, Magdiwang, Romblon [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","14,153","14,153",Not Specified,Not Specified,Agriculture
Joblum,Farm Worker - I,Agriculture,"Municipal Government of Santa Teresita, Cagayan",2021-05-29,Cagayan Valley,Not Specified,"9,207",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 7, 2021 Place of Assignment : Municipal Agriculture Office Plantilla Item No. : 12.12 Salary/Job/Pay Grade : 2/1 Monthly Salary : Php 9,207.00 QUALIFICATION Eligibility : None Required (MCII,s.96-Cat.III) Education : Elementary School Graduate Training : None Required Work Experience : None Required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 7, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: FELISA S. IMPERIO HRMO-II MGO SANTA TERESITA, CAGAYAN LGU-Santa Teresita, Cagayan [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","9,207","9,207",Not Specified,Not Specified,Agriculture
Joblum,Senior Aquaculturist,Agriculture,"Municipal Government of Parang, Maguindanao",2021-05-29,Armm,Not Specified,"37,943",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 1, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility o r PRC License. Place of Assignment : Mayor(Mun. Fishery Officer) Plantilla Item No. : 12 Salary/Job/Pay Grade : 18 Monthly Salary : Php 37,943.00 QUALIFICATIONS: Eligibility : Career Service (Prof) Second Level Eligibility Education : Bachelor's Degree Relevant to the job Training : 8 hours of relevant training Work Experience : 2 year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 1, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: CAHAR P. IBAY Municipal Mayor Manga Ave., Poblacion I, Parang, Maguindanao [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","37,943","37,943",Not Specified,Not Specified,Agriculture
Joblum,Senior Agriculturist,Agriculture,"City Government of Valencia, Bukidnon - Government",2021-05-29,Northern Mindanao,Not Specified,"41,497",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 5, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : City Agriculture Office (CAgO) Plantilla Item No. : 347 Salary/Job/Pay Grade : 18 Monthly Salary : Php 41,497.00 QUALIFICATION Eligibility : Relevant RA 1080 Education : Bachelor's degree relevant to the job Training : 8 hours of relevant training Work Experience : 2 years of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 5, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: AZUCENA P.HUERVAS City Mayor CGO VALENCIA, BUKIDNON City Hall Compound, Catarata St., Poblacion, Valencia City, Bukidnon [email protected] / [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","41,497","41,497",Not Specified,Not Specified,Agriculture
Joblum,Farm Foreman,Agriculture,"City Government of Cagayan de Oro, Misamis Oriental",2021-05-29,Northern Mindanao,Not Specified,"15,524",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : JUNE 7, 2021 Place of Assignment : AGRICULTURAL PRODUCTIVITY OPERATIONS OFFICE Plantilla Item No. : 77 Salary/Job/Pay Grade : 6 Monthly Salary : Php 15,524.00 QUALIFICATION Eligibility : None required (CSC MC No. 10, s. 2013 -Cat. III) Education : High School Graduate Training : None required Work Experience : None required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than JUNE 7, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: MIMSY M. MAYUMAN, MHRM City Human Resource Management Officer CGO CAGAYAN DE ORO , MISAMIS ORIENTAL Capistrano Hayes St., City Hall, CDOC [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","15,524","15,524",Not Specified,Not Specified,Agriculture
Joblum,Agricultural Center Chief I,Agriculture,Provincial Government of Biliran - Government,2021-05-29,Eastern Visayas,Not Specified,"37,129",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 1, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Office of the Provincial Agriculturist Plantilla Item No. : 527 Salary/Job/Pay Grade : 18 Monthly Salary : Php 37,129.00 QUALIFICATIONS: Eligibility : Career Service (Professional) Second Level Eligibility Education : Bachelor's degree relevant to the job Training : 8 hours of relevant training Work Experience : 2 years of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 1, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: ROGELIO J. ESPINA, MD, FPOA Provincial Governor Calumpang, Naval, Biliran [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","37,129","37,129",Not Specified,Not Specified,Agriculture
Joblum,Agriculturist II,Agriculture,Provincial Government of Biliran - Government,2021-05-28,Eastern Visayas,Not Specified,"28,539",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 1, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Office of the Provincial Agriculturist Plantilla Item No. : 533 Salary/Job/Pay Grade : 15 Monthly Salary : Php 28,539.00 QUALIFICATIONS: Eligibility : RA 1080 (Agriculturist) Education : Bachelor's degree in Agriculture or other allied courses Training : 4 hours of relevant training Work Experience : 1 year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 1, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: ROGELIO J. ESPINA, MD, FPOA Provincial Governor Calumpang, Naval, Biliran [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","28,539","28,539",Not Specified,Not Specified,Agriculture
Joblum,Farm Supervisor,Agriculture,Provincial Government of Biliran - Government,2021-05-28,Eastern Visayas,Not Specified,"15,513",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 1, 2021 Place of Assignment : Office of the Provincial Agriculturist Plantilla Item No. : 529 Salary/Job/Pay Grade : 8 Monthly Salary : Php 15,513.00 QUALIFICATIONS: Eligibility : None required (MC II, s. 96- Cat. III) Education : High School Graduate Training : 4 hours of relevant training Work Experience : 1 year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 1, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: ROGELIO J. ESPINA, MD, FPOA Provincial Governor Calumpang, Naval, Biliran [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","15,513","15,513",Not Specified,Not Specified,Agriculture
