Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Design Supervisor,Architect/Interior Design,Blims Lifestyle Group Inc.,2021-05-30,Mandaluyong City,Contract,,Not Specified / In Description,Not Specified / In Description,"JOB DESCRIPTION Responsible for overseeing the design & construction of new stores as well as store renovations Responsible for conceptualizing and executing assigned exhibits Training new design personnel assigned to his/her care Monitoring progress of associate level designers to ensure tasks and procedures are followed and on time STORE DESIGN & CONSTRUCTION Acts as the point person for all matters pertaining to store design & construction Works closely with the Head Designer and management to conceptualize store designs and layouts Prepares floor plans/layouts for new stores as well as for the renovation/enhancement of the existing branches Coordinates with suppliers and contractors for necessary materials and quotations Conducts regular site visits to check on the progress of construction Work closely with the Engineering department during the construction & renovation process Oversees all aspects of store enhancements (including updating visuals, finishes, etc.) EXHIBITS Works closely with the design team and other departments in conceptualizing and implementing exhibits Conduct preliminary ocular visit to exhibit site Acts as the point person for design in major company exhibits while also leading and delegating to design associates (when needed) for minor exhibits Coordinate with other departments to ensure materials needed to execute the visual display for the exhibit are ready and available Sourcing materials for exhibits when needed Properly document and file exhibit photos in database for future use ADMINISTRATIVE Prepares a weekly update on the progress of ongoing construction,renovation /enhancement and exhibits Compiles renovated and new store’s files, quotations and photos Compiles exhibit files, quotations and photos Maintains a supplier database for future reference Maintains library of material samples at the Head Office SUPERVISION AND TRAINING Train and guide members of the Design Team both at the Head Office and In-store Organize and optimize work flow and ensuring that team members understand their duties and assigned tasks OCCASIONAL DUTIES Assist in conducting monthly store visits Participate in monthly designer’s meeting Assist with Head Office Corporate clients when necessary Other duties as assigned Keep updated with store design trends and technologies for discussion with management MINIMUM QUALIFICATIONS Building and Construction Space planning, Interior Design and Lighting Google Sketch-up Computer Literacy (MS Word/MS Excel/ MS Power point ) Basic knowledge of Photoshop Organized and detail-oriented Effective communication skills Ability to work independently with minimal supervision Creative and passionate about design but with a keen focus on its real-world applications Board licensed interior designer (plus not requirement) College Graduate of Interior Design",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,ARCHITECT,Architect/Interior Design,Puyat Sports Inc.,2021-05-29,Makati City,Full Time,,Not Specified / In Description,Not Specified / In Description,"Qualifications: BS Architecture graduate from reputable University Ability to work in a fast-paced environment Hard working with multi-tasking ability Good team player Good command in English Must be able to produce Shop Drawings (sample of works are required) 2D and 3D drawings 3D (3ds max) rendering is a plus Presentation drawings Detailing skills is a plus Knowledgeable in AutoCAD, 3ds max, Photoshop, & Ms Excel Experienced in Interior design works in the following field: Corporate Commercial/Retail Hospitality",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Interior Designer,Architect/Interior Design,DMCI Homes,2021-05-29,National Capital Reg,Contract,,Not Specified / In Description,Not Specified / In Description,"<>QUALIFICATIONS Graduate of Bachelor's/College Degree in Interior Design With at least 1 year working experience in a similar field Willing to do leg works/ oftentimes on-field Highly creative keen on details Knowledge on 3D max is an advantage average technical skills on CAD Drawing Rendering Result-oriented <>RESPONSIBILITIES Responsible for planning design conceptualization of showroom, model units, club houses, sales offices, other interior environments Handle project coordination and implementation with the team (engineers, architects, marketing, and project development) Provides a well-designed spaces for all end users Coordination/ Follow up and initial review of shop drawing from suppliers / subcontractors Preparation of marketing peripherals, cost estimate of items ( furniture, fixture, aplliances,accessories,etc. )",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,SALES DESIGNER (Luxury Home Furnishing Brands),Architect/Interior Design,Focus Global Inc.,2021-05-29,National Capital Reg,Contract,,Not Specified / In Description,Not Specified / In Description,"The Sales Designer will join Focus Global’s team of designers and transform liveable spaces into luxurious abodes. This individual is highly creative and the best at their field, as high-end home interiors deserve nothing less than the expert touch. Key Responsibilities: Advise clients on interior design factors such as space planning, lay-out and utilization of kitchen equipment, home furnishing designs and color coordination.Be able to establish yourself as an expert and engage with high-end clients and other accomplished Designers in the industry.Work with world-class brands such as Ethan Allen, SieMatic, Miele, Sub-zero and Wolf to name a few.Gain showroom sales experienceAttend developmental trainings to hone your design skills What We’re Looking For: Must be a graduate of Interior Design from a reputable universityNew graduates are welcome to applyWith personable demeanor, outgoing personality and charismatic attitudePossess excellent communication skillsMust be willing to be trained as a sales designerAmenable to cold callingPreferably with sales backgroundWilling to be assigned to BGC or Mandaluyong.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Product Designer - Furniture,Architect/Interior Design,ELECTROPARTS DEVELOPMENT CORPORATION,2021-05-29,San Juan City,OJT,"18,000-30,000",Not Specified / In Description,Not Specified / In Description,"Lead representative for communications with both local and international buyers and for identifying opportunities to showcase and promote products. Operationally the incumbent will manage end to end provincial production of items. PRODUCT DEVELOPMENT Receive and clarify sample designs Cost products Coordinate sample production Place materials orders/requests Secure approval/sign off of sample designs CUSTOMER RELATIONSHIP MANAGEMENT Work closely with client designers and relevant contacts through design phase Keep clients updated on sample progress Escalate all potential challenges to deadlines to HoPD in a timely fashion MAINTENANCE AND REPAIRS Manage ongoing showroom maintenance & schedule of work (e.g. painting & repairs) Manage program of work for workshop maintenance & schedule of work PRODUCTION MANAGEMENT Prepare and issue purchase orders for 3rd party suppliers Monitor quality and production output of suppliers is in line with expectations and provide feedback, request rework where necessary Monitor production progress and report any delays in production the Production Manager & HoPD","18,000","30,000",Not Specified,Not Specified,Engineering
Joblum,Archtectural Draftsman,Architect/Interior Design,TRANSFORMATIONAL HUB CORPORATION,2021-05-29,Cebu (Cebu City),OJT,"25,000-30,000",Not Specified / In Description,Not Specified / In Description,"Experience in BIM modelling / workflow - particularly REVIT and/or ARCHICAD Able to produce drawings & designs in accordance to requirements given accurately Willing to learn and be trained in different Local and International codes as needed Able to produce requirements on-time Knowledge of construction methods and detailing Positive working attitude with a high level of professionalism & integrity Initiative, self-motivated, independent. A good team player with an open-minded philosophy","25,000","30,000",Not Specified,Not Specified,Engineering
Joblum,Draftsman I,Architect/Interior Design,"Municipal Government of Parang, Maguindanao",2021-05-29,Armm,Not Specified,"13,972",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 1, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility o r PRC License. Place of Assignment : Office of the Mun. Assessor Plantilla Item No. : 4 Salary/Job/Pay Grade : 6 Monthly Salary : Php 13,972.00 QUALIFICATIONS: Eligibility : Draftsman (MC 10, s. 2013) Education : Completion of 2 years studies in college or high school grad.w/ relevant vocational/trade course Training : None Required Work Experience : None Required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 1, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: CAHAR P. IBAY Municipal Mayor Manga Ave., Poblacion I, Parang, Maguindanao [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","13,972","13,972",Not Specified,Not Specified,Engineering
Joblum,Project Architect - Landscape,Architect/Interior Design,HG III CONSTRUCTION AND DEVELOPMENT CORPORATION,2021-05-29,Makati City,Contract,,Not Specified / In Description,Not Specified / In Description,Qualifications: Candidate must possess at least a Bachelor's Degree in Architecture License is preferred (but not required) Landscape expertise With related work experience in Land Development and Realty Able to start immediately Willing to work in Makati,Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Design Architect,Architect/Interior Design,Golden Arches Development Corporation (McDonald's),2021-05-28,National Capital Reg,OJT,,Not Specified / In Description,Not Specified / In Description,"About the Opportunity: Get the chance to work behind the creation of store designs and layouts of McDonald's. It's a must that you have experience in AutoCAD, space planning, architectural design and project management so that you can deliver end-to-end planning design - from drafting to finalizing of plans (design elements, layout, architectural, mechanical, structural, electrical, plumbing, etc.) You will conduct construction site visits and coordinate with local government units for site-specific ordinances, standards, minimums and other requirements About the Department: Boost your creativity and be part of a professional team where you’ll learn from the best employees! Grab the opportunity to work on different and exciting projects in line with McDonald’s global standards.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Architect II,Architect/Interior Design,"City Government of Valencia, Bukidnon - Government",2021-05-28,Northern Mindanao,Full Time,"34,797",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 5, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : City Engineer's Office (CEO) Plantilla Item No. : 242 Salary/Job/Pay Grade : 16 Monthly Salary : Php 34,797.00 QUALIFICATION Eligibility : RA 1080 Education : Bachelor's degree in Architecture Training : 4 hours of relevant training Work Experience : 1 year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 5, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: AZUCENA P.HUERVAS City Mayor CGO VALENCIA, BUKIDNON City Hall Compound, Catarata St., Poblacion, Valencia City, Bukidnon [email protected] / [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","34,797","34,797",Not Specified,Not Specified,Engineering
