Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Aircraft Maintenance Support Analyst,Aviation,"Traxxall Technologies, Inc. - Philippine Branch",2021-05-27,Pampanga (Angeles City),Not Specified,,Not Specified / In Description,Not Specified / In Description,"Role and Responsibilities In the role of Aircraft Maintenance Support Analyst (Junior), you will be our point of contact for the customers’ requirements, with a strong focus on various OEM products. We provide maintenance tracking services for business aviation operators of fixed-wing and rotary aircrafts. · Maintain OEM aircraft maintenance schedule, including Airworthiness Directives and Service Bulletins · Monitor OEM websites for daily updates · Update Traxxall database with up to date information · Support Senior Maintenance Analysts · Ensure latest AMM Revisions are maintained and supported Qualifications and Education Requirements Aviation Maintenance background, or 5+ years of related aviation experience. Previous Customer Service in the aviation industry is a plus. New graduates from Aviation Maintenance Schools are welcome to apply. Preferred Skills BSc Aeronautical Engineer, Aviation Maintenance Diploma, A&P License. Must be very proficient in Excel.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Aircraft Technician,Aviation,ARAM ENTERPRISES INC,2021-05-27,Saudi Arabia,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Professional License (Passed Board/Bar/Professional License Exam), Engineering (Aviation/Aeronautics/Astronautics) or equivalent. At least 5 year(s) of working experience in the related field is required for this position. Having the aircraft technician license (A&P) by the civil aviation in Philippines The aircrafts we will use are Air Tractors AT 504 With experience in helicopter Robinson R44 Ravan Applicants must be willing to work in Dammam,Eastern Province. 8 Full-Time position(s) available. Principal / Employer : BR Cat InternationalPrincipal / Employer Address : Dammam, KSAPlacement Fee : Please be reminded that as per POEA regulations, the placement fee is up to a maximum of one (1) month's salary. For interested applicants please click “APPLY NOW” and be sure to upload your updated CV or resume through Jobstreet.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Compensation and Benefits Supervisor,Aviation,Asian Aerospace,2021-05-25,Pasay City,OJT,,Not Specified / In Description,Not Specified / In Description,"Job Summary The Compensation and Benefits Supervisor administers corporate compensation and befits plans/ programs. He or she will ensures that all plans/ programs are consistent with employer's policies and all applicable national and local regulations. Being a Compensation and Benefits Supervisor he/ she will implement corporate compensation and benefits programs, policies, and procedures. The Compensation and Benefits Supervisor will handle daily compensation and benefit operation in the Admin and HR Department. Qualifications: Candidate must possess at least a Bachelor's/College Degree, Human Resource Management, Psychology or equivalent At least 5 year(s) working experience in the related field is required for this position Must have a related experience in compensation & benefits (processing of government mandated benefits, online posting and payment etc.) Experienced in Timekeeping and Payroll Must be keen to details, organized, and can multi-task Proficient with MS Office Applications Has good communication and writing skills Can start ASAP Willing to work in Pasay City",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Storekeeper,Aviation,Airbus Helicopters Philippines Inc.,2021-05-23,Pasay City,Full Time,,Not Specified / In Description,Not Specified / In Description,"Job Qualifications BS in Aircraft Maintenance Technology Graduate With good communication skills Has good moral character knowledge in MS Office applications Duties To ensures that all aeronautical products, materials, and consumables are properly inspected upon arrival and have all necessary documents traceable and readily available upon issuance. Ensures proper and accurate inventory, recording, and regular monitoring of aeronautical products, materials, and consumables and its shelf life limits as appropriate; Ensures unserviceable and unapproved/bogus aeronautical products are properly identified and quarantined from the serviceable items. To assist in exporting aircraft parts that may be a warranty, standard exchange, or with discrepancy. Before shipment, performs inspection, standard packaging, and documentation of aeronautical products that are subject for return to supplier, delivery to customer’s hangar, and outstation services.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,System Data Analyst,Aviation,"Global Virtuoso, Inc.",2021-05-17,National Capital Reg,OJT,,Not Specified / In Description,Not Specified / In Description,"Global Virtuoso is actively looking for System Data Analyst who will be part of a dynamic and highly skilled professional for our Aviation and Travel Operation team. Let yourself be part of the leading multi-discipline service provider company in the Philippines that has changed the landscape of the service industry! Join us, and you can build your career with us across Aviation & Travel Operations, Healthcare & Medical, Finance & Accounting, and Business Process services and have something better for yourself, for our customers, and for the rest of the world. SUMMARY:The System Data Analyst shall be responsible for providing support to all users of the GroundStar suite and Deputy Rostering, incorporating technical, functional, and access for the applications. He will provide support for Workforce Planning of flight and ground crew as necessary. He is also responsible for the delivery of project and UAT activities, providing key analytical support in a consistent and timely manner for business improvement opportunities, and application of standardized processes. He will also ensure all documentation, module configuration, and user access maintenance are properly maintained in line with company objectives. He will also be responsible for processing crew allowances and other administrative tasks. QUALIFICATIONS:• Experience in rostering & manpower planning principles• Experience in process and change management methodology, process re-engineering & re-design• Expert in Excel and other Microsoft applications• Strong customer focus with a drive to achieve results• Bachelor’s degree in business or IT• Experience in airline industry highly regarded• Excellent English, written and oral communications a must",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Aircraft Mechanic II (18-1998),Aviation,PHILIPPINE AIR FORCE - Government,2021-05-14,National Capital Reg,OJT,"18,251",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 17, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : 205THW Plantilla Item No. : AM2-18-1998 Salary/Job/Pay Grade : 8 Monthly Salary : Php 18,251.00 QUALIFICATION Eligibility : Aircraft Mechanic License (MC 10, s.2013 - Cat. IV) Education : Completion of 2-year course in Aircraft Maintenance Training : 4 hours of relevant training Work Experience : 1 year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 17, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: Ms. Reynalda S. Carumba Head, Civilian Human Resource Department PHILIPPINE AIR FORCE PAFHRMC, Colonel Jesus Villamor Air Base, Pasay City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","18,251","18,251",Not Specified,Not Specified,Engineering
Joblum,Aircraft Mechanic II (34-1998),Aviation,PHILIPPINE AIR FORCE - Government,2021-05-14,National Capital Reg,OJT,"18,251",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 17, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : 300AISW Plantilla Item No. : AM2-34-1998 Salary/Job/Pay Grade : 8 Monthly Salary : Php 18,251.00 QUALIFICATION Eligibility : Aircraft Mechanic License (MC 10, s.2013 - Cat. IV) Education : Completion of 2-year course in Aircraft Maintenance Training : 4 hours of relevant training Work Experience : 1 year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 17, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: Ms. Reynalda S. Carumba Head, Civilian Human Resource Department PHILIPPINE AIR FORCE PAFHRMC, Colonel Jesus Villamor Air Base, Pasay City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","18,251","18,251",Not Specified,Not Specified,Engineering
Joblum,Aircraft Mechanic II (27-1998),Aviation,PHILIPPINE AIR FORCE - Government,2021-05-14,National Capital Reg,OJT,"18,251",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 17, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : ACC dy 15SW Plantilla Item No. : AM2-27-1998 Salary/Job/Pay Grade : 8 Monthly Salary : Php 18,251.00 QUALIFICATION Eligibility : Aircraft Mechanic License (MC 10, s.2013 - Cat. IV) Education : Completion of 2-year course in Aircraft Maintenance Training : 4 hours of relevant training Work Experience : 1 year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 17, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: Ms. Reynalda S. Carumba Head, Civilian Human Resource Department PHILIPPINE AIR FORCE PAFHRMC, Colonel Jesus Villamor Air Base, Pasay City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","18,251","18,251",Not Specified,Not Specified,Engineering
Joblum,Aircraft Maintenance Technologist III,Aviation,PHILIPPINE AIR FORCE - Government,2021-05-14,National Capital Reg,OJT,"43,681",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 17, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : AMT3-17-2013 Plantilla Item No. : ADOF5-18-2005 Salary/Job/Pay Grade : 18 Monthly Salary : Php 43,681.00 QUALIFICATION Eligibility : Appropriate Airframe and Power Plant Radio Instrument and Electrical License (MC 10, s. 2013 - Cat. IV) Education : Bachelor's degree in Aircraft Maintenance Technology/Aviation Electronics Technology Training : 40 hours training with Socata-TB 9C Aircraft Work Experience : 2 years of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 17, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: Ms. Reynalda S. Carumba Head, Civilian Human Resource Department PHILIPPINE AIR FORCE PAFHRMC, Colonel Jesus Villamor Air Base, Pasay City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","43,681","43,681",Not Specified,Not Specified,Engineering
Joblum,Aircraft Maintenance Technologist III,Aviation,PHILIPPINE AIR FORCE - Government,2021-05-12,National Capital Reg,OJT,"43,681",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 17, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : ALC dy 410th MW Plantilla Item No . : AMT3-17-2013 Salary/Job/Pay Grade : 18 Monthly Salary : Php 43,681.00 QUALIFICATION : Eligibility : Appropriate Airframe and Power Plant Radio Instrumentand Electrical License (MC 10, s. 2013 - Cat. IV) Education : Bachelor's degree in Aircraft MaintenanceTechnology/Aviation Electronics Technology Training : 40 hours training with Socata-TB 9C Aircraft Work Experience : 2 years of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 17, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: Ms. Reynalda S. Carumba Head, Civilian Human Resource Department PHILIPPINE AIR FORCE PAFHRMC, Colonel Jesus Villamor Air Base, Pasay City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED","43,681","43,681",Not Specified,Not Specified,Engineering
