Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Pharmacovigilance Officer,Biomedical,Axis Online Ventures Inc.,2021-05-06,Paranaque,Not Specified,"60,000-65,000",Not Specified / In Description,Not Specified / In Description,Degree in Pharmacy/Pharmacology or Bachelor of Science in Nursing with valid PRC License; Must have 3 years experience in pharmacovigilance. Must have Vaccines experience.,"60,000","65,000",Not Specified,Not Specified,Medicine
Joblum,CLINICAL SALES SPECIALIST (AUDIOLOGY),Biomedical,EMERHUB Philippines Inc,2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Position Overview / Purpose: The position requires clinical expertise, comfort with attending and addressing surgical needs, and the continuous development and application of business acumen. The Clinical Sales Specialist is responsible for driving business growth and achievement of target sales by providing industry leading clinical and surgical support aligned with the needs of the business. Responsibilities include achieving the targeted sales revenue objectives, developing and maintaining the business and clinical relationships, providing clinical support, and presenting clinical and business program offerings to internal and external customers. Minimum Qualification: Tertiary qualifications in biomedical sciences or Audiology Minimum two years’ experience in clinical application/development roles Clinical certificate of competency (ASA/AcAud or Equivalent) Registration with country professional registration board Successful applicant will demonstrate flexible work style, good communication skills and ability to work well independently as well as in a team setting Ability to travel up to 60% in the Asia Growth Markets/South-East Asia and Asia Pacific region Strong written, verbal and presentation skills Demonstrates a sense of urgency and ability to prioritise Ideal: Post-graduate qualifications (Diploma or Masters) in Audiology Clinical application experience in the hearing field Accountabilities: Accountability 1: Achieve Sales Targets · In partnership with country champion and other team members, implement business and marketing plans to achieve sales targets, targeted unit quota, and revenue objectives. · Demonstrate exceptional sales and business acumen to identify market opportunities, competitive positioning, research customer needs, and generate sales / secure orders. · Make presentations regarding products, promotional/public relations, and account plans. · Establish strong relationships with all key people in the assigned accounts (surgeons, audiologists, OR department, purchasing department). · Identify new clinical partners to support strategic initiatives · Ensure that all sales activities within assigned territory/account(s) are conducted in a manner that is fully compliant with Company policy and local laws and regulations. · Provide market intelligence and competitive information, which can be utilized in developing effective ways to approach current and potential customers. · Maintain a completely professional image when representing Cochlear APAC. · Demonstrate and include principles of value selling, strategic planning and sales. Accountability 2: Internal and External Customer Training · Identify training needs of internal and external stakeholders, and design/customise training programs to fulfil customer needs. · Allocate appropriate Company resources and planning to achieve business growth through the education of products including technical trainings and products launches for professionals. Will manage training activities within the allocated expense budget. · In partnership with country champion, plan and ensure successful execution of annual training calendars for clinic staff and clinic recipients Accountability 3: Deliver on Customer Experience · Provide clinical expertise to our professional partners as an expert of Cochlear aligned to territory/account sales strategies. · Provide surgical support of the Cochlear product portfolio in key/targeted/identified accounts. · Provide technical and product support for the Cochlear product portfolio. Provide technical and clinical support through a variety of communication vehicles; in person, email and/or phone. This support may include advising on device programming and candidacy issues, problem solving related to medical/surgical inquiries and device trouble shooting. · Establish and provide growth strategies and solutions through key clinical concepts. Provide innovative solutions to sell solutions through education. · Responsible for device integrity testing and conveying the results to the managing audiologist or surgeon and the patient/family when appropriate. Understands the warranty policy and coordinates with customer service in cases of device failures. Prepares the integrity test report and submits it to the Regulatory Affairs Manager on a timely basis. Reports issues via complaint management system and provides appropriate follow up. Accountability 4: Demand Generation · Responsible for planning and executing demand generation activities through multiple channels (online and offline) to generate a continuous pool of candidates into the sales funnel. · Maintain a high-level engagement with recipients and candidates, nurture leads to accelerate the candidate journey to decide on Cochlear Implant (CI) surgery and make preferred brand choice · Establish and maintain regular contact with eligible recipients for upgrade opportunities. Keep abreast with digital technology (e.g., social media, live streaming) to engage with recipients in addition to other offline platforms. Accountability 5: Sales Force Effectiveness · Responsible for maintaining CRM system (Salesforce) with timely and accurate customer, account, surgery and candidate data · Adhere to activity KPIs as set by Asia Growth Markets (AGM) management · Ensure recipient data is registered accurately and timely into Cochlear’s portal. · Partner cross-functionally with key business areas (Marketing) to ensure successful execution of events. Team Role (Individual contributor): · Follow relevant quality procedures in order to deliver quality products and services and identify and support the implementation of continuous improvement. Undertake additional quality responsibilities (e.g. audit) when appropriately trained to undertake these responsibilities. · Contribute ideas on systems and process methods to improve deliverables. · Work safely, complying with all safety procedures, rules and instructions; and reporting workplace hazards, incidents or injuries to manager.",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,25k* Monthly | Health Care Account | Call Center Agent,Biomedical,Sykes Philippines,2021-05-28,National Capital Reg,Contract,,Not Specified / In Description,Not Specified / In Description,"Get hired today and start working from home* ASAP!*Disclaimer: Work-from-home setup is temporary. You will be required to report to our Worldwide Corporate Center site (Mandaluyong City) after the pandemic. Our recruitment team will discuss other employment details with you during your interview.WHY YOU SHOULD JOIN SYKESSYKES is the best company where you can work, learn and grow. We offer competitive salary and benefits packages, provide various learning, development and mentoring opportunities and put programs in place to promote career growth. As a multinational digital marketing and customer service global outsourcer, we partner with Global 2000 companies. That means that you get to work with the world’s biggest brands and industry leaders! Here are some of the other benefits of working in SYKES:Competitive salary, account-specific benefits and performance incentivesNight differential and night shift allowancesPaid sick and vacation leavesHMO coverage (medical and dental) for you, even during probationary period, and your qualified dependentsLife InsuranceStudy Assistance ProgramCool office spaces and employee-centric facilitiesAccessible locationsMentoring and development programs for career growth opportunitiesExclusive discounts in partner establishmentsCompany-sponsored interest clubsEmployee engagement activitiesVolunteer programsSYKES has been in the Philippines for more than 20 years and is considered the country’s first multinational contact center!*Terms and conditions apply.*The 25K* monthly package is inclusive of basic pay, incentives and allowances. The basic salary varies depending on your assessment.What are we looking for?Completed at least 2 years of college educationBPO experience is requiredBasic knowledge of computer usage and internet navigationExcellent English communication skillsAt least 25mbps internet speed and workspace suitable for work-at-homeDisclaimer: Some hiring requirements are filled immediately. To check if this job opening is still available, you may send our team a message through 09778259999 following this format – JobStreet: <Inquiry>.--ATTESTATIONBy submitting your application, you acknowledge that you have read and understood SYKES Recruitment and Privacy Policy (https://www.sykes.com/philippines/sykes-recruitment-and-privacy-policy/). You attest that the personal information you provided, such as, among others, those pertaining to your academic and professional qualifications are accurate, true, complete, and not misleading.In addition, you give your consent to SYKES to verify the information you have provided relative to your application. This includes checks with your previous employers, academic and/or professional institutions and other agencies as permitted by law.You further understand that SYKES is committed to ensuring the confidentiality of your personal data through the institution of appropriate legal, organizational, physical and technical measures to protect such data consistent with applicable privacy and data security laws. You confirm and consent to SYKES (i) collecting, processing and updating your personal data in connection with your employment application and the provision of services through the Sykes e-Recruitment (e-Rec) portal; (ii) publishing your personal data via SYKES e-Rec portal (iii) transferring of your personal data to Sykes affiliates, vendors and third parties in accordance with existing laws and regulations.You are also aware that you are entitled to know whether SYKES holds your personal data, that you have the right to access your personal data, and that you may request for its supplementation, correction, or deletion, in accordance with local laws, as may be applicable. However, you acknowledge that certain personal data may be exempt from such access, correction and deletion requests pursuant to applicable data protection laws and regulations.You confirm and consent to receiving alerts and notices from SYKES regarding important events, deadlines and schedules, HR announcements and other matters of interest related to your work application and possible employment with SYKES.",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Medical Technologist,Biomedical,Biocare Health Resources Inc.,2021-05-27,National Capital Reg,Contract,"20,000-26,000",Not Specified / In Description,Not Specified / In Description,Candidate must possess at least Bachelor's/College Degree in Science & Technology or equivalent. At least 3 Year(s) of working experience in the related field is required for this position. Preferably 1-4 Yrs Experienced Employee specialized in Biomedical or equivalent. DEGREE: Candidates must possess at least a bachelor’s degree the following fields: Medical Technology or Molecular Biology with valid PRC License LANGUAGE: Must have excellent written and verbal communication skills in English and Filipino EXPERIENCE: 1 to 3 years of related experience. SKILLS: Must be willing to be cross-trained with different machines and provide service on various technology platforms being carried by the company. Must be able to provide technical support in terms of product application via remote and/or on-site customer interaction. Must be a team player and be willing to travel and to be trained extensively.,"20,000","26,000",Not Specified,Not Specified,Medicine
Joblum,Area Manager,Biomedical,Biocare Health Resources Inc.,2021-05-27,"Nueva Vizcaya, Central Luzon, Cebu (Cebu City), Davao",Full Time,"25,000-32,500",Not Specified / In Description,Not Specified / In Description,"DEGREE: Candidates must possess at least bachelor's degree in paramedical studies such as: Medical Technology, Nursing, Microbiology, Molecular Niology; or a bachelor's degree in Marketing, Economics, Management or Business Administration. LAGUAGE: Must have excellent written and verbal communication skills in English and Filipino. EXPERIENCE: with or without sales experience, fresh graduates are welcome to apply. SKILLS: Must have or acquire excellent territory coverage and management. Must be results dirven and mus show commitment in meeting sales objectives. must be adept in sales planning, reporting and market analsis. Must have excellent presentation skills. Must be a team player and be willing to travel and to be trained extensively. Candidates will be assigned in any of the following areas: Metro Manila, Cagayan Valley, Central Luzon, South Luzon, Cebu, Panay Negros, Eastern Visayas or Central Mindanao. Fourteen (14) Full-time positions available ","25,000","32,500",Not Specified,Not Specified,Medicine
Joblum,Biomedical Technician,Biomedical,Biocare Health Resources Inc.,2021-05-27,Quezon City,Project Base,"18,000-23,400",Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least Vocational Diploma/Short Course Certificate in Engineering (Bioengineering/Biomedical) or equivalent. At least 2 Year(s) of working experience in the related field is required for this position. Required Skill(s): good communication skills, strong knowledge in biomedical, MS Office, good documentation skills, ability to analyze information, knowledge about safety measures, ability to maintain confidential information, multi tasking skill, flexible and professional Preferably 1-4 Yrs Experienced Employee specialized in Biomedical or equivalent.","18,000","23,400",Not Specified,Not Specified,Medicine
Joblum,URGENT!!! BIOMEDICAL ENGINEER (CAGAYAN VALLEY),Biomedical,"Medical Trends & Technologies,(MEDT2EK) Inc.",2021-05-25,"Cagayan (Tuguegarao City), Isabela, Nueva Vizcaya",OJT,,Not Specified / In Description,Not Specified / In Description,"JOB SUMMARY Implements the processes for quality assurance, troubleshooting, product training and evaluation of Medtek and ManPharma products. DUTIES AND RESPONSIBILITIES 1. QUALITY ASSURANCE Scrutinizes, analyzes or reviews the quality of all new and repaired products prior to usage by customers. 2. TROUBLESHOOTING Reviews and analyses defective and nearly expired products submitted by end-users. 3. TRAINING 3a. Assists in the development of training programs and materials essential for Business Development Officers (BDOs) and Regional Sub–dealers related to new product pipelines 3b. Conducts lectures, hands on training, detailing activities and product demo to all BDOs, dealers and sub-dealers 3c. Make use of all training received in the improvement of his services. 4. RESOURCE INFORMATION 4a. Assists, recommends and advises resource information and updates of diagnostic products (point of care, automation equipment and supplies) to be developed in the market relevant to the company’s goals and objectives, and as directed by the Service Engineering Manager 4b. Provides information and technological updates of diagnostic products to all BDOs as assigned by the Service Engineering Manager 4c. Develops advisory notices in cases of immediate modification and emergency announcement from manufacturers as assigned by the Service Engineering Manager 5. ADMINISTRATIVE 5a. Implements what the Service Engineering Manager has delegated based on the daily and other periodic goals and objectives, keeps abreast with updates and information related to technical issues, discusses and analyzes technical and other concerns with superiors and colleagues at least once a month 5b. To recommend ways to improve company policies and procedures so that information can be gathered and analyzed faster and to improve efficiency and customer satisfaction, whether internal or external",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Freelance Medical Sales Representative,Biomedical,Asiatrends Import and Export Corp,2021-05-23,"Bicol Region, Central Luzon, Central Visayas, Ilocos Region, National Capital Reg, Northern Mindanao, Davao, Calabarzon & Mimaropa, Zamboanga, Western Visayas",Freelance,,Not Specified / In Description,Not Specified / In Description,"Responsibilities Offer our products to various customers, hospitals, clinics, distributors, companies or corporations, government units or organizations, stores and general trade and get commissions for the sales generated by your referred customers Products include Alcohol, Sanitizers, Liquid Soaps Disinfectants, Fog Solutions, Fabric softeners Liquid bleach, liquid detergents and others Coin-Operated Coffee and Cold Vending Business (Negosyong Pangkabuhyan) CCTV Products Fabrics for Garment Factories, Garment Brands, Fabric Wholesale Shops Any product which we can buy locally or import from China or other countries Requirements: With existing relationships and connections with purchasing decision-makers in private companies or corporations, government organizations, stores, hospitals, clinics, others Working in FMCG (Fast Moving Consumer Goods) is a plus, but not necessary Willing to be trained; good communication skills in English and Filipino Good negotiation skills. Mature. Independent Good PC Skills (Word, Excel, Email, PowerPoint) is a plus Good commissions await the qualified freelancer Interview will be via phone call or video calls (zoom, viber, messenger, skype or others) Walk-in freelancers can walk-in our office anytime, as per below Manila office address: Company Name: Shanghai Global or Asia Trends Import & Export Corp Address: inside Shanghai Oriental Compound, 3453-55 V. Mapa St., Sta. Mesa, Manila Landmarks: illumina Condominium, Don Bosco Manila Look for: Portia, Jennie, Armie Contact numbers are: 0917 897 7704 or 0917 8666 721 or 0919 073 5131 Office telephone numbers - 02- 8567 6865 02-8567 6843 loc 5001 or 6000 Resume can also be sent to atc2(a)asiatrendscorp.com atc27(a)asiatrendscorp.com atc21(a)asiatrendscorp.com johnny(a)asiatrendsmfg.com If none of the above answer you back, you may contact Johnny at 0917 1100 752 or 0998 594 9700 We welcome applicants from all over the country Simply submit your resume via email and we will call you For interested applicants please click “APPLY NOW” and be sure to upload your updated CV or resume through Jobstreet. We are looking forward to speaking to you soon",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Temporarily Work-from-Home* | Healthcare Account,Biomedical,Sykes Philippines,2021-05-23,National Capital Reg,Contract,"20,000-23,000",Not Specified / In Description,Not Specified / In Description,"Get hired today and start working from home* ASAP! *Disclaimer: Work-from-home setup is temporary. You will be required to report to our Worldwide Corporate Center site (Mandaluyong City) after the pandemic. Our recruitment team will discuss other employment details with you during your interview. WHY YOU SHOULD JOIN SYKES SYKES is the best company where you can work, learn and grow. We offer competitive salary and benefits packages, provide various learning, development and mentoring opportunities and put programs in place to promote career growth. As a multinational digital marketing and customer service global outsourcer, we partner with Global 2000 companies. That means that you get to work with the world’s biggest brands and industry leaders! Here are some of the other benefits of working in SYKES: Competitive salary, account-specific benefits and performance incentivesNight differential and night shift allowancesPaid sick and vacation leavesHMO coverage (medical and dental) for you, even during probationary period, and your qualified dependentsLife InsuranceStudy Assistance ProgramCool office spaces and employee-centric facilitiesAccessible locationsMentoring and development programs for career growth opportunitiesExclusive discounts in partner establishmentsCompany-sponsored interest clubsEmployee engagement activitiesVolunteer programsSYKES has been in the Philippines for more than 20 years and is considered the country’s first multinational contact center! *Terms and conditions apply. *The 25K* monthly package is inclusive of basic pay, incentives and allowances. The basic salary varies depending on your assessment. What are we looking for? Completed at least 2 years of college educationBPO experience is requiredBasic knowledge of computer usage and internet navigationExcellent English communication skillsAt least 25mbps internet speed and workspace suitable for work-at-home Disclaimer: Some hiring requirements are filled immediately. To check if this job opening is still available, you may send our team a message through 09778259999 following this format – JobStreet: <Inquiry>. -- ATTESTATION By submitting your application, you acknowledge that you have read and understood SYKES Recruitment and Privacy Policy (https://www.sykes.com/philippines/sykes-recruitment-and-privacy-policy/). You attest that the personal information you provided, such as, among others, those pertaining to your academic and professional qualifications are accurate, true, complete, and not misleading. In addition, you give your consent to SYKES to verify the information you have provided relative to your application. This includes checks with your previous employers, academic and/or professional institutions and other agencies as permitted by law. You further understand that SYKES is committed to ensuring the confidentiality of your personal data through the institution of appropriate legal, organizational, physical and technical measures to protect such data consistent with applicable privacy and data security laws. You confirm and consent to SYKES (i) collecting, processing and updating your personal data in connection with your employment application and the provision of services through the Sykes e-Recruitment (e-Rec) portal; (ii) publishing your personal data via SYKES e-Rec portal (iii) transferring of your personal data to Sykes affiliates, vendors and third parties in accordance with existing laws and regulations. You are also aware that you are entitled to know whether SYKES holds your personal data, that you have the right to access your personal data, and that you may request for its supplementation, correction, or deletion, in accordance with local laws, as may be applicable. However, you acknowledge that certain personal data may be exempt from such access, correction and deletion requests pursuant to applicable data protection laws and regulations.You confirm and consent to receiving alerts and notices from SYKES regarding important events, deadlines and schedules, HR announcements and other matters of interest related to your work application and possible employment with SYKES.","20,000","23,000",Not Specified,Not Specified,Medicine
Joblum,BIOMED TECHNICIAN,Biomedical,NEPHROLOGY CENTER OF DUMAGUETE CITY DIALYSIS INC.,2021-05-22,Central Visayas,Contract,,Not Specified / In Description,Not Specified / In Description,"The hirer is still in the process of verification. Copy and paste this link on your browser to know what it means: https://cloud.ph.jobstreetmail.com/PH-JS-CAN-Under-Verification Biomedical Technician Job Responsibilities and Duties Installs new equipment by adjusting, establishing, testing, and calibrating performance Approves potential biomedical equipment by guaranteeing that codes are adhered to Maintains supplies inventory by foreseeing needs, counting stock, placing orders, and verifying delivery Directs operation of biomedical equipment by providing demonstrations, supplying information and data, instructing others in the care and use of equipment, and answering all questions Keeps biomedical equipment in working order by performing tests, following preventive maintenance guides, repairing and troubleshooting break downs, evaluating service contracts, ordering special services if necessary, and maintaining inventories Prepares reports by analyzing, collecting, and recapping trends and information Updates job skills and knowledge by reading technical journals, taking advantage of educational opportunities, and maintaining professional networks Keeps patient information confidential Carries out the goals of the organization by exploring opportunities to add significance to job duties, and by accomplishing different and innovative requests Maintains a healthy and safe working environment by fulfilling and recommending procedures, performing safety tests, complying with codes, and guiding and training health care and medical personnel Biomedical Technician Skills and Qualifications Associate degree in biomedical engineering or technology Good technical skills Comfortable in a lab environment Documentation and Record keeping skills Clinical lab testing Analyzing skills Ability to maintain confidential information Ability to create a safe environment Equipment calibration Equipment repair Infection control Sterilization Training management Conceptual skills Multi-tasking skills Flexibility",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
