Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Quality Control Microbiologist,Biotechnology,"Doxo Ingredients, Inc.",2021-05-25,Central Luzon,Not Specified,,Not Specified / In Description,Not Specified / In Description,"QUALIFICATIONS: Candidates must possess at least a Bachelor's/College in Microbiology, Chemistry orequivalent.At least less than 1 year of working experience in the related field is required for this positionWilling to be reassigned at different locations and to work at a shifting schedule when needarises.Willing to work overtime when need arises.Willing to be assigned in BULACANCan start ASAP RESPONSIBILITIES: Conducts sensory and physico-chemical evaluations of raw materials and finished goodsConducts micro test on raw materials and finished goodsRecord, analyze and interpret dataEnsures that data is recorded accurately in accordance to guidelinesObserves high health and safety standardsInspects food and drink manufacturing processes to check for possible contaminationConducts GMP audit on production and warehouse areas and ensures that GMP standards arefollowed.Coordinates with production for researches, improvements and handling of qualitynon-conformancesSupervises and schedules Laboratory Aide's work assignment.Provides GMP training to food handlersOther related tasks as assigned BENEFITS: FREE pre-employment medical examComplete government-mandated benefitsPaid overtime",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Laboratory Analyst,Biotechnology,"HIADVANCE PHILIPPINES, INCORPORATED",2021-05-25,Makati City,OJT,,Not Specified / In Description,Not Specified / In Description,"Academic Requirements: · At least a Bachelor’s degree in Chemistry, Biochemistry, or equivalent · With Professional License in Chemistry, certified Microbiologist, Licensed Medical technologist, whichever is applicable Work Experience / Skills: Fresh graduate or with 1-year work experience in the laboratory With the basic knowledge on analytical methods done in the assigned department and on equipment With background knowledge on ISO/IEC 17025 Duties and Responsibilities: · Performs detailed preparation and analysis of samples according to published methods and laboratory procedures; · Processes and evaluates raw data obtained from preparation and analysis steps; · Generates final results from raw data, performing primary review against method criteria; · Monitors quality control data associated with analysis and preparation. This includes the examination of raw data such as chromatograms as well as an inspection of reduced data, calibration curves, and laboratory notebooks; · Reports data in LIMS, authorizing for release pending secondary approval; · Conducts routine and non-routine maintenance of equipment as required; · Maintains the cleanliness of the work area Initiates requests of any materials, glassware and reagents needed for the analysis performed",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Quality Assurance,Biotechnology,Pacific Synergy Food and Beverage Corporation,2021-05-25,Laguna (Calamba City),Not Specified,,Not Specified / In Description,Not Specified / In Description,"• Performs appropriate inspection and testing procedures required by the quality assurance programs. • Conducts GMP/GWP, in-line and product audits. • Process non-conformances related to QC/QA through investigation, root cause analysis, documentation and corrective action validation. • Maintains calibration and verification of existing measuring and testing equipment and recommends adjustment if needed. • Assists in the documentation of QA processes, procedures and forms. • Monitoring and programming of Operational Pre-requisite Programs (OPRP) and Critical Control Points (CCP) • Validation/verification in CIP process in water treatment & filler area.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Applications Specialist,Biotechnology,Not Specified,2021-05-24,Muntinlupa City,OJT,"21,000-26,000",Not Specified / In Description,Not Specified / In Description,"Applications Specialist Function: - Specialize in Thermal Validation and Biological products - Prepare and present technical presentations to customers at seminars and conferences - Provide post-sales application and technical support to customers - Coordinate with sales team to develop sales tools and strategies for promoting products successfully - Prepare and present reports on progress of project and technical trends observed in the market Required qualifications: - Chemistry/Microbiology/Biology/Chemical Engineering - Must be knowledgeable and have an experience in Thermal Validation studies - Ability to manage multiple projects simultaneously and prioritize effectively - Good presentation and interpersonal skills - Excellent sense of customer service/support - Must be willing to do field work, loves travelling - Preferably with experience in sales and marketing","21,000","26,000",Not Specified,Not Specified,Science
Joblum,Embryologist,Biotechnology,Towako Repro Bio Cell Inc.,2021-05-17,Makati City,Not Specified,"22,000-25,000",Not Specified / In Description,Not Specified / In Description,"QUALIFICATIONS: Candidate must possess at least Bachelor's/College Degree in Science Related Courses – Biotechnology/Biological Engineering, Biology, Biochemistry, Medical technology or equivalent. No work experience required. Preferably fresh graduate JOB DESCRIPTION: Performs basic IVF methods in the laboratory:sperm analysissperm preparation for IUI/ inseminationsperm cryopreservationoocyte retrievalculture media and culture dish preparation Ensure that procedures and tests conform to the standards of IVF procedure and quality standards of the ART laboratory. Signatory of the official procedure result. Maintains adequate supply of materials for use in the IVF laboratory. Communicates and discuss obstacles in work, incidents & complications encountered and suggestions to improve the quality of service Participates in laboratory quality assurance and quality control programs. Participates in the timely collection of data and maintenance of databases. Performs other duties as assigned. Willing to work on weekends and holidays. Willing to be assigned in Makati.","22,000","25,000",Not Specified,Not Specified,Science
Joblum,LABARATORY ANALYST,Biotechnology,The VITO Consulting Group Inc.,2021-05-13,Central Luzon,Full Time,,Not Specified / In Description,Not Specified / In Description,Candidate must possess at Bachelor's or BS Chemical Engineering or BS Food scienceHas 3 years working experience in feeds company preferably inn AQUA feed Full-Time position(s) available.,Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,KEY ACCOUNT SPECIALIST,Biotechnology,Mega Lifesciences Limited Inc.,2021-05-13,Calabarzon & Mimaropa,OJT,"20,000-30,000",Not Specified / In Description,Not Specified / In Description,"Key Account Specialist - South Luzon Job Description: Help KAM to maintain the customer database up to date to ensure full understanding of customer needs Bring innovative ideas and strategically work to increase awareness on the demand of the company products Ensure continuous product availability on the market and in different institutions Maintains accurate coverage of designated territory and ensure full compliance with company policy guidelines provided with best-in-class customer service. Keeps updated with the latest products information and clinical data provided by the company to presents and discuss it with healthcare professionals during face-to-face meetings and/or group presentations. Supports the brand strategy and identifies new opportunities which will drive business. Understands customers and market insights to ensure achievement of short-term and long-term business objectives. Collaborates with different functions in a teamwork spirit to optimize the results in a timely manner and be open to feedback and suggestions in order to increase market penetration. Interacts with KAM on a continuous basis to share information and come out with the best solutions whenever common issues are raised. Develops and enhances the contact network to build positive relationships Skills needed for the position : Communication skills, Interpersonal skills, Problem solving skills, Critical thinking skills, Teamwork and collaboration skills, Adaptability skills, Work ethic, Project management skills Knowledge needed for the position: Product Knowledge, Market research, Forecasting, Sales management, Familiar with assigned geographic territory, Market Research, Promotions and Business Development Traits needed for the position: Driven, Competitive, Focused, Responsible, Action-oriented, Team player, Problem Solver Competencies: People Management, Negotiation skills, Taking Responsibility, Customer Focus(Acts with customer in mind -Internal/external), Problem Solving /Creativity, Collaboration/Team Work, Interpersonal Skills/Communication, Delegation Skills, Time Management, Planning & Organizing Educational Qualification needed for the position: Bachelor’s degree in pharmacy/ nursing or any related field with significant work experience Experience needed for the position : 2 years +","20,000","30,000",Not Specified,Not Specified,Science
Joblum,ENTOMOLOGIST,Biotechnology,LIGHT AND HOPE OVERSEAS PLACEMENT AGENCY,2021-05-12,Saudi Arabia,Full Time,,Not Specified / In Description,Not Specified / In Description,"Prepare and deliver documented proposals and reports for establish research trials Weigh, formulate and apply experimental and commercial insecticides to pest targets and their habitats Researching the growth, nutrition, behavior, and how insects interact with plants. Qualifications : Candidate must possess at least a Vocational Diploma / Short Course Certificate, BioTechnology or equivalent. At least 1 year(s) of working experience in the related field is required for this position. Applicants must be willing to work in Jeddah, Makkah Region. 2 Full-Time position(s) available. Principal / Employer : ENTOTOX KSAPrincipal / Employer Address : SAUDI JEDDAHPlacement Fee : Please be reminded that as per POEA regulations, the placement fee is up to a maximum of one (1) month's salary. For interested applicants please click “APPLY NOW” and be sure to upload your updated CV or resume through Jobstreet.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Laboratory Analysts,Biotechnology,"Unahco, Inc.",2021-05-08,Central Luzon,Full Time,,Not Specified / In Description,Not Specified / In Description,"JOB QUALIFICATIONS Candidate must possess at least Bachelor's/College Degree, Professional License (Passed Board/Bar/Professional License Exam) in Engineering (Chemical), Chemistry or equivalent. At least 1 Year(s) of working experience in the related field is required for this position. Preferably 1-4 Yrs Experienced Employee specialized in Others/Category not available or equivalent. JOB DESCRIPTION Performs job functions consistent with the corporate vision and mission statement and core values of the company. Performs routine physical and chemical analyses of raw materials, finished goods, and returned goods stocks; responds to related / special requests for the conduct of laboratory analysis from internal customers. Prepares standard solutions for chemical analysis. Undertakes regular validation of reliability of precision instruments and methodologies and processes for laboratory analyses. Informs Quality Assurance Inspector on results of analysis to serve as guide for quality control disposition. Reports non-conforming products as determined from laboratory analysis to the Quality Assurance Supervisor for proper disposition. Documents results of analyses and submits to the Quality Assurance Supervisor. Conducts research on analytical procedures for application / adaptation in order to enhance laboratory capabilities. Updates raw material specifications and analytical procedures annually or as needed. Maintains cleanliness, orderliness and safety of the laboratory as well as the equipment / apparatus therein. Assists in the preventive maintenance and trouble-shooting repair of laboratory equipment; arranges for repair of equipment by third party service providers in instances when internal capabilities are inadequate for the purpose. Conducts regular inventory of reagents and glassware; prepares requisitions for needed replacements. Submits monthly reports on work performance outputs with corresponding analysis and recommendations to the Quality Control Supervisor / Head. Performs such other duties and responsibilities related to and/or implied from the above enumeration.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Laboratory Analyst (Microbiologist/Biologist),Biotechnology,"SGS Philippines,Inc.",2021-05-06,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Primary Responsibilities: Responsible for performing analyses as defined in the Matrix of Laboratory test and Analyses and reportingaccordance with the QMS & Safety Polices defined in the Safety Manual. Accordance with the standard test methods. Operates and maintains equipment used in performing analyses. Participates in various proficiency / correlation programs. Prepares purchase request for laboratory suppliesManagerQuality Management System. Complies with the QHSE policies including but not limited to:participating in safety meetings, completing required training, intervening in unsafe situations, refusingResponds appropriately to emergency situations and assists other staff members in maintainingo In accordance with the SGS QHSE Management System requirements, disposes of, or directs theall waste transportation and disposal regulations and requirements. Maintains awareness of hazards and proposes controls to supervisor, QHSE Representatives or relevanto Actively participates in incident investigations and risk assessments as deemed necessary by SGS. Qualifications: Candidate must possess at least a Bachelor's/College Degree , Biology, BioTechnology, Engineering (Bioengineering/Biomedical) or equivalentAt least 1 year(s) of working experience in the related field is required for this position.Preferably with Professional license depending on the course taken but not requiredPreferably 1-4 Yrs Experienced Employees specializing in Biotechnology or equivalent.Full-Time position(s) available Required SkillsExperience/Technical Knowledge Computer-literate, laboratory-oriented, communication skills and organization skills",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,MEDICAL REPRESENTATIVES,Biotechnology,Mega Lifesciences Limited Inc.,2021-05-03,"National Capital Reg, Davao",Contract,,Not Specified / In Description,Not Specified / In Description,"We are looking for talented Medical Representatives with the following area: - CAMANA - PASAY-PARANAQUE -MAKATI-MANDALUYONG -DAVAO SOUTH Kindly indicate the area when you send your application. Duties and Responsibilities: Services existing accounts, cover assigned clients to obtains orders, and establishes new accounts by planning and organizing daily work schedule to call on existing or potential customers Focuses sales efforts by studying existing and potential volume of dealers Keeps management informed by submitting activity and results reports, such as daily call reports, weekly work plans, and monthly and annual territory analyses. Monitors competition by gathering current marketplace information on pricing, products, new products, delivery schedules, merchandising techniques, etc. Recommends changes in products, service, and policy by evaluating results and competitive developments. Resolves customer complaints by investigating problems; developing solutions; preparing reports; making recommendations to management. Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies. Provides historical records by maintaining records on area and customer sales. Contributes to team effort by accomplishing related results as needed. Job Qualifications: Customer Service, Motivation for Sales, Meeting Sales Goals, Closing Skills, Territory Management, Prospecting Skills, Negotiation, Self-Confidence, Product Knowledge, Presentation Skills, Client Relationships Candidate must possess at least Bachelor's/College Degree At least 1 Year(s) of working experience in the related field is required for this position. Preferably 1-4 Yrs Experienced Employee specialized in Biotechnology or equivalent.",Not Specified,Not Specified,Not Specified,Not Specified,Science
