Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Laboratory Analyst (Project-Based),Chemistry,PASAR Corporation,2021-05-29,Eastern Visayas,Not Specified,,Not Specified / In Description,Not Specified / In Description,"• Perform analytical laboratory functions of various samples for either commercial, process monitoring, legal, environmental requirement and other related purposes of the business • Acknowledges receipt of samples and records details as necessary and assess samples endorsed • Fit-in established analytical methods for routine samples • Evaluate the non-routine samples as to what applicable analytical methods to be used • Assist the Research Chemist on the management and handling of samples, supporting the Revenue Growth Project Initiative • Prepare reagents in accordance to defined WI (Work Instruction) • Verify standard solutions prior to usage and maintain traceability • Check if instruments are working according to specifications and analyze sample in accordance to established analytical method and WI • Ensure integrity and storage of samples and standards, safekeeping and disposal protocol • Analyze the sample per defined analytical method/s with established or assigned CS (control sample) • Calculate analysis results with exact data, apply appropriate statistical tools to interpret data, and apply appropriate QA/QC (quality assurance/quality control) • Update and interpret control charts and make necessary actions if necessary • Evaluate analysis results for any trending, abnormality or possible contributing factors that may lead to erroneous assay • Execute good judgment for any confirming work is deemed necessary • Encode and authorize results in sample manager • Conduct analytical testing for methods verification or validation of new methods supporting the Revenue Growth Project Initiative • Institute completeness of required analysis per agreed/defined turn-around time • Relay results that are urgently needed by user • Conduct inventory of consumables and reports to area manager for replenishment • Organize data for faster availability and traceability • Observe strict compliance to confidentiality of laboratory data • Project Duration: 3 months",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,"CHEMIST - LIPA, BATANGAS (URGENT)",Chemistry,"LIPA QUALITY CONTROL CENTER, INC.",2021-05-29,Batangas,Full Time,"20,000-26,000",Not Specified / In Description,Not Specified / In Description,"SPECIFIC DUTIES AND RESPONSIBILITIES: Signs laboratory test reports in compliance for different accreditation and recognition requirements Prepares samples for laboratory analysis using prescribed standards and specifications Prepares chemical reagents and standard solutions in accordance with prescribed test methods Conducts laboratory test and procedures in accordance with prescribed standards Responsible for proper use of instruments and test equipment and reports defective ones whenever necessary Ensures systematic workflow by regular and proper timing of laboratory test in order of priority Submits request of laboratory supplies to replenish stocks Submits indexing of samples and chemical consumption Maintains cleanliness and orderliness in working area REQUIREMENTS: Candidate must be a graduate of BS Chemistry Licensed Chemist Preferably with basic laboratory experience Can work with minimum supervision Good oral and written communication Must be willing to work in LIPA CITY, BATANGAS You may call 0917-188-5705 to schedule for an appointment","20,000","26,000",Not Specified,Not Specified,Science
Joblum,LABORATORY MANAGER,Chemistry,Masterbatch Philippines Inc.,2021-05-29,Caloocan City,Not Specified,"30,000-42,000",Not Specified / In Description,Not Specified / In Description,"Candidate must be graduate of BS Chemistry or Chemical Engineering preferably taking or taken masters or PhD. At least 5 year(s) of working experience as Laboratory Manager or Supervisor in Laboratory settings. Excellent in verbal or written communication skills. Excellent interpersonal and customer service skills. Excellent organizational skills and attention to detail Excellent time management skills with a proven ability to meet deadlines. Strong analytical and problem-solving skills Strong supervisory and leadership skills Proficient with Microsoft Office Suite or related software. DUTIES AND RESPONSIBILITIES: Develops, implements and manages processes to ensure that products meet required specification for quality, function and reliability prior to delivery. Communicates quality standards and parameters to Laboratory team, Product development team and other appropriate staff. Coordinates product testing processes. Participate in product testing. Identifies and analyses issues, defects and other problems, particularly when problem recur in multiple products, recommends and facilitates solutions to these issues. Review client, customer and user`s feedback Implement and monitor compliance with Quality Assurance System and Certification such as GMP, HALAL and ISO (as required). Performs other duties as maybe assigned.","30,000","42,000",Not Specified,Not Specified,Science
Joblum,Chemical Technician,Chemistry,GJHOLDINGS INC.,2021-05-28,National Capital Reg,Full Time,"18,000-20,000",Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Professional License (Passed Board/Bar/Professional License Exam), Chemistry, Engineering (Chemical), Engineering (Material Science) or equivalent. At least 1 year(s) of working experience in the related field is required for this position. Applicants must be willing to work in Silang,Cavite. Preferably 1-4 Yrs Experienced Employees specializing in Chemistry or equivalent. Full-Time position(s) available.","18,000","20,000",Not Specified,Not Specified,Science
Joblum,Registered Chemist,Chemistry,"CDO Foodsphere, Inc.",2021-05-28,National Capital Reg,OJT,,Not Specified / In Description,Not Specified / In Description,"Job Summary: Conducts and supervises physico-chemical tests of raw materials, work in progress and finished products based on the set frequency from the quality plan to ensure that specifications and standards are met Assists in the effective implementation of quality assurance programs and systems of the company Other duties as assigned Minimum Requirements: Graduate of BS Chemistry Must be a Registered Chemist At least 1 year of previous related experience is an advantage but not required Willing to be assigned in Valenzuela City Fresh Graduates with above average academic standing are encouraged to apply",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Chemical Technician,Chemistry,"Gateway Property Holdings, Inc.",2021-05-28,Cavite,Full Time,,Not Specified / In Description,Not Specified / In Description,"Responsibilities: Conduct regular sampling and testing of wastewater effluent. Conduct monthly inventory of chemicals and equipment. Monitor the operation of the wastewater treatment plant. Requirements: Able to conduct simple laboratory analysis (e.g. COD, BOD, etc.) Willing to work shifting hours. Fresh graduates are encouraged to apply. Education: Graduate of Chemical Engineering and Technology or any related courses (e.g. Laboratory Technician, Biology, Chemistry) If you think you qualify for the requirements, feel free to email us your resume.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,In house Technical Sales Personnel,Chemistry,Theo-Pam Trading Corp.,2021-05-27,Pasay City,OJT,,Not Specified / In Description,Not Specified / In Description,"Join a team of vibrant sales people as you bring technical product recommendations to customers inquiring for products they need from various industries Candidate must possess at least Bachelor's/College Degree in Engineering (Chemical), Biology, Chemistry, Science & Technology or equivalent. No work experience required. Preferably Less than 1 year experience specialized in Chemistry or equivalent. ",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Laboratory Chemist,Chemistry,Ajinomoto Philippines Flavor Food Inc.,2021-05-25,Bulacan,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Graduate of Bachelor of Science in Chemistry With or without Experience in Food Industry or Laboratory Operations Must be a Licensed Chemist Can perform routine Physico chemical and Biochemical analysis, management and storage of chemicals, equipments and or apparatus Work well under pressure and have impressive stress management",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Pollution Control Officer,Chemistry,SMC GLOBAL POWER HOLDINGS CORP.,2021-05-25,Calabarzon & Mimaropa,Not Specified,,Not Specified / In Description,Not Specified / In Description,"JOB QUALIFICATIONS Licensed engineer or a licensed chemist with experience on power plant processes Accredited Pollution Control Officer by DENR-EMB; Knowledge in implementation and maintenance in Integrated Management System: ISO 9001:2015, ISO 14001:2004, OHSAS 18001:2007 and ISO 50001 (EnMS). Application of considerable knowledge of local laws, regulations, rules and ordinances and departmental policies and procedures related to the area of operation involving the environment. Considerable knowledge in operation and maintenance of steam turbines and coal fired boilers and its auxiliaries. Working knowledge on proper handling and disposal of chemicals used in the operation. Ability to generate written reports and presentation using Microsoft Office applications or similar software applications. Ability to communicate using different media such as email, radio and telephone, cellular phone. Knowledge of the structure and content of the English language including the meaning, spelling of words, rules of composition and grammar. Ability to read and understand equipment instructional manuals and maintenance operating procedure. Working knowledge in using problem solving techniques and decision making tools such as Cause and Effect Diagrams and other related techniques. Ability to determine causes of operating error and deciding on appropriate actions to eliminate such cause from reoccurring.Knowledge of basic principles and methods for training design, teaching and instruction to individual or groups and measuring training effectiveness and impact.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,FORMULATION CHEMIST,Chemistry,D & L Industries,2021-05-24,Quezon City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"The FORMULATION CHEMIST will support the R&D Manager in all projects related to Personal and Home Care, Industrial & Institutional Cleaning Chemicals and related consumer care products. He/she leads the application group consisting of laboratory technicians. This position will provide product information and product application support too various assigned projects associated with the company's strategic activities. Support includes the planning and independent execution of product application activities assuring the efficient operations of the application laboratory. RESPONSIBILITIES Lead the activities of the application laboratory Train application technicians to be competent in their assigned task Prepares work plans and reports in consonance with the strategic objectives of the R&D and Sales and Marketing Participates in product conceptualization and in execution of development plan Develops new applications for existing and new products Prepares comprehensive Product Information Sheet, Formulation Book and other Literature related to product promotion and launching of new products Conducts periodic training on new products and provides technical support to Sales and Marketing Coordinates and liaises with 3rd party laboratories to perform periodic evaluations Conducts stability test to support product stability and shelf life of all products handled EDUCATION AND EXPERIENCE BS Degree in Chemistry, with license; MS Degree an advantage Relevant years of hands-on experience Knowledge in chemical and physical analysis Skilled in laboratory techniques Strong foundation in organic and analytical chemistry Very good communication skills Computer savvy",Not Specified,Not Specified,Not Specified,Not Specified,Science
