Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Lifting Supervisor,Other Engineering,Megawide Construction Corporation,2021-05-29,Pampanga (Others),OJT,"50,000-70,000",Not Specified / In Description,Not Specified / In Description,Supervise the maintenance and operation of all lifting equipment and related accessories used in the field and ensure that all these activities are carried out in accordance with correct procedures and required standards. Develop and submit complete lift plans for all heavy lifts to the Health & Safety Department and other departments before any lifting operation. Supervise assigned employees to ensure that their works are carried out correctly and safely. Train and develop assigned tasks on relevant skills to enable them to become proficient on their job.,"50,000","70,000",Not Specified,Not Specified,Engineering
Joblum,"Facilities Officer - Imus, Cavite",Other Engineering,TaskUs,2021-05-29,"National Capital Reg, Calabarzon & Mimaropa",Contract,,Not Specified / In Description,Not Specified / In Description,"Imagine yourself going to work with one thing on your mind: you want to get feedback and build good working relationships with your colleagues. As you tackle your new tasks for the day, you know that it will all lead to one thing that your department believes in: that you will ensure facility cleanliness, orderliness, and maintain the quality of equipment and furnishings. As a Facilities Officer, implementing safety procedures and managing projects are your priorities. You will monitor and oversee security and housekeeping. In terms of employee engagement, you will solicit constant feedback from all employees on the site and ask them about working conditions by implementing regular floor walks, focus group discussions, and surveys. You will provide timely resolution of concerns and formulate programs that will increase employee satisfaction. In terms of equipment maintenance, you will perform regular inspection of furniture and fixtures, bulbs and lightings, electrical outlets, and plumbing fixtures to ascertain that these are in good working condition. You will also implement preventive maintenance of all TaskUs-owned equipment and coordinate the maintenance of building-owned equipment. You will conduct initial check-ups and troubleshooting of malfunctioning equipment and provide recommendations when needed. Meanwhile, in terms of housekeeping, you will assist the Facility Supervisor/Manager in implementing the site's housekeeping program and implement the effective scheduling of utility personnel to support operations. You will monitor and ensure that housekeeping supplies, pantry supplies, and toiletries are available at all times. You will also ensure the cleanliness and orderliness of the reception, operations area, offices and conference rooms, and restrooms. What else? In terms of security, you will assist the facility supervisor/manager in managing the physical security operations of the site and coordinate the investigation and correction of security issues in the site. In helpdesk management, you will respond to requests of operations teams and other support groups related to equipment setup, venue preparation, permit processing, etc. You will handle the closure of repairs, site maintenance, housekeeping, and security concerns filed thru the helpdesk. You will also ensure the adequacy of equipment, furniture, and lockers for use by individual representatives. In terms of incident management, you will respond to any incident related but not limited to power, aircon, water, safety, and with the downtime of TaskUs or building-owned equipment which impact operations. You will also provide first-hand analysis, troubleshooting, and coordination of repairs to vendor or contractor. In terms of safety, you will implement the safety program of the company and act immediately to correct any unsafe acts or hazards that pose risks to Taskus employees. You will assist government-authorized officials in site inspections related to safety. You will also handle the closure of the findings or recommendations from site inspections. You will conduct monthly check-ups of fire extinguishers, emergency lights, FM 200, and rectify any deficiencies noted. You will also coordinate the annual fire drill with the building. In terms of PMO project management, you will provide logistic support to the project management team for PM-related projects. You will lead and implement improvement projects initiated by the facilities team. You will also coordinate with vendors or contractors on the implementation of the SOW. You will provide assistance on ingress and egress of vendor or contractor works in Taskus secured areas. So, do you have what it takes to become a Facilities Officer? About Us We are a collective of highly capable humans, who understand how to deploy technology and data to best serve your purpose. From Digital CX to Content Security, AI Operations, Consulting, and anything in between, we consider ourselves responsible for protecting our partners’ interests and supporting their long term success through innovation and technology -powered by ridiculously smart people. TaskUs partners with the world’s most innovative and disruptive brands to protect what matters most and to thrive in an ever-changing world. TaskUs currently has over 23,000 employees around the world with offices across the United States, the Philippines, India, Taiwan, Mexico, Greece, and Ireland. TaskUs is an equal opportunity employer.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Traffic Management Officer (Bulacan),Other Engineering,Not Specified,2021-05-29,Central Luzon,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Engineering (Others) or equivalent. At least 4 year(s) of working experience in the related field is required for this position. Applicants must be willing to work in Bulacan. Preferably 1-4 Yrs Experienced Employees specializing in Engineering - Others or equivalent. 2 Full-Time position(s) available.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,LICENSED GEODETIC ENGINEER (CAVITE),Other Engineering,Vista Land & Lifescapes Inc.,2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"JOB DESCRIPTION: Responsible in conducting land surveying Analyze, control and survey data to ensure adherence to project specifications or land survey standards Prepare progress or technical reports JOB QUALIFICATIONS: Must have completed a Bachelor’s degree in Geodetic Engineering and passed the Geodetic Engineering Licensure Exam Having Latin Honors is highly advantageous With outstanding scholastic and/or extracurricular achievements will also have an advantage (i.e. Board Topnotcher, etc.) With excellent interpersonal and communication skills Highly competent, self-driven and have passion for excellence Must be willing to work in Dasmariñas, Cavite 2 Full time positions available FRESH BOARD PASSERS ARE HIGHLY ENCOURAGED TO APPLY! NO EXPERIENCE NEEDED.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Aluminum Fabrication Supervisor,Other Engineering,Fasclad Incorporated Philippines,2021-05-29,Valenzuela City,Contract,,Not Specified / In Description,Not Specified / In Description,"The hirer is still in the process of verification. Copy and paste this link on your browser to know what it means: https://cloud.ph.jobstreetmail.com/PH-JS-CAN-Under-Verification Job Qualifications: We are Urgently hiring for a Production Supervisor for Aluminum Composite Panel. Must be experienced in production supervision of Aluminum Composite panel for at least 5-10 years. Must be knowledgeable to operate and train to use fabrication equipment and operate Striebig Machine Must be Proficient in using Microsoft word, Excel, and PowerPoint for detailed monitoring and daily reporting to the management Must have strong leadership abilities with disciplined work ethic Responsibilities: Supervises coordinates activities of workers engaged in fabricating aluminum sheets in preparation for assembly into boats. Trains new workers in performance of tasks, like stretching, shearing and trimming aluminum sheets. Inspects work in progress to make sure adherence to company standards. Confers with other supervisors to coordinate interdepartmental workflow. Performs other duties as described under Supervisor any industry Master Title..",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Engineer I,Other Engineering,"Municipal Government of Santa Barbara, Pangasinan",2021-05-29,Ilocos Region,Not Specified,"23,447",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 2, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Municipal Engineering Office/LGU Sta. Barbara Plantilla Item No. : VII-08 Salary/Job/Pay Grade : 12 Monthly Salary : Php 23,447.00 QUALIFICATIONS: Eligibility : R.A 1080 Education : Bachelor of Science in Engineering Training : 4 hours of relevant training Work Experience : 1 year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 2, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: DIOSDADO M. GARCIA OIC-HRMO Maningding, Sta. Barbara, Pangasinan [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","23,447","23,447",Not Specified,Not Specified,Engineering
Joblum,ENGINEERING ASSISTANT,Other Engineering,"Municipal Government of Medina, Misamis Oriental",2021-05-29,Northern Mindanao,Not Specified,"13,129",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 07, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : MUN. ENGINEERING OFFICE Plantilla Item No. : 12-B Salary/Job/Pay Grade : 8 Monthly Salary : Php 13,129.00 QUALIFICATION Eligibility : Career Service (sub-professional) First level Eligibility Education : Completion of two years in college Training : 4 hours of relevant training. Work Experience : 1 year relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 07, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: OLIVIA A. SIAO, LPT, MSSW HRMO II/MPO-Designate LGU-Medina, Misamis Oriental [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","13,129","13,129",Not Specified,Not Specified,Engineering
Joblum,Implementation Manager (Telecom),Other Engineering,ManpowerGroup Philippines,2021-05-29,National Capital Reg,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Engineering (Computer/Telecommunication) or equivalent. At least 5 year(s) of working experience as Implementation Manager on Telecom Projects Network rollout project experience Hands-on knowledge on troubleshooting Familiar with Acceptance Process Has managed/ handled at least 5 -Teams Knows how to do RCA – Root Cause Analysis Keen to details specially on Quality",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,AGRICULTURAL TECHNOLOGIST,Other Engineering,"Municipal Government of Medina, Misamis Oriental",2021-05-29,Northern Mindanao,Not Specified,"15,548",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 07, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : MUN. AGRICULTURE'S OFFICE Plantilla Item No. : 10 Salary/Job/Pay Grade : 7-C Monthly Salary : Php 15,548.00 QUALIFICATION Eligibility : Relevant RA 1080 Education : Bachelor's degree in Agriculture or other allied courses such as Agricultural Rngineering, Fisheries Technology, and Veterinary Medicine. Training : None Required Work Experience : None Required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 07, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: OLIVIA A. SIAO, LPT, MSSW HRMO II/MPO-Designate LGU-Medina, Misamis Oriental [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","15,548","15,548",Not Specified,Not Specified,Engineering
Joblum,O & M FIELD SERVICE TECHNICIAN,Other Engineering,Prime Manpower (A ManpowerGroup Affiliate),2021-05-29,Davao,Full Time,"20,000-32,000",Not Specified / In Description,Not Specified / In Description,"O & M FIELD SERVICE TECHNICIAN ( Davao based ) Two open positions for a Spanish multinational company in the renewable enery sector. Responsibilities: • Start-up and commissioning of our solar inverters in customer´s Photovoltaic Solar plant. • Diagnose and repair of faulted inverters on field. • Complete and turn in field reports that capture all time and work completed on site. • Identify potential problems and suggest changes or corrective actions. • Provide diagnostic analysis, repair, or preventative maintenance to customers. • Physical installation such as connections , wiring, etc. • Complete on-site system audits and evaluations. • Create reports • Fulfill internal and external documentation. • Practice and adhere to all safety and training. • Will work from Remote Home office and travel to solar plants when required (80% of time) Requirements: • Degree in Electrical Engineering/ Technical or Vocational Studies ( electricity) • We need to consider that it is an on field position. (hands – on position) • They need to have a car license and availability to travel to solar farm based in Davao. • Fluent in English and Filipino language. • Minimum 2 year experience working on field.","20,000","32,000",Not Specified,Not Specified,Engineering
