Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Safety Officer (Iloilo City),Environmental,La Filipina Uy Gongco Group of Companies,2021-05-29,Iloilo (Iloilo City),Contract,,Not Specified / In Description,Not Specified / In Description,"QUALIFICATIONS Graduate of BS in Civil, Mechanical, or Electrical Engineering; Preferably a licensed Engineer. With at least 2 year of work experience gained in the same capacity as Safety Officer. At least one (2) year experience as Safety and Admin Engineer. Skills/Certifications Required: Basic Occupational Safety and Health Willing to be assigned in Iloilo City. DUTIES & RESPONSIBILITIES Ensures compliance to Safety Standards by coordinating with public and private agencies. Develops and implements safety programs Facilitates sessions and talks which aims to improve employees’ safety awareness. Ensures safety compliance of Company's Administrative Facilities. Assists in ensuring implementation of the Department’s operations.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,SAFETY OFFICER,Environmental,Systech Lighting & Controls Inc.,2021-05-29,National Capital Reg,Full Time,"15,000-16,000",Not Specified / In Description,Not Specified / In Description,"JOB DESCRIPTION Ø Graduate of any Four (4) years course Ø With certificates of BOSH, COSH, LCM, First Aid, Scaffold and Gondola Ø With at least 1-2 years’ experience as a Safety Officer Ø Willing to work during Sundays, Holidays and extend working hours Ø With good communication and interpersonal skills Ø Willing to assign in different locations/Area RESPONSIBILITIES Ø Observed and complies with existing company codes, policies, agreements and rules and regulation Ø Supervises the regular inspection of building, facilities, work areas, tools and equipment in the project site including observance of work procedures and methods of employees to determine unsafe working conditions and practices Ø Initiates investigation and/or analysis of circumstances behind any accident resulting to damage or injury to company property or person through spot and interrogation of parties and/or witness involved in determining cause and recurrence of same Ø Supervise proper housekeeping and cleaning of the work area including tools and equipment, materials, etc. Ø Observe and enforces safety rules and regulation in the work area Ø Secure working permit prior to start the work activities Ø Conducts daily Toolbox Meeting Ø Carry out pre-inspection of equipment’s and complete daily checklist prior to start the work Ø Conduct Incident/Accident investigations, analyze and formulate recommendations for corrective and preventive actions Ø Conduct safety surveillance of ongoing work activities and immediate action shall be carried out to safety non-conformance Ø Perform other tasks that may be assigned from time to time","15,000","16,000",Not Specified,Not Specified,Science
Joblum,Safety Officer,Environmental,Zeller Plastik Phils. Inc.,2021-05-29,Muntinlupa City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least Bachelor's/College Degree, preferably in Engineering. Preferably Supervisor/5 Yrs & Up Experienced Employee specialized in Engineering - Environmental/Health/Safety or equivalent. At least 3 Year(s) of working experience in the related field is required for this position. Experience in a manufacturing setup is an advantage Required Skill(s): occupational safety, risk assessment, hazard analysis, project management, computer literate Can communicate well both oral and written Has good interpersonal skills and leadership skills Keen on details",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,SAFETY OFFICER,Environmental,PHILKO UBINS LTD. CORP.,2021-05-29,Pasig City,Full Time,,Not Specified / In Description,Not Specified / In Description,"JOB REQUIREMENTS: College Degree holder in any 4 yrs course Post Graduate studies in Safety is an advantage Must be atleast 2 years direct experience in safety management Preferably a DOLE accredited OSH Practitioner Proficient in MS Office Application JOB DESCRIPTION: Implement OSH defined plans, programs & inititatives Comply with all applicable legal and other requirements in Safety & Security Defines and implement appropriateds objectives and programs to address Ensures that the organization is prepared for and can appropriately respond to any eventualities that will create business continuity e.g. fire, earthquake, sabotage Conduct training and orientation (safety) to all personnel of the company prior to the deployment as well as regular refresher sessions for continued education Conduct regular (weekly/monthly) walkthrough audits and inspecition to detect hazard and risk and address them appropriately Develop strong partnership with the govenment agencies, professional, groups/associations, experts and consultants",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Environment Health and Safety Supervisor,Environmental,Flash Express,2021-05-29,Taguig City,Contract,"30,000-42,000",Not Specified / In Description,Not Specified / In Description,"Establish and plan a training course in accordance with the law or a curriculum for the development of occupational safety. Manage, control and plan the preparation of work safety manual and emergency plan manual. And continue to update the manual every year Or when there are changes according to the law Take care of the preparation of the procedures. Regulations Safety in the workplace, such as office work and general work. Driving or controlling forklifts (Forklift), operations on machinery, driving vehicles in receiving - delivery Lifting and moving packages with manual or labor-saving equipment Supervising safety in the work of contractors What to do when an occupational accident occurs And others according to business needs Manage and co-produce teaching materials for use in training in all courses as required by law, allowing organizations to be able to train themselves, such as safety at work for employees according to Section 16 and others, and make improvements when there are changes according to the law. Establish a training plan and contact with external training agencies for all courses as required by law, such as the course of the Chor. Supervise and plan for the preparation of a project requesting for a course approval. Documents for quotation and training Order documents for external training agencies in all courses as required by law, such as the course of the Chor. Any Supervise and plan, prepare a manual and set the procedure for the investigation. How to take action when there is an accident at work Incident classification in the investigation Notification of prosecution and legal proceedings procedure Methods for investigating when there is a suspicion or founding of fraud Checks to prevent occupational fraud Drug testing for employees within the organization Damage tracking through insurance and legal processes Plan schedule And allocate troops to investigate areas on various issues Without affecting the work Define and follow up the implementation of the Company's legal training master plan throughout the year. Qualification Education: Bachelor's Degree In the field of occupational health and safety (Occupational and Safety) or safety engineering (Safety Engineering) from institutions at the Department of Labor Protection and Welfare. The Ministry of Labor has certified or has good knowledge and understanding of the law. Have at least 5 years of training or teaching experience in a relevant job. Have at least some experience in investigations and legal proceedings. Knowledge of the standard of performance of the safety officer at the professional level according to the law. Have knowledge of occupational health safety laws And working environment And other safety laws","30,000","42,000",Not Specified,Not Specified,Science
Joblum,ESH Manager (MCRPS01),Environmental,Not Specified,2021-05-29,Central Luzon,Contract,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree, any field. Candidates holding a BS Civil Engineering degree has an advantage Candidate must be an OSH Certified Safety Practitioner At least 10 year(s) of working experience in the related field is required for this position. With prior work experience being assigned in a railway construction project Preferably Assistant Manager / Managers specializing in Engineering - Environmental/Health/Safety or equivalent. Can join ASAP",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,SAFETY OFFICER,Environmental,Megaworld Corporation,2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Professional License (Passed Board/Bar/Professional License Exam), Engineering (Civil), Engineering (Electrical/Electronic), Engineering (Industrial), Engineering (Mechanical), Engineering (Environmental/Health/Safety) or equivalent. At least 2 year(s) of working experience in the related field is required for this position. Preferably 1-4 Yrs Experienced Employees specializing in Engineering - Environmental/Health/Safety or equivalent. Willing to be assigned on site. Full-Time position(s) available.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,HEALTH AND SAFETY OFFICER,Environmental,Antz Insurance Agency and Services Inc,2021-05-29,Quezon City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Job Description Responsible for planning, implementing, and overseeing the company's employee safety at work and ensures that the company is in compliance and adheres to Occupational Health and Safety (OHS) guidelines. RESPONSIBILITIES: Plan and implement OHS policies and programs. Facilitates compliance with Occupational Health and Safety (OHS) guidelines. Ensures a safe working environment to prevent any injuries and accidents Assist government inspectors in the conduct of safety and health inspection at any time whenever work is being performed or during the conduct of an accident investigation by providing necessary information and OSH reports as required by the OSH standards Coordinates with Company Nurse and monitors the health checklist forms daily and ensures compliance with COVID-19 safety protocols Prepares and submits reportorial to DOLE and other related government agency Carrying out risk assessments and considering how risks could be reduced Leads in-house training with employees on health and safety issues and risks Keeps records of inspections findings and producing reports that suggest improvements; incidents and accidents and produce statistics for HR Head Acts as a chairman of the safety and safety committee QUALIFICATIONS: Candidate must possess at least a Bachelor's/College Degree in Engineering or Medical courses or any equivalent. Completed the 40-hour Basic Occupational Safety and Health Training Course Completed the additional 48 hours of advanced/ specialized OSH training course Preferably Safety Officer 3 practitioner With at least 3 years safety practitioner experience in Knowledgeable in writing reports and policies related to health, environmental and safety concerns and issues Proficient in MS Office; working knowledge of safety management information systems is a plus Outstanding organizational skills Diligent with great attention to details",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,LDRRM ASSISTANT,Environmental,"Municipal Government of Medina, Misamis Oriental",2021-05-29,Northern Mindanao,Not Specified,"13,129",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 07, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : MAYOR'S OFFICE Plantilla Item No. : 1-T Salary/Job/Pay Grade : 8 Monthly Salary : Php 13,129.00 QUALIFICATION Eligibility : Career Service (sub-professional) First level Eligibility Education : Completion of two years in college Training : 4 hours of relevant training. Work Experience : 1 year of relevant experience on DRRM Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 07, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the last rating period (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: OLIVIA A. SIAO, LPT, MSSW HRMO II/MPO-Designate LGU-Medina, Misamis Oriental [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","13,129","13,129",Not Specified,Not Specified,Science
Joblum,Environment Health and safety Management,Environmental,Flash Express,2021-05-29,Taguig City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"-Follow up to solve the problem of accidents from the work of all related departments. To have action in a timely manner -Collect statistical data of occupational accidents. Analyze the cause Provide advice on how to fix and prevent accident recurrence. As well as reporting information to various agencies -Conduct and follow up fire drills of all departments in the organization to be carried out as planned. Including data records and making reports of fire drills. -Conduct and monitor work environment inspections such as light, sound, heat, according to the nature of work in each area. Including recording data and making reports of the work environment inspection. -Conduct and monitor maintenance and initial audits for work environment measurement tools. Calibration of instruments for measuring the working environment To provide organizations with tools that are legally licensed. -Prepare registration and appointment reports. To inform the registration name and legal report Including following up on the submission of reports to government agencies from the EHS Operations team -Implement and monitor supervision And statistical data recording When receiving reports of illegal supplies -Operate and monitor the standards of occupational safety equipment and fire protection equipment for various departments in the organization to meet the established standards. Qualification Education: Bachelor's degree in Occupational Health and Safety (Occupational and Safety), Safety Engineering Professional Experience: -At least 2 years of experience in a related field -At least experience in security, investigation, and legal proceedings. -Knowledge of the standard of performance of the safety officer at the professional level according to the law. -There is a document certifying the initial fire training from the government training agency. -Legal knowledge such as illegal items Items prohibited in unauthorized transportation. Others: -Able to drive a car and have a driving license -Able to travel to work outside the office or other provinces according to the assigned job",Not Specified,Not Specified,Not Specified,Not Specified,Science
