Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Hydrogeologist,Geology/Geophysics,PrimeWater Infrastructure Corp.,2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Professional License (Passed Board/Bar/Professional License Exam), Geology/Geophysics or equivalent. Applicant must have basic knowledge in Hydrogeology. Applicant must be able to visualize and interpret geological and/or environmental information about ground water conditions. Applicant must be able to effectively communicate verbally, technically and in wiritten form. Applicant must be able to learn new applications and methods in hydrogeology. Knowledge in ARCGIS and mapping software is an advantage. Applicants must be willing to work in Brgy. Ususan, Taguig City. 2 Full-Time position(s) available. Job Description Conduct hydrogeological surveys and feasibility studies. Perform groundwater assessment using specialized instrumentation and equipment;maintain and regularly inspect and calibrate all equipments. Analyze samples; prepare qualitative and quantitative reports based on analysis results. Assess issues with groundwater and provide recommendations. Performed data analysis of soil and groundwater conditions for reports and models. Acquire efficient computer skills to utilize databases and maintain organized data management.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Senior Geologist,Geology/Geophysics,Mines and Geosciences Bureau Region IV-A Calabarzon - Government,2021-05-28,Calabarzon & Mimaropa,Not Specified,"43,681",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 3, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Mines and Geosciences Bureau Region IV CALABARZON Plantilla Item No. : MGBB-SRGEO-11-1998 Salary/Job/Pay Grade : 18 Monthly Salary : Php 43,681.00 QUALIFICATION Eligibility : RA 1080 Education : Bachelor of Science in Geology or Bachelor of Science/Arts major in Geology Training : Eight (8) hours of Relevant Training Work Experience : Two (2) years of Relevant Experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 3, 2021 . Documents: 1. Performance rating in the last rating period (if applicable); 2. Photocopy of certificate of eligibility/rating/license; 3. Photocopy of Transcript of Records and Diploma; 4. Application Letter (specifying the position title and item number applied for); 5. Copies of Certificates of Training program completed; and 6. Certificates of Employment from all previous employers/Certified copy of Service Record. QUALIFIED APPLICANTS are advised to hand in through courier their application to: MINES AND GEOSCIENCES BUREAU JOEL C. ANYAYAHAN Chief, Administrative Section APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","43,681","43,681",Not Specified,Not Specified,Science
Joblum,QC/Chemical Engineering/Geochemist (Back Office),Geology/Geophysics,SGS,2021-05-25,Muntinlupa City,OJT,,Not Specified / In Description,Not Specified / In Description,"Data Analyst, Geochemistry PRIMARY RESPONSIBILITIES As a member of the team in our Global Business Solutions (GBS) center, this position is responsible for validation and approval of data generated from the laboratory production according to the requirements of the technical aspects of the current Quality Management System. Once the data have been finalized and approved, the Data Analyst is responsible for generating the certificates of analysis and releasing results to the clients. The Data Analyst also provides specialized technical input during pre, in-process and post stages of production where necessary and participates in the investigation for any quality non-conformances. REPORTING TO: Operational direct reporting to Affiliate Manager or Supervisor; administrative accountability to GBS Supervisor. SPECIFIC RESPONSIBILITIES • Performs final Quality Control validation as stated on QP21 on all laboratory results by comparing results to standards and often to different laboratory schemes, initiates correction action if results are outside tolerance.• Initiates recheck requests as needed.• Identify “Over Range” as per instruction and initiate additional assay.• Prepares certificates of analysis and releases results to external and internal clients.• Assists Department Supervisor and QA/QC Supervisor to investigate and resolve any quality non-conformances.• Assists in setting up Proficiency tests, follows up on progresses and performs QC validation on results.• Ensures all requested analysis are completed by referring to sample submission forms.• Maintains QC control charts on selected laboratory schemes. • Monitors results and provides feedback to Area Supervisors.• Provides technical input to all departments as needed.• Keeps up to date on all certified reference materials being used throughout the lab.• Participates in internal audits and Quality action investigation as needed.• Maintains a clean working environment.• Follows all company health, safety and environmental policies. PROFILE• A minimum of a BSc degree (or equivalent) is required.• 3 years previous experience in laboratory and /or mineral operation is preferred.• Previous experience with ISO/IEC 17025 requirements is preferred.• Previous experience in a Quality Control related role is preferred.REQUIRED SKILLSSpecific technical skills:• Strong practical knowledge in geochemical analysis and statistical analysis is required.• Good communication skill for all upward and horizontal directions.• Full professional proficiency in English.• Ability to follow instructions.• Ability to manage several projects within widely diverse areas of expertise whilst providing technical support for completing projects as needed.• Must be able to read, understand and follow work instructions in a safe, accurate and timely manner.• Ability to compose clear and concise technical reports.• Candidates must be proficient in using various type of computer software (Word, Excel, etc.).• Proven ability to manage and coordinate multiple projects in a fast-paced, highly professional environment.• Demonstrates excellent verbal and written communication skills including grammar and composition.• Ability to work well with others & independently.• Proven time management skills and a strong attention to detail.• Works well under pressure.• Ensures full compliance with the company’s Quality Management, Health & Safety, Code of Integrity, and Professional Conduct policies.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,LAND ACQUISITION OFFICER,Geology/Geophysics,"Sagittarius Mines, Inc.",2021-05-23,South Cotabato (Others),Contract,,Not Specified / In Description,Not Specified / In Description,"This is a 1-year project employment based in Tampakan. The role is responsible for the conduct of land ownership validation of all covered areas to secure access for the mine facilities of the Tampakan Copper-Gold Project. Specific Personal Accountabilities: Sustainable Development Practices – Ensure effective use of the Project's safety and environmental-friendly standards and systems within own area of responsibility to positively contribute on nurturing the organization’s sustainable development culture and compliance to ISO 140001. Land Acquisition and Management – Responsible in validating the land parcels within the Phase 1 coverage. Cost Management and Accountability – Ensure prudent and judicious use of the company’s resources without compromising the delivery of quality products and output in the most effective and efficient way. Compliance – Ensure that land acquisitions within the ancestral domain is in accordance with in the FPIC rules and guidelines specifically the Memorandum of Agreement with the indigenous people (IPs). Internal Legal Support – Provide internal legal support services based on the mandate of Legal and Compliance Department. Key requirements: Bachelor’s Degree in Geodetic Engineering, preferrably with valid license Minimum of two (2 years) experience in topographic survey executing parcellary, isolation and relocation surveys. Experience working with ICCs/IPs especially the Blaan Tribe and able to walk for long hours in rugged terrain. Must possess good presentation skills, cross-cultural resourcefulness and sensitivity, political savvy and result driven work fervour. Proficient in MS Office applications",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,Junior GIS Specialist,Geology/Geophysics,Solar Philippines,2021-05-23,Makati City,OJT,,Not Specified / In Description,Not Specified / In Description,"Qualifications: Excellent communication skills Basic skills in AutoCAD, GIS, GE, MS Powerpoint, Excel Trustworthy in handling confidential information Dependable in delivering assigned tasks Willing to relocate and do fieldwork Key Duties and Responsibilities: Generate General Map and the likes on assigned area tags. Generate Right of Way Maps Generate Base Maps Complete tasks in a timely manner with satisfactory results. Maintain running database for overall Landbank Maintain data repository for overall Landbank",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,GIS Database Administrator (Asset Info Systems Management),Geology/Geophysics,"Manila Water Company, Inc.",2021-05-19,Quezon City,Full Time,,Not Specified / In Description,Not Specified / In Description,"Job Responsibilities Regulatory compliance • Prepare reports as required and recognize anomalies in reported data • Conducts data analysis and preparation of documents, data reports, and maps in compliance to the service improvement reporting guidelines of Schedule 6 of Concession Agreement and Asset Condition Reporting Guidelines • Provides KPI report to MWSS RO, Manila Bay Corporate Office as part of Supreme Court Mandamus Database management • Creation of spatially enabled database models for enterprise asset information management systems • Set-up, maintenance and running of RDBMS and spatial data as well as development of enterprise GIS for asset information management. • Administration of GIS database and integrated environments within the asset information system • License management for GIS server and all GIS users within the enterprise • Ensures that accurate and complete metadata are developed for all datasets created by GIS staff and that metadata is distributed with data when requested by outside agencies. Service delivery • Manages the overall mapping services requirement for Manila Water • Ensures delivered mapping product is in adherence to quality management systems, data privacy and information technology governance policies. • Make appropriate asset management data available for decision making Job Requirements With at least a bachelor’s degree in Computer Science or Engineering, GeoScience With at least 3-year work experience in relevant industry At least 5 year(s) of working experience in the related field is required for this position. Applicants must be willing to work in MWSS Admin Bldg.,489 Katipunan Road,Balara. Preferably Supervisor / 5 Yrs & Up Experienced Employees specializing in Geology/Geophysics or equivalent. Full-Time position(s) available.",Not Specified,Not Specified,Not Specified,Not Specified,Science
Joblum,History Researcher I,Geology/Geophysics,Philippine Veterans Affairs Office - Government,2021-05-14,National Capital Reg,Not Specified,"21,205",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 20, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Veterans Memorial and Historical Division Plantilla Item No. : AFP-PVAOC-HTRYR1-19-2021 Salary/Job/Pay Grade : 10 Monthly Salary : Php 21,205.00 QUALIFICATION Eligibility : Career Service (Professional)/ Second Level Eligibility Education : Bachelor's degree Training : None required Work Experience : None required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 20, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: Mariciel E. Estacio, MNSA Chief, Human Resource Development Division PHILIPPINE VETERANS AFFAIRS OFFICE Camp General Emilio Aguinaldo, Quezon City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","21,205","21,205",Not Specified,Not Specified,Science
Joblum,GIS Data Analyst,Geology/Geophysics,ShareSource Australia,2021-05-14,Makati City,Not Specified,"18,000-25,000",Not Specified / In Description,Not Specified / In Description,"OUR CLIENT: Our client is a fast-growing B2B SaaS business, providing work management software for Telco, network engineering and construction organisations. With hundreds of billions of dollars being spent on network infrastructure projects around the world, finding new ways to maximize productivity and minimize risk has never been more critical. They improve controls of a network rollout and reduces the cost and time to deploy across the project lifecycle - with no clear competitor in the market. THE ROLE: Our client is currently seeking a recent graduate who is passionate about data management to help us in the processing of customer data from numerous sources (GIS data files, AutoCAD, PDF designs, spreadsheets) into a form usable by our applications, along with reporting activities. This role can be expanded into areas of scripting/programming and data science dependent on the aptitude and abilities of the candidate as we grow the team. Primary Responsibilities: ● Prepare input data from such sources as Geospatial data sets (e.g. ESRI Shapefiles), AutoCAD files, PDF and spreadsheets into a prescribed form manually using GIS tools (e.g. QGIS) and using in-house scripts/programs. ● Extract output data from our systems in preparation for delivery to the customer, including running preparation scripts for photos and Geospatial data sets and organising them on shared file stores. ● Perform Quality Assurance on data, preparing reports as directed. Skills and Experience: ● Bachelor level qualification in STEM ● A “can do” attitude. ● Experienced in data processing, with strong spreadsheet software skills and with database querying experience (SQL). ● Experienced to some level in GIS and CAD systems. ● Some experience in scripting/programming (e.g. using Python or R). ● Strong problem solving skills. You are a great fit for our Company Culture if you are: A driver of his/her own education, into self-improvement - reads books, listens to podcasts, subscribes to articles, with a goal in mind to create value for oneself and for others, asks for feedback from his/her head for improvement points With a curious mind Has the ability to identify problems, come up with options, and recommend the way forward Into process improvements - thinks of making processes more effective, streamlines processes, into working smarter With an Attitude of Gratitude Self-leader, a fire starter Technical requirements that will drive this role to a success: Excellent communication skills - verbal, written, and listening WFH set-up ready. Recruitment Journey: The whole process takes about 4 weeks. There will be 4 interviews and a possible technical test from our client. You will undergo an initial interview, interview with our lovely client/s, culture fit interview, and final interview. This will run for about 1 week but we will let you know if we need to ramp it up. Be yourself and have fun. We will constantly communicate with you as to the development of your application. You can also directly communicate with us to ask us about the status of your application. If all is well, we will offer you the job and require you to get the pre-hiring requirements within 5 days at the most. So preparedness is the key! Pre-hiring requirements: We would be grateful if you have these already! Fit to Work/Health Card NBI Clearance Social IDs - PHIC, SSS, HDMF, TIN ","18,000","25,000",Not Specified,Not Specified,Science
Joblum,History Researcher I,Geology/Geophysics,Philippine Veterans Affairs Office - Government,2021-05-12,National Capital Reg,Not Specified,"21,205",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 20, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Veterans Memorial and Historical Division Plantilla Item No. : AFP-PVAOC-HTRYR1-19-2021 Salary/Job/Pay Grade : 10 Monthly Salary : Php 21,205.00 QUALIFICATION Eligibility : Career Service (Professional)/ Second Level Eligibility Education : Bachelor's degree Training : None required Work Experience : None required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 20, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: Mariciel E. Estacio, MNSA Chief, Human Resource Development Division PHILIPPINE VETERANS AFFAIRS OFFICE Camp General Emilio Aguinaldo, Quezon City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","21,205","21,205",Not Specified,Not Specified,Science
Joblum,Engineer II (132-2014),Geology/Geophysics,Department of Agrarian Reform Region II,2021-05-08,Cagayan Valley,Not Specified,"36,628",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 12, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : DARPO Isabela Plantilla Item No. : ENG2-132-2014 Salary/Job/Pay Grade : 16 Monthly Salary : Php 36,628.00 QUALIFICATION Eligibility : RA 1080(GEODETIC) Education : Bachelor's degree in Engineering relevant to the job Training : Four (4) hours of relevant training Work Experience : One (1) year of relevant experience Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 12, 2021 . Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in through courier their application to: SAMUEL S. SOLOMERO Regional Director DAR Regional Office No. 02 Carig Sur, Tuguegarao City, Cagayan APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","36,628","36,628",Not Specified,Not Specified,Science
