Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Industrial Engineer,Industrial Engineering,Amkor Technology Phils. Inc.,2021-05-30,National Capital Reg,Full Time,"21,000-30,000",Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , Engineering (Industrial) or equivalent. At least 1 year(s) of working experience in the related field is required for this position. Industrial Engineering Graduate Knowledgeable in employing I.E. tools & techniques. Knowledge of assembly operations, flow, equipment & materials, UPH/Productivity Time and Motion Activities Computer-literate, communication skills, with knowledge in assembly operations,excellent coordinating and problem solving skills, excellent interfacing with customer. Applicants must be willing to work in Muntinlupa,Laguna. Preferably 1-4 Yrs Experienced Employees specializing in Engineering - Industrial or equivalent. 6 Full-Time position(s) available.","21,000","30,000",Not Specified,Not Specified,Engineering
Joblum,Logistics Business Planning  and Control Jr. Engineer,Industrial Engineering,"Honda Philippines, Inc.",2021-05-29,Batangas,Full Time,,Not Specified / In Description,Not Specified / In Description,"JOB SUMMARY: Successful candidates will focus on activities related to stock control and warehouse management, including process improvements that may add value to the accuracy of inventory. He/ She will also be responsible for receiving in warehouse until issuance to forwarder. JOB QUALIFICATIONS: Candidate must possess at least a Bachelor's/College Degree, Engineering (Industrial),Engineering (Others) or equivalent. At least 1 year(s) of working experience in the related field is required for this position. Applicants must be willing to work in FPIP, Sto. Tomas, Batangas Preferably 1-4 Yrs Experienced Employees specializing in Engineering - Mechanical/Automotive or equivalent. Hardworking and self-reliant Fresh graduates are encouraged to apply 1 Full-time positions available",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Manufactuirng and Process Engineer,Industrial Engineering,SPT (PHIL.) CLARK CORPORATION,2021-05-29,Pampanga (Angeles City),OJT,"18,000-23,400",Not Specified / In Description,Not Specified / In Description,"JOB DUTIES AND RESPONSIBILITIES 1. Conceptualizes and executes projects to improve production processes, methods, equipment performance and to study new production supplies. 2. Liaise with suppliers on manufacturing process 3. Studies processes for the operators to be more productive and in case of quality issues. 4. Conducts time and motion studies of production process. 5. Organize, implement and maintain production process flow. 6. Develops working instructions, workmanship standards and process documents, and ensure the Production Operator is following these. 7. Conducts machine/equipment qualification/disqualification of existing equipment in coordination with maintenance. 8. Involved in all process engineering tasks including contact with other engineering and production sites in all questions related to production processes. 9. Can operate production machines and can perform simple machine troubleshooting in coordination with maintenance in solving work problems. 10. Investigate operational problems affecting production and reporting and recommending solutions. 11. Improves continually on existing operation, for increased in productivity, efficiency, quality and cost savings. 12. Organize meetings with team members to facilitate growth on the assigned work area. 13. Trains and supervises staff on new development processes and technology 14. Complies with company policies and regulations. 15. Perform other duties that maybe assigned from time to time. Job Qualification: - Graduate of BS Engineering course preferably BSECE, BSEE and BSME - Knowledgeable in FMEA - With experience in wire bonding capillaries - At least 2 years experience in Manufactuirng and Process Engineer","18,000","23,400",Not Specified,Not Specified,Engineering
Joblum,Restaurant Systems Officer (Products and Processes),Industrial Engineering,JFC Affiliates and Subsidiaries,2021-05-29,Pasig City,OJT,,Not Specified / In Description,Not Specified / In Description,"This Restaurant Systems Officer is responsible for the integration and formulation of processes that will deliver effective systems in restaurant operations management. He/she provides innovative solutions by adapting technology to achieve higher level of systems excellence and store efficiency. The position requires strong partnership with cross-functional work groups and strong communication and influencing skills in order to achieve its targeted business objectives. Handles the development and improvement of materials, systems, standards and procedures in the following areas: Kitchen Systems, Product Systems, Restaurant Supplies, Equipment Operating procedures Writes, creates and revises all manuals and guides for new/revised kitchen systems and processes. Ensures that all manuals and guides provide complete, accurate and concise guidelines before cascading to stores. Goes to stores to monitor and track implementation of new/revised kitchen systems and validates impact on different aspects of the business. Performs assigned RS activities needed in the development of new products/improvement of existing products. Goes to stores to conduct research on current workstation matrices and store production layout (workflow). Provides initial workstation matrices and efficient store production layout (workflow) for approval/revision by his/her manager. Conducts research and development on food and equipment technology/science to ensure consistent gold and hot product delivery; supplier management, life cycle program, cost-effective processes and systems design integration. Fresh and Famous, the hiring entity, is a wholly-owned subsidiary of Jollibee Foods Corporation. JOB QUALIFICATIONS Candidate must have a Bachelor's Degree in Industrial Engineering or any derivative course. At least three years experience in a similar or related field/function, preferably also from the food industry Preferably Licensed Industrial Engineer. Must be willing to conduct fieldwork.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Planner,Industrial Engineering,Amkor Technology Phils. Inc.,2021-05-29,National Capital Reg,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Graduate of Industrial Engineering or any equivalent course Backed with more than 1 year of related experience in planning Strong leadership potential and communication skills Computer literate Flexible, willing to work on extended hours and render overtime if necessary Goal driven Good communication and interpersonal skills",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Transformation Manager (Operations),Industrial Engineering,"EJ Hall Consultants, Inc.",2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least a Bachelor's/College Degree , any field. At least 5 years related working experience preferably in a Business Process environment Project management skills Strong communication skills both verbally and in writing Ability to work under pressure, and to tight deadlines Flexible and able to adapt quickly to change Experience of process mapping and improvement and setting performance measures Candidates must be willing to work in Makati Full-Time position(s) available.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Internal Auditor - Industrial Engineer and System Analyst,Industrial Engineering,Dizon Farms Produce Inc.,2021-05-29,Taguig City,OJT,,Not Specified / In Description,Not Specified / In Description,"The position of Internal Auditor- Industrial Engineer consists of managing the process improvement of all departmental procedures. It also encompasses the internal auditing of system related functions that would benefit the overall goals of the company. Responsibilities * Build process improvement protocols to enhance manpower management and audit systems implementation. *Formulate and conduct process improvement protocols in data handling and data visualization *Create monthly Reports on progress of Department to Executive Management. *Manage multiple projects as required by management for the enhancement of business process. *Maintain the existing quality systems and improve and monitor daily QA Audit on all DCFI Items. Qualifications: * Graduate of BS Industrial Engineering *Skills in MS Excel Spreadsheet for Data Compilation and Data Management *Skills in MS Excel Basic Pivot tables for Data visualization and Analytics *Basic Knowledge in Time and Motion Study for process mapping. *Basic Knowledge in Statistics and Probabilities For Internal Auditor - System Analyst Qualifications * Must be a graduate of BS in Computer Science/Information Technology * Has strong critical thinking and analysis skills * Able to communicate well in writing and orally Duties and Responsibilities *Daily Monitoring and inspection of fleet status through the GPS Vehicle Tracking and Fleet Management Application. *Checking of GPS billing (monthly) *Monitoring of fleet status * Auditing Logistics DTR (every cut-off) * Generating and analyzing reports on harsh driving, idling/unproductive hours, average stay per destination, random trip verification thru GPS platform * Segregating outbound fleet per municipality and submitting reports such as fleet utilization performance; fleet requirements based on demand per municipality; report to eliminate incidence of Over OT and idle time",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Divisions Manager,Industrial Engineering,ADSIA LOGISTICS INC.,2021-05-29,Cebu (Cebu City),OJT,,Not Specified / In Description,Not Specified / In Description,"Job Qualifications: Candidate must possess at least Bachelor's/College Degree in Engineering (Industrial), Business Studies/Administration/Management or equivalent. At least 5 years of working experiences in supply chain management and/or an FMCG Industry Masters Degree is preferred Required Skill(s): Warehouse Management, Inventory Planning, Vendor Management, Process Improvement, Strategic Planning, Data Analytics, People Development With good leadership and communication skills Proficient in computer application such as Ms Word and Ms Excel With SAP/WMS background is an advantage Willing to be based in Sudlon, Cebu Responsibilities: Implement the right processes and practices across the organization. Formulating strategy, improving performance, procuring material and resources Securing company-wide process compliance.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Operations Senior Supervisor,Industrial Engineering,ADSIA LOGISTICS INC.,2021-05-29,Cebu (Cebu City),Not Specified,,Not Specified / In Description,Not Specified / In Description,"Job Qualifications: Candidate must possess at least Bachelor's/College Degree in Engineering (Industrial), Business Studies/Administration/Management or equivalent. At least 5 years of working experiences in supply chain management and/or an FMCG Industry Masters Degree is preferred Required Skill(s): Warehouse Management, Inventory Planning, Vendor Management, Process Improvement, Strategic Planning, Data Analytics, People Development With good leadership and communication skills Proficient in computer application such as Ms Word and Ms Excel With SAP/WMS background is an advantage Willing to be based in Sudlon, Cebu Responsibilities: Implement the right processes and practices across the organization. Formulating strategy, improving performance, procuring material and resources Securing company-wide process compliance.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Vessel Planning Officer,Industrial Engineering,"International Container Terminal Services, Inc. (ICTSI)",2021-05-28,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"JOB OVERVIEW: Create, maintain, review, optimize and administer vessel plans, yard allocations and vessel plan with existing terminal resources. ﻿Manage OP documents on duty to perform back end duties for the processing of pre arrival information and requirements Liaise with terminal and ship managers to discuss any issues that arise. This includes but is not limited to OOG, DG, special restrictions, berth plans and other any other issues affecting terminal efficiencies. Process discharge plan after Electronic Data Interchange (EDI) Process pre-load plan. This is includes but is not limited to computing for crane splitting, crane density, total working hours and port stay. Perform projection, pre plan and stow. Disseminate the pre-plan, moves (discharge/loading) and all other vessel parameters to Berth planners and to Terminal partner. Keep the shared services team up to date on project progress and service level agreement issues to present to the client Produce and present information for internal meetings Discuss and present solutions to recurring and or identified problems. QUALIFICATIONS: Bachelor's degree/College Graduate. Relevant work experience and knowledge in port operations is an advantage.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
