Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,MOTORPOOL HEAD (LAGUNA),Mechanical,Livan Trade Corporation,2021-05-29,Laguna (Others),Contract,"25,000-29,000",Not Specified / In Description,Not Specified / In Description,"LIVAN TRADE CORPORATION - a Utility Construction Industry Pioneering Firm in TELECOM, WATER & EQUIPMENT Installation with Various Projects in Line with Open Trench, Drilling, Fiber Optic Installation, Underground Facilities and Utility Project - is in Need of : MOTORPOOL HEAD (LAGUNA) Experience in Supervising Motor Pool Equipment, Heavy Truck Loading, Including Equipment Maintenance and Trucking Service, Heavy Equipment Utilization, Cost & Maintenance, Gained From Utility Works & Construction - an Advantage. Qualifications : With Background in Preventive & Corrective Maintenance of Heavy Equipment & Construction Operations. FOR STA. CRUZ LAGUNA PROJECT. ACCOMODATION WILL BE PROVIDED. THIS IS AN URGENT REQUIREMENT. Contact Details : TALENT ACQUISITION TEAM Recruitment & Placement Section Mobile No. 09178303093 Corporate Address : No. 612 Pinaglabanan San Juan Metro Manila 1500 Phils. Valleygold Townhouse Landmark : LRT 2 Station, J. Ruiz Station. Only 5 Minute Walk – Away","25,000","29,000",Not Specified,Not Specified,Engineering
Joblum,Cadet Engineer,Mechanical,Newton Electrical Equipment Co. Inc,2021-05-29,National Capital Reg,Full Time,,Not Specified / In Description,Not Specified / In Description,"Qualifications: Candidate must possess at least a Bachelor's/College Degree , Professional License (Passed Board/Bar/Professional License Exam), Engineering (Mechanical) or equivalent. Applicants must be willing to work in Valenzuela City. No work experience required. Full-Time position(s) available. Major Responsibilities: Perform the same repair work as motor mechanics. Requisition supplies for Mechanical Department. Complete repair quotes for repair times. Check repair data gathered by motor mechanics. Schedule and prioritize work to be performed by Mechanical Department, including starting times to personnel. Comply with all company memos and distribute appropriate information to department personnel. Direct department personnel and other shop personnel in proper safety procedures. Confer with other shop supervisors and office personnel to coordinate smooth work flow. Make sure that the proper tools and necessary equipment are available and in good condition to perform the required work efficiently. Perform other skilled or non-skilled duties as directed by his immediate superior. Observe all safety procedures and use proper protective gear. ",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Building Engineer,Mechanical,Ortigas Land Corporation,2021-05-29,National Capital Reg,Full Time,"23,000-25,000",Not Specified / In Description,Not Specified / In Description,"Duties and Responsibilities Include but are not limited to: Handles all preventive maintenance activities for all building equipment Ensures that building rules and regulations, safety and uninterrupted service to the building and its tenants are complied with Ensure that all permits and licenses related to the operation of the building/facilities and its appurtenant equipment are secured and complied on time Prepares periodic manpower schedule Coordinates and monitors contractors regarding renovation, expansion, equipment installation and rectification Reviews plans submitted for fit-out/renovation Ensure that building specifications and restrictions are compiled by tenants and contractors Prepares for any scheduled power and water interruption Monitors and controls activities of other utility service providers such as but not limited to power, water, communications, cable TV, etc. Qualifications: Must be a Licensed Mechanical, Electrical, or Civil Engineer With 3-5 years of working experience in the filed, preferably in a similar industry Excellent communication and interpersonal skills Flexible and can adapt easily Strong leadership qualities *Full-time position available","23,000","25,000",Not Specified,Not Specified,Engineering
Joblum,MEPFS Coordinator,Mechanical,"Vertical Space Interiors, Inc.",2021-05-29,Cebu (Cebu City),Contract,"15,000-20,000",Not Specified / In Description,Not Specified / In Description,"Educational Background: Certificate in Architectural Drafting / MEP works, Interior Design and other related courses Work Experience: 1 year experience as MEPF Coordinator in fit-out construction or interior design Qyalifications: Professional License: Mechanical or Electrical Engineering Work Experience: 5-years experience as QC/QA, MEPF Coordinator or Project Supervisor in fit-out construction specializing in high-end commercial and/or hospitality establishments Job Description: Ensure that VSI project team fulfills its contract requirements by coordinating with trade contractors Ensure proper documentation of variations resulting from mechanical, electrical, plumbing, fire and safety installations Evaluate approved shop drawings, assess actual site conditions and prepare Combined Services Drawings for trade contractors Coordinate with Project-In-Charge to take actual measurements, place markings and prepare site for MEPF works Analyze design conflicts and recommend adjustments; submit proposed revisions to Project Architect Inform PM of possible delays or changes in schedule arising from MEPF issues. Give updated instructions to trade contractors after design variations are approved by Client, get proper acknowledgement Ensure that all MEPFS works are coordinated, inspected and signed-off prior to closing of wall and ceiling works Monitor adherence to work instructions and report findings to PM Collect and validate as-built drawings from trade contractors","15,000","20,000",Not Specified,Not Specified,Engineering
Joblum,Maintenance Planner - Valenzuela,Mechanical,SFI Fresh Bakers Corporation,2021-05-29,Valenzuela City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Candidate must possess at least Bachelor's/College Degree in Engineering (Electrical/Electronic), Engineering (Mechanical), Engineering (Mechatronic/Electromechanical) or equivalent. At least 1 Year(s) of working experience in the related field is required for this position. Required Skill(s): Has knowledge on interpretation of Data, identifying problems, formulate proper decision, Ability to understand interaction of equipment, system, diagnose mechnical, pneumatic problems, Ability to work from manuals, wiring diagrams, work orders, specification, Ability to generate and analyze reports charts, Ability to develop short term and long-term maintenance plans and monitor the execution of the plans, Familiarity on spare parts and mechanical items, Knows how to use Microsoft Office program Preferably 1-4 Yrs Experienced Employee specialized in Engineering - Electrical or equivalent.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Project  Engineer,Mechanical,Pacific Airconditioning & General Services Inc.,2021-05-29,Mandaluyong City,Contract,"15,000-20,000",Not Specified / In Description,Not Specified / In Description,"· Mechanical Engineering graduate or equivalent experience · With a minimum of one (2) experience in the construction industry · Proficient project management skills · Proficient on evaluating shop drawings · Proficient knowledge on Safety Procedures · Proficient in Accomplishment Report preparation · Proficient ability to work with a team · Proficient in establishing good relationships with consultants, project managers and other groups on site · Proficient written and oral communication skills · With strong human relation skills · Competent problem-solving and analytical skill","15,000","20,000",Not Specified,Not Specified,Engineering
Joblum,Preventive Maintenance Engineer,Mechanical,Borland Development Corporation,2021-05-29,Bulacan,Contract,"16,000-20,000",Not Specified / In Description,Not Specified / In Description,"Execute regular preventive maintenance required per data and records. Conduct repair and completion schedule of units. Supervise heavy mechanic operators and assign manpower on each site Minimum Qualifications Must have a Bachelor's Degree in Mechanical Engineering Knowledge in Automotive & Preventive Maintenance System Possess good interpersonal skills Open to new ideas and a systematic approach Willingness to travel from Motorpool office and to other development site areas Perks & Benefits Meal Allowance (effective upon regularization or after 1 year of service) Mid-Year Performance-Based Bonuses Year-End Performance-Based Bonuses Loyalty Incentives (every 5 years of rendered service) Perfect Attendance (Quarterly and Annually) Christmas Grocery (all employees as of June 31 of the current year) Housing Loan Discount and Rebates Sick Leave & Vacation Leave (effective upon regularization) Health Card Uniform (effective upon regularization) Company-sponsored activities such as Recognition Day, Company outing, Sports Activities, Team Building, and Christmas Party Why join us? BDC aims to foster a culture that portrays a harmonious family-like atmosphere and long-term stability of tenure, providing a highly competitive remuneration compounded with performance-based bonuses/incentives for its dedicated employees","16,000","20,000",Not Specified,Not Specified,Engineering
Joblum,Supply Chain Manager,Mechanical,Electa Tarlac Aggregate Corporation,2021-05-29,Manila City,Not Specified,,Not Specified / In Description,Not Specified / In Description," Responsibilities: 1. Hire and develop Supply Chain Management Personnel. 2. Develop, Implement and Improve Supply Chain Management system and processes. 3. Operate the department within budget and implement cost saving measures. 4. Coordinate with other department managers to meet business plans and goals. 5. Maintain an accurate supply chain inventory records across plants. 6. Plans, manages, and coordinates all activities related to the sourcing and procurement of necessary materials and supplies needed to meet the changing levels of product demand. 7. Leads the supply chain team in executing best practices and measuring performance through agreed upon Key Performance Indicators (KPIs)",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,"Design Engineer - Tooling & Fixture (Biñan, Laguna) WT",Mechanical,"John Clements Consultants, Inc.",2021-05-29,Laguna (Others),Full Time,"25,000-30,000",Not Specified / In Description,Not Specified / In Description,"Job Description: Create design concept of tooling and fixture with accurate dimension and precise function based on actual machine or process applicationIllustrate created concept through visual modeling, drafting and drawings using manual sketches or computerized software and hardwareModify design of existing machine parts, tooling and fixture as required by workstation improvement in terms of yield, machine uptime, cost, and line capacityIntroduce standard and modified measurement work instructions and instruments to improve tooling and fixture qualificationPerform engineering evaluations and feasibility studies for new and modified designGenerate timeline for action plans intended for improvements and maintain up-to-date completion rateProvide complete report on all improvement action items demonstrating effectiveness and gain of the projectSupervise design and tooling technicians in carrying out job assignmentCoordinate with other departments improvement plans, status and results Qualifications: Bachelor's degree in Mechanical Engineering At least (3-5) years as Design Engineer from related industryKnowledgeable in Autodesk Inventor software and experienced in design of tooling and fixturesCan do dimensioning and toleranceWilling to work in Laguna Technopark","25,000","30,000",Not Specified,Not Specified,Engineering
Joblum,CONTRACTS ENGINEER - MECHANICAL,Mechanical,"Global Estate Resorts, Inc. (a subsidiary of Megaworld Corporation)",2021-05-29,Taguig City,Contract,,Not Specified / In Description,Not Specified / In Description,"Review Electrical Plans and other Mechanical, Plumbing and Fire Protection Plans as may be required. Facilitate bidding for Electrical Works, and other Mechanical, Plumbing and Fire Protection Works as may be required. Investigate new and existing contractor’s / supplier’s credibility and ongoing projects. Conduct project bidding in accordance to ISO procedures. Secure consultant-approved specifications prior to bidding. Prepare detailed cost estimates. Organize and conduct site visits and pre-tender meetings with bidders and coordinate with the Project-In-Charge. Complete evaluation of technical and commercial bids. Price negotiation and technical clarifications with contractors and suppliers. Ensure directions and other technical details are received and followed by contractors, fabricators and suppliers. Coordinate with Construction Managers, Site Engineers, Consultant and Contractors/ Suppliers. Prepare contracts and/or purchase orders and ensure that all pertinent terms and conditions are clearly detailed and documented. Prepare down payment endorsement of contractors and suppliers, and other payment endorsements as may be required. Prepare specifications prior bidding subject for designer/end user approval. Monitor imported goods shipments/ delivery from fabrication, port of origin to Manila port. Regularly monitor status of production, deliveries and accomplishment of suppliers of materials and regularly report any concerns to immediate superior, and recommend possible solutions. Compute for volumes of earth moving, cutting, filling and disposal of excess excavated material; verify contractors’ claims of earth moving volumes QUALIFICATIONS: Candidate must possess at least Bachelor's/College Degree in Mechanical Engineering. At least 1 Year(s) of working experience in the related field is required for this position. Required Skills: Autocad, MS Office and Estimation. Detailed knowledge of past and current building and construction technology, processes, materials, business and legal matters.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
