Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Clinic Nurse - Ortigas,Nurse/Medical Support,"Aventus Medical Care, Inc.",2021-05-27,Ortigas,Contract,,Not Specified / In Description,Not Specified / In Description,"Qualifications: Graduate of Nursing With at least 6 months experience as hospital/clinic nurse With valid PRC license Willing to work in Ortigas Benefits: SSS, Philhealth, PAGIBIG 13th month pay Sick Leaves, Vacation Leaves, Emergency Leaves, Bereavement Assistance, Maternity/Paternity Leaves HMO coverage upon hire HMO coverage for dependent upon regularization Group Life insurance Salary increase upon regularization Uniforms Trainings Annual performance appraisal bonus Other bonuses (Mid-year / Christmas / etc.) Recruitment Process: Application Initial interview w/ HR Final interview Job Offer Medical exam and requirements Contract signing",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Clinic Nurse - Pasay,Nurse/Medical Support,"Aventus Medical Care, Inc.",2021-05-27,Pasay,Contract,,Not Specified / In Description,Not Specified / In Description,"Qualifications: Graduate of Nursing With at least 6 months experience as hospital/clinic nurse With valid PRC license Willing to work in Pasay Benefits: SSS, Philhealth, PAGIBIG 13th month pay Sick Leaves, Vacation Leaves, Emergency Leaves, Bereavement Assistance, Maternity/Paternity Leaves HMO coverage upon hire HMO coverage for dependent upon regularization Group Life insurance Salary increase upon regularization Uniforms Trainings Annual performance appraisal bonus Other bonuses (Mid-year / Christmas / etc.) Recruitment Process: Application Initial interview w/ HR Final interview Job Offer Medical exam and requirements Contract signing",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Clinic Nurse - Makati,Nurse/Medical Support,"Aventus Medical Care, Inc.",2021-05-27,Makati,Contract,,Not Specified / In Description,Not Specified / In Description,"Qualifications: Graduate of Nursing With at least 6 months experience as hospital/clinic nurse With valid PRC license Willing to work in Makati Benefits: SSS, Philhealth, PAGIBIG 13th month pay Sick Leaves, Vacation Leaves, Emergency Leaves, Bereavement Assistance, Maternity/Paternity Leaves HMO coverage upon hire HMO coverage for dependent upon regularization Group Life insurance Salary increase upon regularization Uniforms Trainings Annual performance appraisal bonus Other bonuses (Mid-year / Christmas / etc.) Recruitment Process: Application Initial interview w/ HR Final interview Job Offer Medical exam and requirements Contract signing",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Clinic Nurse - BGC Taguig,Nurse/Medical Support,"Aventus Medical Care, Inc.",2021-05-27,Taguig,Contract,,Not Specified / In Description,Not Specified / In Description,"Qualifications: Graduate of Nursing With at least 6 months experience as hospital/clinic nurse With valid PRC license Willing to work in Taguig Benefits: SSS, Philhealth, PAGIBIG 13th month pay Sick Leaves, Vacation Leaves, Emergency Leaves, Bereavement Assistance, Maternity/Paternity Leaves HMO coverage upon hire HMO coverage for dependent upon regularization Group Life insurance Salary increase upon regularization Uniforms Trainings Annual performance appraisal bonus Other bonuses (Mid-year / Christmas / etc.) Recruitment Process: Application Initial interview w/ HR Final interview Job Offer Medical exam and requirements Contract signing",Not Specified,Not Specified,Not Specified,Not Specified,Medicine
Joblum,Regulatory Pharmacist,Nurse/Medical Support,Axis Online Ventures Inc.,2021-05-26,Paranaque,Not Specified,"24,000-25,000",Not Specified / In Description,Not Specified / In Description,"Responsible in ensuring the correctness and compliance of the documents per FDA Guidelines for the Initial Applications and Biologicals Drug Applications upon submission to FDA to merit an approval and secure a Certificate of Product Registration. Ensures that approval and Certificate of Product Registration will be given for the Initial Registration of Prescription Medicines, Medical Device Initials and Cosmetic Notifications. Responsible for renewal and revalidation of Principal Certificate of Product Registration and Certificate of Listing of Identical Product and ensure that the documents","24,000","25,000",Not Specified,Not Specified,Medicine
Joblum,USRN Assistant Manager,Nurse/Medical Support,Axis Online Ventures Inc.,2021-05-26,BGC – work from home for now,Not Specified,"85,000-90,000",Not Specified / In Description,Not Specified / In Description,"At least 4-6 years of experience in healthcare BPO setup. Help create, launch and drive critical account initiatives and programs. Provides inputs to policies and processes impacting the operations. Manages a team of nurses and allied Healthcare professionals in the optimal execution of operations activities ensuring that each team member meets / exceeds their goals and metrics on a daily, weekly and monthly basis.","85,000","90,000",Not Specified,Not Specified,Medicine
Joblum,USRN IPA Assistant Manager,Nurse/Medical Support,Axis Online Ventures Inc.,2021-05-26,BGC Taguig,Not Specified,"79,000-80,000",Not Specified / In Description,Not Specified / In Description,"At least 1 year Utilization Management, Prior Authorization, or Post Service Clinical Claims Review (PSCCR) account experience is an advantage. Requires current active unrestricted USRN license to practice as a health professional within the scope of practice in applicable state(s) or territory of the United States. Areas managed may include authorizing inpatient admissions, outpatient services, focused surgical and diagnostic procedures, out of network services, and appropriateness of treatment setting by utilizing the applicable medical policy and industry standards, accurately interpreting benefits and managed care products, and steering members to appropriate providers, programs or community resources.","79,000","80,000",Not Specified,Not Specified,Medicine
Joblum,Regulatory Pharmacist,Nurse/Medical Support,Axis Online Ventures Inc.,2021-05-26,Paranaque,Not Specified,"24,000-25,000",Not Specified / In Description,Not Specified / In Description,"Responsible in ensuring the correctness and compliance of the documents per FDA Guidelines for the Initial Applications and Biologicals Drug Applications upon submission to FDA to merit an approval and secure a Certificate of Product Registration. Ensures that approval and Certificate of Product Registration will be given for the Initial Registration of Prescription Medicines, Medical Device Initials and Cosmetic Notifications. Responsible for renewal and revalidation of Principal Certificate of Product Registration and Certificate of Listing of Identical Product and ensure that the documents","24,000","25,000",Not Specified,Not Specified,Medicine
Joblum,USRN,Nurse/Medical Support,Axis Online Ventures Inc.,2021-05-26,BGC Taguig,Not Specified,"64,000-65,000",Not Specified / In Description,Not Specified / In Description,Clinical bedside care or healthcare accounts in other BPOs. Will be responsible for evaluating the appropriateness of health care and health services provided to patients,"64,000","65,000",Not Specified,Not Specified,Medicine
Joblum,PHRN,Nurse/Medical Support,Axis Online Ventures Inc.,2021-05-26,BGC Taguig,Not Specified,"20,000-30,000",Not Specified / In Description,Not Specified / In Description,"Clinical bedside care or healthcare accounts in other BPOs. paid training, NCLEX and licensure sponsorship. Will be responsible for evaluating the appropriateness of health care and health services provided to patients","20,000","30,000",Not Specified,Not Specified,Medicine
Joblum,Regulatory Pharmacist,Nurse/Medical Support,Axis Online Ventures Inc.,2021-05-26,Paranaque,Not Specified,"59,000-60,000",Not Specified / In Description,Not Specified / In Description,"Must be a licensed/registered Pharmacist. Fresh graduates are welcome. Preferrably with more than 2-years of work experience in the field of Regulatory on Prescription Medicines. Knows how to operate Microsoft Office (MS Word, Excel, Powerpoint, Outlook), PDF (Nitro Pro, Adobe etc). With Good English communication skills. Highly self-motivated, goal oriented and committed in pursuing long term career. With High Comprehension Skills. Exceptionally well organized and strong work ethics.","59,000","60,000",Not Specified,Not Specified,Medicine
Joblum,Regulatory Affairs Manager,Nurse/Medical Support,Axis Online Ventures Inc.,2021-05-26,Paranaque,Not Specified,"119,000-120,000",Not Specified / In Description,Not Specified / In Description,"Experienced Supervisor/Manager Must have Pharmacovigilance experience with drugs and especially vaccines ( vaccines, HIV drugs, polio, pneumo drugs etc.)","119,000","120,000",Not Specified,Not Specified,Medicine
