Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Joblum,STRESS ENGINEER,Oil/Gas,"ZACHRY PHILIPPINES, INC.",2021-05-29,Pasig City,Contract,,Not Specified / In Description,Not Specified / In Description,"I. Job Purpose To provide technical work by performing stress analysis, piping specifications, and engineering specifications while ensuring conformance to all Codes and procedures related to engineering functions, labor and systems reporting; and active interface with the project team, vendors, and clients. II .Key Outputs Provide technical interface for piping analysis work, and interfaces with structural engineering, piping design, and support design groups, in the design of piping systems and pipe supporting elements; Prepare analytical reports determining the reactions of piping on equipment and structures; Interpret and apply code requirements; Review proposed piping support systems, identify issues, and recommend appropriate, cost-effective solutions; Interface and exchanges engineering details between external contacts including equipment suppliers, clients, and installation contractors; Consult with client and others on field-related issues including follow-up reports or design modifications; Coordinate with other engineers, project managers, client personnel, and suppliers to ensure a complete and timely design; Provide thorough investigation for project requirements including safety and environmental compliance issues and technical review of piping stress and material needs; III. Minimum Qualifications 1. Education BS Mechanical Engineering, BS Civil Engineering, or Engineering Mechanics 2. Experience Two (02) years creating computer piping analysis models and interpreting results for code compliance. 3. Skills and Knowledge Committed to quality, responsibility, and high work standard; knowledge of piping discipline and general knowledge of other disciplines; Knowledge of the design, selection, and application of pipe supporting elements; Solid understanding of developing piping specifications and/or performing stress analysis on complex piping systems; Solid understanding of internal economic factors affecting assignment areas (costs, margins, profit impact of decisions); 4. Behavioral/Physical Committed to quality, responsibility, high work standards, and initiatives; Ability to independently organize and give priority to work assignments and coordinate a variety of tasks; With good attention to details and ability to deal with conflicting priorities and deadlines. 5. Technical Must have knowledge of ASME B31.1 and ASME B&PV Section III piping codes (knowledge of B31.1 1967 Edition and B&PV Section III 1971 through Summer 1973 Addenda is preferred); The ability to navigate a 3D CAD model; Experience with CAESAR II Pipe Stress Analysis software; Knowledge of gas dynamics and hydraulic transients is desirable; Knowledge of pipe condition assessment is a plus; Must be proficient in use of Database systems related to Engineering functions.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Technical Support Engineer (DCS/SCADA/PLC),Oil/Gas,"Nezda Technologies, Inc.",2021-05-28,National Capital Reg,Contract,"50,000-90,000",Not Specified / In Description,Not Specified / In Description,"Responsibilities: • Responsible for providing technical support, consultation and on-site/remote diagnostics on products/systems, including DeltaV DCS, DeltaV SIS (Safety Instrumented Systems), AMS Device Manager, Wireless Solution and PlantWeb installations for systems in Asia Pacific, Europe, Middle East, Africa, North America and Latin America end-user customers and engineering organizations. This involves troubleshooting, problem analysis and solutions generation to hardware, software, installation, configuration, integration, and application issues and inquiries. Maintains ownership of all received customer problems, provides timely updates, and sets the appropriate escalation priority. • Successfully works to identify workarounds, reduce product problem resolution time, and support efforts to develop training and troubleshooting resources (e.g. procedures, diagnostics, and documentation) • Collaborates with Local Business Partners and Field Service Organizations worldwide, Technology, Marketing and Manufacturing to resolve product problems and plot product design directions at a local and global level Qualifications Requirements: • BS/MS in Chemical, Electrical, Electronics, Mechanical, Instrumentation, or other Engineering Degrees • Minimum of two (2) years’ experience in process control or process engineering in at least one of the following process industries: hydrocarbon processing, oil and gas (onshore/offshore), pulp and paper, specialty chemicals, pharmaceutical, food and beverage, power generation. • Responsible for control system configuration, third-party equipment integration, startup of process control projects, or on-going system maintenance/support • Experience with DCS, PLC, or SCADA systems. Understanding of discrete, continuous, or batch controls; PC based HMI, Advanced Controls, Fieldbus or field instrumentation. Knowledge of networking, TCP/IP, and Windows operating system. • Ability to troubleshoot systems and to present clear and concise information to the team, internal customers, and external customers Alternate Work Setup - WFH/Onsite if required (Ortigas, Pasig) Shifting schedule For faster process, you may send resume to [email protected]","50,000","90,000",Not Specified,Not Specified,Engineering
Joblum,Technical Writer,Oil/Gas,"Nezda Technologies, Inc.",2021-05-27,National Capital Reg,Contract,"60,000-70,000",Not Specified / In Description,Not Specified / In Description,"Job Summary We are looking for a technical writer to develop detailed installation and user documentation for a diverse set of software products. You will work with product developers and members of the technical documentation team to develop content that will enable our customers to successfully install, set up, and use our products. Job Role Develop, write, and support end-user documentation that includes high-level technical content, reference material, and detailed, task-specific work instructions. Work with product developers, subject matter experts, product marketing managers and members of the technical documentation team to develop technical content that enables our customers to successfully install, set up, and use our products. Write end-user documentation for a multi-disciplined and multi-cultural audience, including process control operators, control systems engineers, configuration engineers, and others. Work in DITA CMS to write new documentation and maintain existing documentation. Comply with best practices established by the company on writing style, format, and content. Explore complex technical products and provide technically accurate and audience-focused documents for new and existing functionality in software and hardware. Be responsible for driving the review and approval of technical content within the document management system. Qualifications BS/MS in Chemical, Electrical, Electronics, Mechanical, Instrumentation, or other Engineering Degrees With 2 to 4 years work related experience Experience with modular documentation (for example, DITA XML) and component content management systems Desire to seek continuous improvements and innovation Experience in using Microsoft Word, Excel, PowerPoint Demonstrated internships in technical writing/information development","60,000","70,000",Not Specified,Not Specified,Engineering
Joblum,Fabrication Estimator/QS,Oil/Gas,"CYBALINK SOLUTIONS, INC.",2021-05-27,Pasig City,Contract,"50,000-65,000",Not Specified / In Description,Not Specified / In Description,"Cybalink Solutions is an Australian owned Outsourcing Company providing services to organisations across the globe. At Cybalink Solutions we empower and enable our people through innovation and community spirit. CANDIDATES WITH AUSTRALIAN OIL AND GAS OR MINERALS PROCESSING EXPERIENCE APPLY NOW ESTIMATOR - For Fabrication Projects Responsibilities include but is not limited to: Compile estimates for pipework, structural steel, chutes, hoppers & tanks, Review tender documentation, drawings and/or final drawings to quantify and produce MTOs. Prepare estimates for tender based on manhour norms and supply pricing provided from client utilizing standard estimating spreadsheets Collate material take-offs and job costs into clear, well-structured spreadsheets/databases Prepare comparisons between contract and as-built quantities and prepare cost estimates and forecasts for the changes Compile tender submission documents including pricing, methodology templates, health and safety, quality documentation etc. Assist in calculation and production of work claims Develop basic CAD drawings where required to assist with tender pricing, using AutoCAD Prepare, submit & thoroughly review supplier & sub-contractor RFQ’s The successful candidate should have/be: MUST HAVE EXPERIENCE ESTIMATING FOR OIL AND GAS &/OR MINERALS PROCESSING PROJECTS Minimum of 5 years’ work experience in estimating on Structural Steel and Fabrication projects required Demonstrated experience with tendering/estimating on all types of fabrication, including pipework, structural steel, chutes, hoppers & tanks, using a wide range of materials from carbon steel, stainless steel, super duplex, titanium & alloy nickels Experience with Australian standards and/or actual work overseas are desirable but not essential Must be computer savvy with intermediate knowledge of Microsoft office tools and AutoCAD Excellent analytical thinking and problem-solving capability Excellent English communication skills High attention to detail and accuracy is required If you meet the above criteria and are keen to progress your career in a dynamic working environment, please click “APPLY NOW” and be sure to upload your updated CV or resume through Jobstreet . Must be willing to report to the office physically 5 days in a week. All applicants must be willing to work in Bagong Ilog, Pasig City.","50,000","65,000",Not Specified,Not Specified,Engineering
Joblum,Workpack Engineer,Oil/Gas,"CYBALINK SOLUTIONS, INC.",2021-05-27,Pasig City,OJT,"50,000-60,000",Not Specified / In Description,Not Specified / In Description,"Cybalink Solutions is an Australian owned Outsourcing Company providing engineering & construction services to global clients. We are looking for people who want to start a career in an innovative, collaborative working environment and have experience in quality control. Workpack Engineer - OFFICE BASED ROLE The role includes but not limited to: Compiling MDR and reviewing for outstanding requirements Analysing deliverables registers and creating documentation as per requirements QA/QC of materials, materials management and traceability (compiling registers and certificates) Determining construction methods, materials and quality standards Interpreting specifications and engineered drawings Understanding of weld procedures and qualifications ITP development and review Maintaining accurate and up to date company records including the Non-Compliance Report database and calibration register. The ideal person should have/be: Minimum 5 years’ relevant work experience as QA/QC Engineer in Engineering and Construction industry Demonstrated experience in Mining, Infrastructure and Oil and Gas Projects Experience in Structural, Piping and Platework fabrication and installation, Mechanical installation. Must be able to read Structural, Mechanical and Piping (SMP) drawings with High attention to detail and accuracy of estimates Excellent analytical thinking and problem-solving capability Highly organized and can handle multiple projects simultaneously Excellent English and communication skills, both oral and written Comply with data integrity and security policies Proficient in MS Excel and Word with advanced administrative skills Please indicate the date of availability. Salary will be commensurate with experience. All applicants must be willing to work with flexible schedule in Bagong Ilog, Pasig City.","50,000","60,000",Not Specified,Not Specified,Engineering
Joblum,Operations Assistant,Oil/Gas,Northern Star Energy Corporation,2021-05-27,Makati City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"Job Duties: To perform clerical and administrative functions as required Liaise with concerned business units and act as point of contact for all stakeholders Organize and schedule appointments/meetings Duly prepare correspondence and disseminate memo across the group Assist in the Office Supplies Purchase Orders and Facilities Management Handle and reconcile liquidations Accordingly prepare reportorial requirements for bidding, audit and regulatory compliance Oversee filing system and ensure efficiency of file monitoring system Perform other task/assignments as may be assigned from time to time Yield timely assistance/support to Retail Partners and other stakeholders Job Qualifications: Candidate must possess an Engineering degree or any related 4-year course Must have at least two (2) years similar work experience/s gained from trucking or logistics company. Familiar in ISO Standards Driving skills (is a plus)",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Gas Station Supervisor,Oil/Gas,Honda Oem Touch Up Paint Philippines,2021-05-26,Quezon City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"The hirer is still in the process of verification. Copy and paste this link on your browser to know what it means: https://cloud.ph.jobstreetmail.com/PH-JS-CAN-Under-Verification Job Qualifications: Previous leadership experience. Excellent communication skills. Eye for detail and accuracy. Reliable, with high integrity and strong work ethic. Ability to work as part of a team. Professional appearance and attitude. Responsibilities: Making sure employees that report to you meet performance expectations. Giving instructions or orders to subordinate employees. Oversee daily operations in gas stations and are responsible for recruiting and training new staff, handling budgets, ensuring gas station safety, attaining sales goals and reporting to company senior management.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Bunkering Fuel Assistant,Oil/Gas,Philippine Span Asia Carrier Corp. (Manila),2021-05-25,Manila City,Not Specified,,Not Specified / In Description,Not Specified / In Description,What awaits you if you consider this opportunity? Mandatory government benefits Can cash out unused annual leaves Medical benefits What will you do? Fuel vessel receiving (product receiving) Fuel bunkering permit (entrance and exit permit from PPA & North Port) Fuel coast guard permit (permit from coast guard for vessel to start bunkering) Fuel sounding on board assign owners representative Fuel tanker checking if product is proper product Fuel steal checking/fuel computation and documentation What we need from you? A graduate of bachelor's degree in Management/Engineering/Marine or relevant field Has experience in bunkering operations an advantage Has knowledge about draft Has a knowledge about fuel computation Patience to understand safety precautions around his/her working area Can work with less supervision Can work under pressure,Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Service Sales,Oil/Gas,Qarah Industries Corp.,2021-05-25,Paranaque City,Full Time,"15,000-25,000",Not Specified / In Description,Not Specified / In Description,"Responsibilities: · Responsible for maintaining an account development plan, and ensure appropriate customer service. · Prepare and implement sales strategy/ call plan as per Qarah sales procedure. · Maintain and develop a computerised customer and prospect database. · Plan and carry out direct marketing activities within agreed budgets. · Ensure pipeline and sales activity reports are updated according to weekly and monthly schedule. · Develop ideas, create offers and negotiate with prospective customers. · Strong personal relationships and selling skills, technical expertise and in-depth knowledge of industrial automation and services are used to initiate action to end users accounts. · Maintain and develop existing and new customers through planned individual account support, and liaison with internal order –processing staff. · Prospect, Identify, Prioritise, Build and develop strategic sales plan for key target accounts · Carry out market research, competitor and customer surveys. · Manage opportunity pipeline (increase size, number and win rate of opportunities) · Follow up on new leads, grow accounts, identify and create new business opportunities (NBO), and close NBOs to a sale. · Build relationships with direct customer and network of potential indicators. · Discuss with potential customers their specific solution requirements. · Coordinate with customers, principal and other suppliers. · Work as a team to ensure the priorities and objectives are met. · Give advice and assistance to other team members where required. · Sales activities will be done with support from Key Account Supervisor, sTL. Requirements: Bachelor’s degree in Engineering or a related technical field strongly preferred or equivalent work experience. Working knowledge of instrumentation, electrical and mechanical engineering concepts and terms. Proven strong background of direct selling to customers. Strong written, negotiation, and oral communication capabilities. Strong sales discipline and negotiation capabilities; strong interpersonal relationship building skills. Working knowledge of Microsoft Office of Excel, Powerpoint, Word and Outlook Capable of managing Accounts. Capable of meeting monthly and yearly Sales Targets. Job Types: Full-time, Permanent Pay: Php15,000.00 - Php25,000.00 per month","15,000","25,000",Not Specified,Not Specified,Engineering
Joblum,Sales Engineer,Oil/Gas,Qarah Industries Corp.,2021-05-25,Paranaque City,Full Time,"15,000-21,000",Not Specified / In Description,Not Specified / In Description,"Job Description Serve as the technical product expert and educate internal and external customers on Qarah Industries product guidelines. Create and maintain positive relations with customers, internal business unit leaders and strategic business relationships; utilize contacts to ensure our customers are getting the best value and support. Responsible for maintaining an account development plan, and ensure appropriate customer service. Prepare and implement sales strategy/ call plan as per Qarah sales procedure. Maintain and develop a computerised customer and prospect database. Plan and carry out direct marketing activities within agreed budgets. Ensure pipeline and sales activity reports are updated according to weekly and monthly schedule. Develop ideas, create offers and negotiate with prospective customers. Strong personal relationships and selling skills, technical expertise and in-depth knowledge of industrial automation and services are used to initiate action to end users accounts. Maintain and develop existing and new customers through planned individual account support, and liaison with internal order–processing staff. Prospect, Identify, Prioritise, Build and develop strategic sales plan for key target account Carry out market research, competitor and customer surveys. Manage opportunity pipeline (increase size, number and win rate of opportunities) Follow up on new leads, grow accounts, identify and create new business opportunities (NBO), and close NBOs to a sale. Build relationships with direct customer and network of potential indicators. Discuss with potential customers their specific solution requirements. Coordinate with customers, principal and other supplier. Work as a team to ensure the priorities and objectives are met. Give advice and assistance to other team members where required. Sales activities will be done with support from Key Account Supervisor, STL. Requirements: Bachelor’s degree in Engineering or a related technical field strongly preferred or equivalent work experience. Working knowledge of instrumentation, electrical and mechanical engineering concepts and terms. Proven strong background of direct selling to customers. Knowledge in Fire and Gas Detector / Gas Analyzer Product Strong written, negotiation, and oral communication capabilities. Strong sales discipline and negotiation capabilities; strong interpersonal relationship building skills. Working knowledge of Microsoft Office of Excel, Powerpoint, Word and Outlook Capable of managing Accounts. Capable of meeting monthly and yearly Sales Targets. Job Types: Full-time, Permanent Job Types: Full-time, Permanent Pay: Php15,000.00 - Php28,736.00 per month","15,000","21,000",Not Specified,Not Specified,Engineering
