Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Experience,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Joblum,With Signing Bonus* | Data Visualization Senior Analyst (EH 1917),Actuarial/Statistics,Accenture,2021-05-29,"Central Luzon, National Capital Reg, Calabarzon & Mimaropa",Not Specified,,Not Specified / In Description,Not Specified / In Description,"Go through a faster and more convenient recruitment process today and be part of one of the biggest and most stable organizations in the world!Overall Purpose:Develop, maintain, and manage advanced reporting, dashboards, and BI solutionsSupport Business Intelligence (BI) and Data Warehousing (DW) solutions by leveraging industry standard/ leading analytics platformsAccurately translate customer requirements into technical requirementsExtract/query data from multiple data sourcesAnalyze data to identify known and unknown data relationships and patternsAnalyze and validate data and test accuracy of dashboardsEffectively communicate the findings to business stakeholders and clientsWork directly with the clients to understand requirement; and propose and develop best business solution that enables effective decision-making, and drive business objectivesPartner with appropriate team to ensure performance and delivery meets SLAsQualifications:Graduate from at least a 4-year course related to Management, Industrial Engineering, Management Engineering, Statistics, Applied Mathematics, Economics, Computer Science or Information SystemsMust have at least 2 years of relevant experience in Data VisualizationMust be familiar with the creation of dashboardsMust be familiar with Tableau or PowerBIMust be knowledgeable in SQLWhy join Accenture?Competitive salary package, company bonuses, and performance incentivesNight differentialLoyalty, Christmas gift, Inclusion and diversity benefitsPaid sick and vacation leavesExpanded maternity leave up to 120 days*HMO coverage (medical and dental) from day 1 of employmentLife insuranceEmployee stock purchase planRetirement planAccessible locationsHealthy and encouraging work environmentCareer growth and promotion opportunities*Terms and Conditions apply",Not Specified,Not Specified,Not Specified,Not Specified,Mathematics
Joblum,Statistician 1,Actuarial/Statistics,Philippine National Police Region X - Government,2021-05-29,Northern Mindanao,Not Specified,"23,877",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 11, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Regional Headquarters, Regional Personnel and Records Management Division/Plans and Records Management Section Plantilla Item No. : STAT1-254-98 Salary/Job/Pay Grade : 11 Monthly Salary : Php 23,877.00 QUALIFICATION Eligibility : Career Service (Professional) Second Level Eligibility Education : Bachelor's degree relevant to the job Training : None required Work Experience : None required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 11, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: PLTCOL RAMIL J WAPER OIC, RPRMD PHILIPPINE NATIONAL POLICE Camp Alagar, Lapasan, Cagayan de Oro City [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","23,877","23,877",Not Specified,Not Specified,Mathematics
Joblum,Statistician I,Actuarial/Statistics,"Municipal Government of Surallah, South Cotabato - Government",2021-05-29,Soccsksargen,Not Specified,"21,489",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : June 11, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Office of the Municipal Planning and Development Coordinator Plantilla Item No. : 58 Salary/Job/Pay Grade : 11 Monthly Salary : Php 21,489.00 QUALIFICATION Eligibility : Career Service (Professional) Second Level Eligibility Education : Bachelor's degree relevant to the job Training : None required Work Experience : None required Instructions/Remarks : ""The Municipal Government of Surallah encourages application from qualified PWD candidates, members of indigenous communities, and those from any sexual orientation and gender identity (SOGI)."" Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than June 11, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Photocopy of Diploma/Transcript of Records; 3. Photocopy of Certificate of Eligibility/Rating/License; 4. Photocopy of Certificate of Employment; 5. Certificate of interventions/trainings/seminars attended; and 6. Performance rating in the last rating period (if applicable) QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: RENE G. GARCIA Municipal Government Department Head I (HRMO) 2nd flr, Municipal Hall, Allah Valley Drive,Poblacion, Surallah, South Cotabato [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","21,489","21,489",Not Specified,Not Specified,Mathematics
Joblum,Risk Underwriter,Actuarial/Statistics,Lightspeed,2021-05-28,Pasig City,Full Time,,Not Specified / In Description,Not Specified / In Description,"Perks and Benefits Participate in the Lightspeed global culture Highly competitive salary package Barista grade coffee machine supplies all the coffee you can handle Regular team building events Regular visits from our Sydney and Montreal team members Work hard and play hard with table tennis Awesome office space located in Ortigas + flexible Work from Home policy HMO for employee and 2 dependents 15 days Vacation Leave and 10 days Sick Leave Night differential (where applicable) and allowances Lightspeed is on the hunt for a Risk Underwriter to join our Payments Operations team. You will play an integral role in the preliminary risk assessment process. You will interact with the sales and marketing team to help potential payment customers secure payment products and services. Through its suite of products, Lightspeed processes billions in transaction volume. We are looking for a leader who can help us build the team, processes, and systems to ensure we effectively, profitably, and securely price, evaluate risk and underwrite our clients. You will work on Compliance, Underwriting, and Transaction Review (Risk) functions and initially examine sub-merchant applications for legal compliance requirements and adherence to individual company guidelines. What you’ll be responsible for: Conduct risk assessment and decisioning of applications in the underwriting queue within assigned businesses, in line with acceptable risks as defined within the payment operation policies; As directed, help design and implement procedures for escalating suspect fraud cases including creating mechanisms by which risk-appropriate adjustments can be incorporated within the fraud management process to reduce potential losses. Identify and approve good payment business opportunities to help grow margin while rejecting/declining deals that are assessed to be outside of Lightspeed’s risk appetite for lending. Maintain good relationships with various team including responding to questions and concerns that may be urgent in nature. Contribute to operational improvements to streamline procedures/processes and enhance service. On a daily, weekly, and monthly basis, develop and communicate standard reporting package of applications reviewed and decisioned by underwriting as a means of providing intelligence to the executives, sales, marketing and support teams, and other stakeholders; Protect the interests of Lightspeed by ensuring the application is being adjudicated in accordance with assigned discretionary limits and established guidelines. Perform due diligence in support of all sub-merchant applications. Escalate with recommendation those applications that exceed discretionary limits and established guidelines. Strong credit and risk acumen - Subject Matter Expert with knowledge of risk and underwriting analysis. Strong knowledge of various sanction lists and compliance policy Advanced knowledge of products, end to end processes and systems. Experience in the decision making of complex sub-merchant applications What you’ll be bringing to the team: 2-5 years at a FinTech, Lending or within the Banking industry Bachelor’s degree in Finance or other business-related field Perks and Benefits Participate in the Lightspeed global culture Highly competitive salary package Barista grade coffee machine supplies all the coffee you can handle Regular team building events Regular visits from our Sydney and Montreal team members Awesome office space available + flexible Work from Home policy Lightspeed Equity Package",Not Specified,Not Specified,Not Specified,Not Specified,Mathematics
Joblum,Statistician III,Actuarial/Statistics,Civil Service Commission - Government,2021-05-28,National Capital Reg,Not Specified,"43,681",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 31, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : Office for Strategy Management Plantilla Item No. : STAT3-134-2005 Salary/Job/Pay Grade : 18 Monthly Salary : Php 43,681.00 QUALIFICATION Eligibility : Career Service Professional/ Second Level Eligibility Education : Bachelor's Degree in Statistics, Mathematics and other allied courses Training : 24 hours of relevant training preferably on statistical methods, tools, project management, and other related field within the last 5 years Work Experience : 2 years demonstrated ability in data and project management, analysis, and data visualization, and familiarity with IT-enabled (software) systems Competency : Exemplifying Integrity Intermediate: Demonstrates compliance to policies, rules and other standards set by the Commission. Delivering Services Excellence Basic: Complies with CSC's established standards of delivery agreements and delivers explicit requirements of customers. Solving Problems and Making Decisions Basic: Provides timely solutions to problems and decision dilemmas that have clear-cut options and/or choices and whose solutions are available and can be accessed from a database or gleaned from an existing policy or process. Demonstrating Personal Effectiveness Basic: Responds effectively to guidelines and feedback on one's performance, well-being and learning discipline. Speaking Effectively Basic: Effectively delivers messages that simply focus on data, facts, or information and requires minimal preparation or can be supported by available communications materials. Writing Effectively Basic: Refers to and/or existing communication materials or templates to produce own written work. Championing and Applying Innovation Basic: Demonstrates awareness of basic principles of innovations Planning and Delivering Basic: Designs and implements plans focused on one’s functional group or area of focus and involving team members from the same group. Managing Information Intermediate: Works with data to generate relevant information. Instructions/Remarks : Brief Description of the General Function of the Position: Performs technical work such as law interpretation; data gathering or research work on legal issue/s; reports preparation from generated data; and coordination activities. The CSC encourages all interested and qualified applicants including persons with disability (PWD), and members of the indigenous communities irrespective of sexual orientation and gender identities, to apply. Interested and qualified applicants should signify their interest or intention through electronic mail. Please indicate the specific Plantilla Item Number or the Office where the vacancy is located, and attach the following documents NOT LATER THAN MAY 31, 2021. Documents: 1. Fully accomplished under oath Personal Data Sheet (PDS) with recent passport-sized photo (CSForm No. 212, Revised 2017), with the required Work Experience Sheet (WES), downloadable at the CSC website (Downloads - Forms - OHRMD - PDS). Please convert the PDS including the WES into a single-file PDF format before submission. 2. Performance rating in the last rating period (if applicable) 3. Certificate of Eligibility/Rating/License 4. Transcript of Records QUALIFIED APPLICANTS are advised to EMAIL their intention with COMPLETE DOCUMENTS to: Director IV FERNANDO M. PORIO Office for Human Resource Management and Development Civil Service Commission IBP Road, Brgy. Batasan Hills, Quezon City Constitution Hills, 1126, Quezon City Email address: [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","43,681","43,681",Not Specified,Not Specified,Mathematics
Joblum,STATISTICIAN I,Actuarial/Statistics,Central Mindanao University - Government,2021-05-28,Northern Mindanao,Not Specified,"23,877",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications : May 31, 2021 Only those with Civil Service Eligibility will be processed. Kindly upload your Certificate of Eligibility or PRC License. Place of Assignment : CENTRAL MINDANAO UNIVERSITY Plantilla Item No. : CMUB-STAT1-2-1998 Salary/Job/Pay Grade : 11 Monthly Salary : Php 23,877.00 QUALIFICATION Eligibility : Career Service (Professional); Second Level Eligibility Education : Bachelor's degree relevant to the Job Training : None Required Work Experience : None Required Instructions/Remarks : Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than May 31, 2021. Documents: 1. Fully accomplished Personal Data Sheet (PDS) with recent passport-sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph; 2. Performance rating in the present position for one (1) year (if applicable); 3. Photocopy of certificate of eligibility/rating/license; and 4. Photocopy of Transcript of Records. QUALIFIED APPLICANTS are advised to hand in or send through courier/email their application to: JESUS ANTONIO G. DERIJE University President CENTRAL MINDANAO UNIVERSITY [email protected] APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.","23,877","23,877",Not Specified,Not Specified,Mathematics
Joblum,Reports Analyst | Davao Site,Actuarial/Statistics,Concentrix Philippines,2021-05-28,Davao,OJT,"20,000-26,000",Not Specified / In Description,Not Specified / In Description,"Essential Functions/Core Responsibilities: The Reporting Analyst is responsible for providing performance recommendations and reporting to stakeholders that drive performance improvement. This position translates customer needs into reporting requirements.Provide consultation to account management on reporting needs, trend analysis and report improvement opportunities • Coordinate the implementation of reporting processes (i.e., development of data collection tools and the establishment of data collection and distribution process)• Produce ad-hoc reports, trending data, and respond to client inquiries as needed• Develop new reports/graphs, production schedules, and additions/deletions from existing reports• Produce and verify daily electronic reports using advanced Microsoft Excel tools• Distribute reports to internal and external clients via e-mail and electronic feeds and communicate with project managers to understand client reporting needs.• Set up reports on a monthly basis• Maintain existing reports as well as monthly and year-to-date summaries• Store and manage project specific data via database management application• Develop/implement streamlining solutions to improve reporting processes• Conduct interviews and discovery meetings with operations partners and business process owners to gather requirements and identify business needs. Identify, document, and evaluate client's/customer's Operational needs and corresponding process for the development, delivery, and management of reporting• Analyze current state of reporting environment including identify reporting opportunities and engage with business owners in prioritizing; and apply best practices and technologies in designing solutions• Translate business needs into reporting solutions for the identified customer problem/opportunity. Develop the cost-benefit analysis and present proposed solutions to end customers• Participate and/or lead project team to develop quantitative scope, level-of-effort, staffing, and timing inputs for reports development and delivery solutions• Support implementation and change management Candidate Profile • Bachelor's Degree in related field from a four-year college or university with two to four years of relevant experience preferred• Experience with call center business and computer support systems preferred • Knowledge of database technology, including Oracle or familiarity with SQL• Demonstrated ability to multi-task, prioritize, and meet timelines on deliverables• Demonstrated knowledge of reporting solutions• Demonstrated ability to advocate reporting solutions in support of customer business goals and strategies• Proficient in Microsoft Office.• Sense of professionalism and ability to develop relationships.","20,000","26,000",Not Specified,Not Specified,Mathematics
Joblum,Business Analyst (Cebu),Actuarial/Statistics,TDCX,2021-05-28,Cebu (Cebu City),Not Specified,,Not Specified / In Description,Not Specified / In Description,"Do you aspire a rewarding career that lets you do more and achieve more? Unleash your full potential at work with TDCX, an award-winning and fast-growing BPO company. Work with the world’s most loved brands and be with awesome, diverse people. Be home, belong, and start your journey to #BeMore! Top reasons to work with TDCX: Attractive remuneration, great perks, and performance incentivesComprehensive medical, insurance, or social security coveragePremium workspacesEngaging activities and recognition programsStrong learning and development plans for your career growthPositive culture for you to #BeMore at workEasy to locate area with direct access to public transportFlexible working arrangementsBe coached and mentored by experts in your fieldJoin a global company with 25 years of experience and more than 270 industry awards What is your mission? Interpreting data, analyzing results using statistical techniquesHelp to design scientific research studiesUse statistical software to analyses dataLook for trends and patterns to help stakeholders make policy decisionsAnalyze results from AB TestsAssist in creating predictive modelsAssist in preparation of analysis to decision makers using data visualization graphics Who are we looking for? Candidates must possess at least a Bachelor's/College Degree in Statistics or related fieldAt least 1-3 years of relevant experiencePossess capabilities in statistical analysis and modeling (hypothesis testing, logistic and linear regression, etc. AND parametric and non-parametric methods)Demonstrate statistical modeling and forecasting, applying quantitative and research methodKnows how to use data mining software to scrub and organize raw dataHas knowledge of statistics and experience using statistical packages for analyzing datasets (R, SPSS, Excel, etc.)",Not Specified,Not Specified,Not Specified,Not Specified,Mathematics
Joblum,MIDSHIFT & TEMPORARY WFH | Statistical Analyst/Data Scientist (Eastwood) 1000,Actuarial/Statistics,MicroSourcing,2021-05-28,National Capital Reg,Contract,,Not Specified / In Description,Not Specified / In Description,"MicroSourcing is looking for a Statisical Analyst/Data Scientist for a Data Management and Analytics client based in US! Job Description:Our client is recognized as the leader in Sensitive Information Management software and managed service solutions for pharmaceutical and CRO organizations. We hire only the best talent and hold ourselves to the highest standards. Making complex things simple is one of our core values and the Clinical Statistical Analyst position will play a key role in achieving this. We provide a flexible work environment to ensure our team members can accomplish their personal goals and objectives while supporting the company’s success. Your career will challenge you to learn new skills, achieve your career objectives all while gaining the satisfaction of delivering significant accomplishments to our customers and the organization.You will be responsible for analyzing critical clinical trial results, trial documents and trial datasets. You will make decisions, using proprietary software to protect that information by applying redaction and anonymization techniques.You must ensure timely product and service support and follow standard engagement processes while applying best practices to drive customer satisfaction customer and retention. This position reports to the Sr. Director of Customer Success.Responsibilities: • Analyze data and apply statistical and quantitative risk methods to prevent re-identification of data subjects• Supports the process of reviewing, redacting, and anonymizing electronic documents for sensitive clinical, personal & company information • Documents processes and participates in process improvement sessions including providing feedback to the Development team for product improvements and enhancements• Assigned tasks to perform customer project assignments within the workgroup• Strong written and oral communication skills • Collaborates with customer’s, Clinical Development and Medical Writing team members, and consultants• Ability to meet multiple deadlines and handle stressful situations • Document, track, and report product bugs and customer enhancement requests• Stay current on RLS technologies and new releases and communicate them to customers• Assist with review and development of Customer Success departmental procedures and key metrics to identify improvement areas and implementation of said improvement areas Requirements: • Graduate of any 4 year course • 4+ years of relevant experience• Strong mathematical and analytical skills with attention to detail • Has background and experience in SQL • Master RLS proprietary application for redaction and anonymization tasks • Experience with PDFs, Microsoft Office products - Excel, PowerPoint• Proficient in SAS programming, R-Python, Matlab or similar languages• Working knowledge of CDISC and related FDA standards for specification and creation of SDTM and ADaM datasets • Knowledge of regulatory guidelines such as Health Canada Public Release of Clinical Documents or EMA Policy 0070 is a strong plus• Maintains expertise in modern data manipulation and statistical analysis methodologies • Knowledge of medical terms, clinical documents preferred • Positive, self-starter attitude and team player supported by a desire to exceed expectations at every opportunity• Ability to gain and maintain a good understanding of customer business situations, processes and challenges to facilitate customer satisfaction and retention• Skillful at engaging in an open collaborative style both internally and with customers to result in meaningful and productive discussion• Experience with Software as a Service (SaaS) applications desirable • Amenable to work on a night shift schedule in Eastwood",Not Specified,Not Specified,Not Specified,Not Specified,Mathematics
Joblum,Risk Underwriting Analyst,Actuarial/Statistics,Home Credit Philippines,2021-05-28,Taguig City,Part Time,,Not Specified / In Description,Not Specified / In Description,"You know you are the perfect fit if you: Bachelor’s degree holder of the following courses: Statistics, Applied Statistics, Physics, Applied Mathematics, Mathematics & Mathematical FinanceNo previous work experience is explicitly required, though some part-time or junior experience from relevant position will be considered an advantageStrong Analytical, Logical, Probability and Problem Solving skills is a mustHave excellent English communication skillsHave basic knowledge in OracleSQL or any programming language and statistical toolsWilling to work in BGC, Taguig. As part of our growth, your tasks will be: Identification of segments of our applying clients, assessment of their credit worthiness and x-sell potentialCreation and automation of reports –focus on underwriting process, and postapproval monitoringMonitors and reports on pilots and operating proceduresParticipation on development of statistical models for underwriting (UWI)Co-operation with sales on client base and selection criteria assessmentCo-operates on ad-hoc underwriting (UWI) department tasks Excited to experience Life at Home Credit PH? Your application is just a click away! To ensure faster processing, go the link below to apply as a Risk Underwriting Analyst! https://careers.homecredit.ph/landing-site?token=ad.9fd00f2cc84cd41bf571800f1d8a8d6235b38310d47c1960589395a974290e69ce4c18c991efb70d *Applications received through the link will be prioritized",Not Specified,Not Specified,Not Specified,Not Specified,Mathematics
